x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	219369506403778560
0	0	2	0	246790694704250880
0	0	3	0	-27421188300472320
0	0	3	1	27421188300472320
0	0	4	0	226224803478896640
0	0	4	1	-27421188300472320
0	0	5	0	-102829456126771200
0	0	5	1	68552970751180800
0	0	6	0	106257104664330240
0	0	6	1	-47987079525826560
0	0	7	0	-56556200869724160
0	0	7	1	37704133913149440
0	0	8	0	14139050217431040
0	0	8	1	-18852066956574720
0	0	9	0	-1285368201584640
0	0	9	1	3856104604753920
0	0	11	1	107114016798720
0	1	0	0	-658108519211335680
0	1	2	0	-740372084112752640
0	1	3	0	82263564901416960
0	1	3	1	-123395347352125440
0	1	4	0	-678674410436689920
0	1	4	1	123395347352125440
0	1	5	0	308488368380313600
0	1	5	1	-308488368380313600
0	1	6	0	-318771313992990720
0	1	6	1	215941857866219520
0	1	7	0	169668602609172480
0	1	7	1	-169668602609172480
0	1	8	0	-42417150652293120
0	1	8	1	84834301304586240
0	1	9	0	3856104604753920
0	1	9	1	-17352470721392640
0	1	11	1	-482013075594240
0	2	0	0	658108519211335680
0	2	2	0	740372084112752640
0	2	3	0	-82263564901416960
0	2	3	1	123395347352125440
0	2	4	0	678674410436689920
0	2	4	1	-123395347352125440
0	2	5	0	-308488368380313600
0	2	5	1	308488368380313600
0	2	6	0	318771313992990720
0	2	6	1	-215941857866219520
0	2	7	0	-169668602609172480
0	2	7	1	169668602609172480
0	2	8	0	42417150652293120
0	2	8	1	-84834301304586240
0	2	9	0	-3856104604753920
0	2	9	1	17352470721392640
0	2	11	1	482013075594240
1	0	0	0	-2413064570441564160
1	0	1	0	-548423766009446400
1	0	2	0	-2851803583249121280
1	0	2	2	36561584400629760
1	0	3	0	-109684753201889280
1	0	3	1	-329054259605667840
1	0	4	0	-2815241998848491520
1	0	4	1	246790694704250880
1	0	4	2	127965545402204160
1	0	5	0	1051145551518105600
1	0	5	1	-786074064613539840
1	0	5	2	-13710594150236160
1	0	6	0	-1358491370385899520
1	0	6	1	495866488433541120
1	0	6	2	89118861976535040
1	0	7	0	717521093862359040
1	0	7	1	-463875102082990080
1	0	7	2	-58270025138503680
1	0	8	0	-171096789499822080
1	0	8	1	242791771410432000
1	0	8	2	-14853143662755840
1	0	9	0	13567775461171200
1	0	9	1	-51129090685255680
1	0	9	2	12568044637716480
1	0	10	0	214228033597440
1	0	10	1	-1428186890649600
1	0	10	2	-5427110184468480
1	0	11	1	-1713824268779520
1	0	11	2	-285637378129920
1	0	12	2	-142818689064960
1	1	0	0	7239193711324692480
1	1	1	0	1645271298028339200
1	1	2	0	8555410749747363840
1	1	2	2	-219369506403778560
1	1	3	0	329054259605667840
1	1	3	1	1480744168225505280
1	1	4	0	8445725996545474560
1	1	4	1	-1110558126169128960
1	1	4	2	-767793272413224960
1	1	5	0	-3153436654554316800
1	1	5	1	3537333290760929280
1	1	5	2	82263564901416960
1	1	6	0	4075474111157698560
1	1	6	1	-2231399197950935040
1	1	6	2	-534713171859210240
1	1	7	0	-2152563281587077120
1	1	7	1	2087437959373455360
1	1	7	2	349620150831022080
1	1	8	0	513290368499466240
1	1	8	1	-1092562971346944000
1	1	8	2	89118861976535040
1	1	9	0	-40703326383513600
1	1	9	1	230080908083650560
1	1	9	2	-75408267826298880
1	1	10	0	-642684100792320
1	1	10	1	6426841007923200
1	1	10	2	32562661106810880
1	1	11	1	7712209209507840
1	1	11	2	1713824268779520
1	1	12	2	856912134389760
1	2	0	0	-7239193711324692480
1	2	1	0	-1645271298028339200
1	2	2	0	-8555410749747363840
1	2	2	2	548423766009446400
1	2	3	0	-329054259605667840
1	2	3	1	-1480744168225505280
1	2	4	0	-8445725996545474560
1	2	4	1	1110558126169128960
1	2	4	2	1919483181033062400
1	2	5	0	3153436654554316800
1	2	5	1	-3537333290760929280
1	2	5	2	-205658912253542400
1	2	6	0	-4075474111157698560
1	2	6	1	2231399197950935040
1	2	6	2	1336782929648025600
1	2	7	0	2152563281587077120
1	2	7	1	-2087437959373455360
1	2	7	2	-874050377077555200
1	2	8	0	-513290368499466240
1	2	8	1	1092562971346944000
1	2	8	2	-222797154941337600
1	2	9	0	40703326383513600
1	2	9	1	-230080908083650560
1	2	9	2	188520669565747200
1	2	10	0	642684100792320
1	2	10	1	-6426841007923200
1	2	10	2	-81406652767027200
1	2	11	1	-7712209209507840
1	2	11	2	-4284560671948800
1	2	12	2	-2142280335974400
1	3	2	2	-658108519211335680
1	3	4	2	-2303379817239674880
1	3	5	2	246790694704250880
1	3	6	2	-1604139515577630720
1	3	7	2	1048860452493066240
1	3	8	2	267356585929605120
1	3	9	2	-226224803478896640
1	3	10	2	97687983320432640
1	3	11	2	5141472806338560
1	3	12	2	2570736403169280
1	4	2	2	329054259605667840
1	4	4	2	1151689908619837440
1	4	5	2	-123395347352125440
1	4	6	2	802069757788815360
1	4	7	2	-524430226246533120
1	4	8	2	-133678292964802560
1	4	9	2	113112401739448320
1	4	10	2	-48843991660216320
1	4	11	2	-2570736403169280
1	4	12	2	-1285368201584640
2	0	0	0	12625933813017477120
2	0	1	0	6483587633711677440
2	0	2	0	16318653837481082880
2	0	2	2	-182807922003148800
2	0	3	0	3576941673861611520
2	0	3	1	1889015194032537600
2	0	3	2	73123168801259520
2	0	4	0	16899830689516093440
2	0	4	1	-853103636014694400
2	0	4	2	-920133207415848960
2	0	5	0	-4400339022550794240
2	0	5	1	4327977553424547840
2	0	5	2	137105941502361600
2	0	5	3	85310363601469440
