x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	2	219369506403778560
0	0	2	4	246790694704250880
0	0	3	4	27421188300472320
0	0	3	5	-27421188300472320
0	0	4	5	-27421188300472320
0	0	4	6	226224803478896640
0	0	5	6	68552970751180800
0	0	5	7	-102829456126771200
0	0	6	7	-47987079525826560
0	0	6	8	106257104664330240
0	0	7	8	37704133913149440
0	0	7	9	-56556200869724160
0	0	8	9	-18852066956574720
0	0	8	10	14139050217431040
0	0	9	10	3856104604753920
0	0	9	11	-1285368201584640
0	0	11	12	107114016798720
0	1	0	2	-658108519211335680
0	1	2	4	-740372084112752640
0	1	3	4	-123395347352125440
0	1	3	5	82263564901416960
0	1	4	5	123395347352125440
0	1	4	6	-678674410436689920
0	1	5	6	-308488368380313600
0	1	5	7	308488368380313600
0	1	6	7	215941857866219520
0	1	6	8	-318771313992990720
0	1	7	8	-169668602609172480
0	1	7	9	169668602609172480
0	1	8	9	84834301304586240
0	1	8	10	-42417150652293120
0	1	9	10	-17352470721392640
0	1	9	11	3856104604753920
0	1	11	12	-482013075594240
0	2	0	2	658108519211335680
0	2	2	4	740372084112752640
0	2	3	4	123395347352125440
0	2	3	5	-82263564901416960
0	2	4	5	-123395347352125440
0	2	4	6	678674410436689920
0	2	5	6	308488368380313600
0	2	5	7	-308488368380313600
0	2	6	7	-215941857866219520
0	2	6	8	318771313992990720
0	2	7	8	169668602609172480
0	2	7	9	-169668602609172480
0	2	8	9	-84834301304586240
0	2	8	10	42417150652293120
0	2	9	10	17352470721392640
0	2	9	11	-3856104604753920
0	2	11	12	482013075594240
1	0	0	2	-2413064570441564160
1	0	1	3	-548423766009446400
1	0	2	2	36561584400629760
1	0	2	4	-2851803583249121280
1	0	3	4	-329054259605667840
1	0	3	5	-109684753201889280
1	0	4	4	127965545402204160
1	0	4	5	246790694704250880
1	0	4	6	-2815241998848491520
1	0	5	5	-13710594150236160
1	0	5	6	-786074064613539840
1	0	5	7	1051145551518105600
1	0	6	6	89118861976535040
1	0	6	7	495866488433541120
1	0	6	8	-1358491370385899520
1	0	7	7	-58270025138503680
1	0	7	8	-463875102082990080
1	0	7	9	717521093862359040
1	0	8	8	-14853143662755840
1	0	8	9	242791771410432000
1	0	8	10	-171096789499822080
1	0	9	9	12568044637716480
1	0	9	10	-51129090685255680
1	0	9	11	13567775461171200
1	0	10	10	-5427110184468480
1	0	10	11	-1428186890649600
1	0	10	12	214228033597440
1	0	11	11	-285637378129920
1	0	11	12	-1713824268779520
1	0	12	12	-142818689064960
1	1	0	2	7239193711324692480
1	1	1	3	1645271298028339200
1	1	2	2	-219369506403778560
1	1	2	4	8555410749747363840
1	1	3	4	1480744168225505280
1	1	3	5	329054259605667840
1	1	4	4	-767793272413224960
1	1	4	5	-1110558126169128960
1	1	4	6	8445725996545474560
1	1	5	5	82263564901416960
1	1	5	6	3537333290760929280
1	1	5	7	-3153436654554316800
1	1	6	6	-534713171859210240
1	1	6	7	-2231399197950935040
1	1	6	8	4075474111157698560
1	1	7	7	349620150831022080
1	1	7	8	2087437959373455360
