x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	82263564901416960
0	0	0	2	123395347352125440
0	0	1	1	41131782450708480
0	0	1	3	-61697673676062720
0	0	2	0	82263564901416960
0	0	2	2	185093021028188160
0	0	2	4	169668602609172480
0	0	3	1	164527129802833920
0	0	3	3	143961238577479680
0	0	3	5	-77122092095078400
0	0	4	0	82263564901416960
0	0	4	2	370186042056376320
0	0	4	4	303346895573975040
0	0	4	6	177380811818680320
0	0	5	1	342764853755904000
0	0	5	3	685529707511808000
0	0	5	5	293063949961297920
0	0	5	7	-88690405909340160
0	0	6	0	44483261020766208
0	0	6	2	756367777288028160
0	0	6	4	892902444034129920
0	0	6	6	259644376720097280
0	0	6	8	107006902781921280
0	0	7	1	237954978474098688
0	0	7	3	1191679141558026240
0	0	7	5	889474795496570880
0	0	7	7	160671025198080000
0	0	7	9	-62179686751656960
0	0	8	0	-1015599566684160
0	0	8	2	599152964365320192
0	0	8	4	1417903945036922880
0	0	8	6	619547473163796480
0	0	8	8	6748183058319360
0	0	8	10	20967568788349440
0	0	9	1	-12187194800209920
0	0	9	3	954028842953932800
0	0	9	5	1235381660411904000
0	0	9	7	210371928992686080
0	0	9	9	-30848836838031360
0	0	9	11	-2530568646869760
0	0	10	2	-43416881475747840
0	0	10	4	1059714672862003200
0	0	10	6	755510865153638400
0	0	10	8	-19280523023769600
0	0	10	10	-8435228822899200
0	0	10	12	1265284323434880
0	0	11	1	507799783342080
0	0	11	3	-90769211272396800
0	0	11	5	898158171791720448
0	0	11	7	219512325092843520
0	0	11	9	19762536099363840
0	0	11	11	-10965797469768960
0	0	12	2	2792898808381440
0	0	12	4	-139962315283660800
0	0	12	6	672219005690953728
0	0	12	8	-147888752526766080
0	0	12	10	73881893086917120
0	0	12	12	-5482898734884480
0	0	13	3	6982247020953600
0	0	13	5	-167954778340392960
0	0	13	7	482184458021117952
0	0	13	9	-217405749429135360
0	0	13	11	40207924055819520
0	0	14	4	10473370531430400
0	0	14	6	-152625572380753920
0	0	14	8	295813209725798400
0	0	14	10	-114067501722570240
0	0	14	12	6701320675969920
0	0	15	5	10473370531430400
0	0	15	7	-101258450547056640
0	0	15	9	131779994555980800
0	0	15	11	-28719945754156800
0	0	16	6	7331359372001280
0	0	16	8	-47665737475430400
0	0	16	10	37961802631337472
0	0	16	12	-2871994575415680
0	0	17	7	3665679686000640
0	0	17	9	-15432352790630400
0	0	17	11	6254565964238592
0	0	18	8	1309171316428800
0	0	18	10	-3264002123005440
0	0	18	12	446754711731328
0	0	19	9	327292829107200
0	0	19	11	-406140647028480
0	0	20	10	54548804851200
0	0	20	12	-22563369279360
0	0	21	11	5454880485120
0	0	22	12	247949112960
1	0	0	0	-1233953473521254400
1	0	0	2	-1933193775183298560
1	0	1	1	-959741590516531200
1	0	1	3	575844954309918720
1	0	2	0	-1233953473521254400
1	0	2	2	-3050607198427545600
1	0	2	4	-2586160821588295680
1	0	3	1	-2851803583249121280
1	0	3	3	-2920356554000302080
1	0	3	5	832918594626846720
1	0	4	0	-1233953473521254400
1	0	4	2	-6402847468160286720
1	0	4	4	-5386549676774031360
1	0	4	6	-2835522252695715840
1	0	5	1	-5584782017196195840
1	0	5	3	-12202428793710182400
1	0	5	5	-5693324220885565440
1	0	5	7	1182538745457868800
1	0	6	0	-667248915311493120
1	0	6	2	-13106566307950755840
1	0	6	4	-16640662375092879360
1	0	6	6	-5097770287484682240
1	0	6	8	-1742637939298375680
1	0	7	1	-3826576047352578048
1	0	7	3	-21588092189221847040
1	0	7	5	-17205653109033861120
1	0	7	7	-3304253190206914560
1	0	7	9	976558491153930240
1	0	8	0	15233993500262400
1	0	8	2	-10259231362795044864
1	0	8	4	-26734135193610485760
1	0	8	6	-12607748233276538880
1	0	8	8	-387002942693775360
1	0	8	10	-322225741034749440
1	0	9	1	190932718536622080
1	0	9	3	-17261638035147325440
1	0	9	5	-24370771526963527680
1	0	9	7	-4885541715534151680
1	0	9	9	546281485673472000
1	0	9	11	33258902216002560
1	0	10	2	724884190720819200
1	0	10	4	-20170759518941184000
1	0	10	6	-15726241915239628800
1	0	10	8	-9997308234547200
1	0	10	10	185494698591183360
1	0	10	12	-23196879262972800
1	0	11	1	-7786263344578560
1	0	11	3	1597030318610841600
1	0	11	5	-17795208657494016000
1	0	11	7	-5315902031916564480
1	0	11	9	-330018285756856320
1	0	11	11	210318371984286720
1	0	12	2	-45617347203563520
1	0	12	4	2558358783450316800
1	0	12	6	-13523425497593561088
1	0	12	8	2246847419484794880
1	0	12	10	-1374263909359511040
1	0	12	12	107830341786061440
1	0	13	3	-121025615029862400
1	0	13	5	3172479146429644800
1	0	13	7	-9702301950414618624
1	0	13	9	4110488493093457920
1	0	13	11	-799802511099909120
1	0	14	4	-192011793076224000
1	0	14	6	2986529213267066880
1	0	14	8	-6029674135190968320
1	0	14	10	2308643281009589760
1	0	14	12	-140727734195368320
1	0	15	5	-202485163607654400
1	0	15	7	2060397620910489600
1	0	15	9	-2766457514975385600
1	0	15	11	612150655225973760
1	0	16	6	-149070973897359360
1	0	16	8	1010858779644364800
1	0	16	10	-827746376130501120
1	0	16	12	64141212184283520
1	0	17	7	-78201166634680320
1	0	17	9	341336666865254400
1	0	17	11	-142059766420012032
1	0	18	8	-29238159400243200
1	0	18	10	75272391712396800
1	0	18	12	-10573194844308096
1	0	19	9	-7636832679168000
1	0	19	11	9757293493201920
1	0	20	10	-1327354251379200
1	0	20	12	564084231984000
1	0	21	11	-138190305623040
1	0	22	12	-6529326641280
2	0	0	0	8637674314648780800
2	0	0	2	14204175539644661760
2	0	1	1	9460309963662950400
2	0	1	3	-980307481741885440
2	0	2	0	8637674314648780800
2	0	2	2	24222049665417216000
2	0	2	4	18977176128195624960
2	0	3	1	23033798172396748800
2	0	3	3	27240665477494210560
2	0	3	5	-2968343633526128640
2	0	4	0	8637674314648780800
2	0	4	2	52465873614903705600
2	0	4	4	45956197767322828800
2	0	4	6	21770709686306242560
2	0	5	1	42639947807234457600
2	0	5	3	102829456126771200000
2	0	5	5	52212227623124336640
2	0	5	7	-6772605054149468160
2	0	6	0	4670742407180451840
2	0	6	2	106940603172708679680
2	0	6	4	146964429971137658880
2	0	6	6	47825408769805025280
2	0	6	8	13582378672128092160
2	0	7	1	28844043293396828160
2	0	7	3	184992603621032263680
2	0	7	5	158253009579750850560
2	0	7	7	32380567278253056000
2	0	7	9	-7153609611902515200
2	0	8	0	-106637954501836800
2	0	8	2	82673731713081802752
2	0	8	4	239165700107532042240
2	0	8	6	122040093205358346240
2	0	8	8	6073828913226885120
2	0	8	10	2306914579794032640
2	0	9	1	-1401527402024140800
2	0	9	3	147544739331876126720
2	0	9	5	228496572759623270400
2	0	9	7	53082993170353397760
2	0	9	9	-4413240310796328960
2	0	9	11	-184811846734091520
2	0	10	2	-5690404372131348480
2	0	10	4	181959959839940444160
2	0	10	6	155707028416019496960
2	0	10	8	4254330716096716800
2	0	10	10	-1900416886042890240
2	0	10	12	204634634467904640
2	0	11	1	55857976167628800
2	0	11	3	-13264365090624307200
2	0	11	5	167731092535830773760
2	0	11	7	59813847561066209280
2	0	11	9	2823013715845109760
2	0	11	11	-1934920988704177920
2	0	12	2	350043317317140480
2	0	12	4	-22162604169100492800
2	0	12	6	130095194218567925760
2	0	12	8	-14303315512970588160
2	0	12	10	12163974861679441920
2	0	12	12	-1014055091659532160
2	0	13	3	989151661301760000
2	0	13	5	-28479950848740556800
2	0	13	7	93582069786012229632
2	0	13	9	-36720184554836398080
2	0	13	11	7588571367923239680
2	0	14	4	1665265914497433600
2	0	14	6	-27825841252823040000
2	0	14	8	58863361415038248960
2	0	14	10	-22262696267020185600
2	0	14	12	1413252667626906240
2	0	15	5	1857277707573657600
2	0	15	7	-19993616738270945280
2	0	15	9	27797924166296647680
2	0	15	11	-6237329037803838720
2	0	16	6	1441834009826918400
2	0	16	8	-10239445420299417600
2	0	16	10	8643137129505515520
2	0	16	12	-686316450047230080
2	0	17	7	795452491862138880
2	0	17	9	-3611884646452838400
2	0	17	11	1546857154405751040
2	0	18	8	312019163748864000
2	0	18	10	-831799848229171200
2	0	18	12	120126006058220928
2	0	19	9	85314330787276800
2	0	19	11	-112501951023340800
2	0	20	10	15491860577740800
2	0	20	12	-6778184900987520
2	0	21	11	1681921482912000
2	0	22	12	82732354024320
3	0	0	0	-37283675692542197760
3	0	0	2	-64768846765715619840
3	0	1	1	-54412777984237240320
3	0	1	3	-12266411566411284480
3	0	2	0	-37332424471743037440
3	0	2	2	-122682396456313159680
3	0	2	4	-89848379840278855680
3	0	3	1	-114827749407577866240
3	0	3	3	-156316007306192486400
3	0	3	5	-3383089106570772480
3	0	4	0	-37375756719921561600
3	0	4	2	-269698558530378792960
3	0	4	4	-249647258910468833280
3	0	4	6	-107218560079115550720
3	0	5	1	-202207566392760729600
3	0	5	3	-544401991725377126400
3	0	5	5	-300656191471991193600
3	0	5	7	19559305104824401920
3	0	6	0	-20230856212744765440
3	0	6	2	-544888802451007733760
3	0	6	4	-816432557285781504000
3	0	6	6	-284328968513166213120
3	0	6	8	-67719587995814492160
3	0	7	1	-135230354791488552960
3	0	7	3	-995156901539563438080
3	0	7	5	-918944575072990986240
3	0	7	7	-200990074095549480960
3	0	7	9	32256564951472404480
3	0	8	0	462097802841292800
