chart	family	value	x	y	r	h	coefficient
cycle_equal	cycle_equal	0	1	0	0	0	6
cycle_equal	cycle_equal	1	0	1	0	0	2
cycle_equal	cycle_equal	1	0	1	1	0	-2
cycle_equal	cycle_equal	1	0	1	1	1	6
cycle_equal	cycle_equal	1	1	1	0	0	-2
cycle_equal	cycle_equal	1	1	1	1	0	2
cycle_equal	cycle_equal	1	1	1	1	1	-6
cycle_equal	cycle_equal	2	0	1	0	0	2
cycle_equal	cycle_equal	2	0	1	1	0	4
cycle_equal	cycle_equal	2	0	1	1	1	-6
cycle_equal	cycle_equal	2	1	1	0	0	-2
cycle_equal	cycle_equal	2	1	1	1	0	-4
cycle_equal	cycle_equal	2	1	1	1	1	6
cycle_equal	cycle_equal	3	0	1	0	0	2
cycle_equal	cycle_equal	3	0	1	1	0	-2
cycle_equal	cycle_equal	3	1	1	0	0	-2
cycle_equal	cycle_equal	3	1	1	1	0	2
cycle_equal	cycle_equal	4	0	0	0	0	6
cycle_equal	cycle_equal	4	0	1	0	0	-6
cycle_equal	cycle_equal	4	1	0	0	0	-6
cycle_equal	cycle_equal	4	1	1	0	0	6
cycle_zero_cycle_dominant	cycle_zero	0	1	0	0	0	6
cycle_zero_cycle_dominant	cycle_zero	0	1	0	1	0	-6
cycle_zero_cycle_dominant	cycle_zero	1	0	0	0	0	2
cycle_zero_cycle_dominant	cycle_zero	1	0	0	1	0	-2
cycle_zero_cycle_dominant	cycle_zero	1	0	0	1	1	-2
cycle_zero_cycle_dominant	cycle_zero	1	0	0	2	1	2
cycle_zero_cycle_dominant	cycle_zero	1	0	1	1	1	6
cycle_zero_cycle_dominant	cycle_zero	1	0	1	2	1	-6
cycle_zero_cycle_dominant	cycle_zero	1	1	0	0	0	-2
cycle_zero_cycle_dominant	cycle_zero	1	1	0	1	0	2
cycle_zero_cycle_dominant	cycle_zero	1	1	0	1	1	2
cycle_zero_cycle_dominant	cycle_zero	1	1	0	2	1	-2
cycle_zero_cycle_dominant	cycle_zero	1	1	1	1	1	-6
cycle_zero_cycle_dominant	cycle_zero	1	1	1	2	1	6
cycle_zero_cycle_dominant	cycle_zero	2	0	0	0	0	2
cycle_zero_cycle_dominant	cycle_zero	2	0	0	1	0	-2
cycle_zero_cycle_dominant	cycle_zero	2	0	0	1	1	4
cycle_zero_cycle_dominant	cycle_zero	2	0	0	2	1	-4
cycle_zero_cycle_dominant	cycle_zero	2	0	1	1	1	-6
cycle_zero_cycle_dominant	cycle_zero	2	0	1	2	1	6
cycle_zero_cycle_dominant	cycle_zero	2	1	0	0	0	-2
cycle_zero_cycle_dominant	cycle_zero	2	1	0	1	0	2
cycle_zero_cycle_dominant	cycle_zero	2	1	0	1	1	-4
cycle_zero_cycle_dominant	cycle_zero	2	1	0	2	1	4
cycle_zero_cycle_dominant	cycle_zero	2	1	1	1	1	6
cycle_zero_cycle_dominant	cycle_zero	2	1	1	2	1	-6
cycle_zero_cycle_dominant	cycle_zero	3	0	0	0	0	2
cycle_zero_cycle_dominant	cycle_zero	3	0	0	1	0	-2
cycle_zero_cycle_dominant	cycle_zero	3	0	0	1	1	-2
