chart	value	x	y	r	h	coefficient
cycle_equal	0	1	0	0	0	6
cycle_equal	1	0	1	0	0	2
cycle_equal	1	0	1	1	0	-2
cycle_equal	1	0	1	1	1	6
cycle_equal	1	1	1	0	0	-2
cycle_equal	1	1	1	1	0	2
cycle_equal	1	1	1	1	1	-6
cycle_equal	2	0	1	0	0	2
cycle_equal	2	0	1	1	0	4
cycle_equal	2	0	1	1	1	-6
cycle_equal	2	1	1	0	0	-2
cycle_equal	2	1	1	1	0	-4
cycle_equal	2	1	1	1	1	6
cycle_equal	3	0	1	0	0	2
cycle_equal	3	0	1	1	0	-2
cycle_equal	3	1	1	0	0	-2
cycle_equal	3	1	1	1	0	2
cycle_equal	4	0	0	0	0	3
cycle_equal	4	0	1	0	0	-3
cycle_equal	4	1	0	0	0	-3
cycle_equal	4	1	1	0	0	3
cycle_equal	5	0	0	0	0	3
cycle_equal	5	0	1	0	0	-3
cycle_equal	5	1	0	0	0	-3
cycle_equal	5	1	1	0	0	3
cycle_zero_cycle_dominant	0	1	0	0	0	6
cycle_zero_cycle_dominant	0	1	0	1	0	-6
cycle_zero_cycle_dominant	1	0	0	0	0	2
cycle_zero_cycle_dominant	1	0	0	1	0	-2
cycle_zero_cycle_dominant	1	0	0	1	1	-2
cycle_zero_cycle_dominant	1	0	0	2	1	2
cycle_zero_cycle_dominant	1	0	1	1	1	6
cycle_zero_cycle_dominant	1	0	1	2	1	-6
cycle_zero_cycle_dominant	1	1	0	0	0	-2
cycle_zero_cycle_dominant	1	1	0	1	0	2
cycle_zero_cycle_dominant	1	1	0	1	1	2
cycle_zero_cycle_dominant	1	1	0	2	1	-2
cycle_zero_cycle_dominant	1	1	1	1	1	-6
cycle_zero_cycle_dominant	1	1	1	2	1	6
cycle_zero_cycle_dominant	2	0	0	0	0	2
cycle_zero_cycle_dominant	2	0	0	1	0	-2
cycle_zero_cycle_dominant	2	0	0	1	1	4
cycle_zero_cycle_dominant	2	0	0	2	1	-4
cycle_zero_cycle_dominant	2	0	1	1	1	-6
cycle_zero_cycle_dominant	2	0	1	2	1	6
cycle_zero_cycle_dominant	2	1	0	0	0	-2
