x_lower	x_splits	y_lower	y_splits	r_lower	r_splits	h_lower	h_splits
7	5	10	5	0	4	0	4
7	5	11	5	0	4	0	4
7	5	10	5	0	4	1	4
7	5	11	5	0	4	1	4
7	5	10	5	0	4	2	4
7	5	11	5	0	4	2	4
7	5	10	5	0	4	3	4
7	5	11	5	0	4	3	4
7	5	12	5	0	4	0	4
7	5	13	5	0	4	0	4
7	5	12	5	0	4	1	4
7	5	13	5	0	4	1	4
6	5	14	5	0	4	0	4
6	5	15	5	0	4	0	4
7	5	14	5	0	4	0	4
6	5	14	5	0	4	1	4
6	5	15	5	0	4	1	4
7	5	14	5	0	4	1	4
7	5	12	5	0	4	2	4
7	5	13	5	0	4	2	4
7	5	12	5	0	4	3	4
7	5	13	5	0	4	3	4
6	5	14	5	0	4	2	4
6	5	15	5	0	4	2	4
7	5	14	5	0	4	2	4
6	5	14	5	0	4	3	4
6	5	15	5	0	4	3	4
7	5	14	5	0	4	3	4
7	5	10	5	0	4	4	4
7	5	11	5	0	4	4	4
7	5	10	5	0	4	5	4
7	5	11	5	0	4	5	4
7	5	10	5	0	4	6	4
7	5	11	5	0	4	6	4
7	5	10	5	0	4	7	4
7	5	11	5	0	4	7	4
7	5	12	5	0	4	4	4
7	5	13	5	0	4	4	4
7	5	12	5	0	4	5	4
7	5	13	5	0	4	5	4
6	5	14	5	0	4	4	4
6	5	15	5	0	4	4	4
7	5	14	5	0	4	4	4
6	5	14	5	0	4	5	4
6	5	15	5	0	4	5	4
7	5	14	5	0	4	5	4
7	5	12	5	0	4	6	4
7	5	13	5	0	4	6	4
7	5	12	5	0	4	7	4
7	5	13	5	0	4	7	4
6	5	14	5	0	4	6	4
6	5	15	5	0	4	6	4
7	5	14	5	0	4	6	4
6	5	14	5	0	4	7	4
6	5	15	5	0	4	7	4
7	5	14	5	0	4	7	4
9	5	2	5	0	4	0	4
9	5	3	5	0	4	0	4
9	5	2	5	0	4	1	4
9	5	3	5	0	4	1	4
10	5	0	5	0	4	0	4
10	5	1	5	0	4	0	4
10	5	0	5	0	4	1	4
10	5	1	5	0	4	1	4
10	5	2	5	0	4	0	4
10	5	2	5	0	4	1	4
9	5	2	5	0	4	2	4
9	5	3	5	0	4	2	4
9	5	2	5	0	4	3	4
9	5	3	5	0	4	3	4
10	5	0	5	0	4	2	4
10	5	1	5	0	4	2	4
10	5	0	5	0	4	3	4
10	5	1	5	0	4	3	4
10	5	2	5	0	4	2	4
10	5	2	5	0	4	3	4
9	5	4	5	0	4	0	4
9	5	5	5	0	4	0	4
9	5	4	5	0	4	1	4
9	5	5	5	0	4	1	4
8	5	6	5	0	4	0	4
8	5	7	5	0	4	0	4
9	5	6	5	0	4	0	4
8	5	6	5	0	4	1	4
8	5	7	5	0	4	1	4
9	5	6	5	0	4	1	4
9	5	4	5	0	4	2	4
9	5	5	5	0	4	2	4
9	5	4	5	0	4	3	4
9	5	5	5	0	4	3	4
8	5	6	5	0	4	2	4
8	5	7	5	0	4	2	4
9	5	6	5	0	4	2	4
8	5	6	5	0	4	3	4
8	5	7	5	0	4	3	4
9	5	6	5	0	4	3	4
9	5	2	5	0	4	4	4
9	5	3	5	0	4	4	4
9	5	2	5	0	4	5	4
9	5	3	5	0	4	5	4
10	5	0	5	0	4	4	4
10	5	1	5	0	4	4	4
10	5	0	5	0	4	5	4
10	5	1	5	0	4	5	4
10	5	2	5	0	4	4	4
10	5	2	5	0	4	5	4
9	5	2	5	0	4	6	4
9	5	3	5	0	4	6	4
9	5	2	5	0	4	7	4
9	5	3	5	0	4	7	4
10	5	0	5	0	4	6	4
10	5	1	5	0	4	6	4
10	5	0	5	0	4	7	4
10	5	1	5	0	4	7	4
10	5	2	5	0	4	6	4
10	5	2	5	0	4	7	4
9	5	4	5	0	4	4	4
9	5	5	5	0	4	4	4
9	5	4	5	0	4	5	4
9	5	5	5	0	4	5	4
8	5	6	5	0	4	4	4
8	5	7	5	0	4	4	4
9	5	6	5	0	4	4	4
8	5	6	5	0	4	5	4
8	5	7	5	0	4	5	4
9	5	6	5	0	4	5	4
9	5	4	5	0	4	6	4
9	5	5	5	0	4	6	4
9	5	4	5	0	4	7	4
9	5	5	5	0	4	7	4
8	5	6	5	0	4	6	4
8	5	7	5	0	4	6	4
9	5	6	5	0	4	6	4
8	5	6	5	0	4	7	4
8	5	7	5	0	4	7	4
9	5	6	5	0	4	7	4
8	5	8	5	0	4	0	4
8	5	9	5	0	4	0	4
8	5	8	5	0	4	1	4
8	5	9	5	0	4	1	4
8	5	10	5	0	4	0	4
8	5	10	5	0	4	1	4
8	5	8	5	0	4	2	4
8	5	9	5	0	4	2	4
8	5	8	5	0	4	3	4
8	5	9	5	0	4	3	4
8	5	10	5	0	4	2	4
8	5	10	5	0	4	3	4
8	5	8	5	0	4	4	4
8	5	9	5	0	4	4	4
8	5	8	5	0	4	5	4
8	5	9	5	0	4	5	4
8	5	10	5	0	4	4	4
8	5	10	5	0	4	5	4
8	5	8	5	0	4	6	4
8	5	9	5	0	4	6	4
8	5	8	5	0	4	7	4
8	5	9	5	0	4	7	4
8	5	10	5	0	4	6	4
8	5	10	5	0	4	7	4
7	5	10	5	0	4	8	4
7	5	11	5	0	4	8	4
7	5	10	5	0	4	9	4
7	5	11	5	0	4	9	4
7	5	10	5	0	4	10	4
7	5	11	5	0	4	10	4
7	5	10	5	0	4	11	4
7	5	11	5	0	4	11	4
7	5	12	5	0	4	8	4
7	5	13	5	0	4	8	4
7	5	12	5	0	4	9	4
7	5	13	5	0	4	9	4
6	5	14	5	0	4	8	4
6	5	15	5	0	4	8	4
7	5	14	5	0	4	8	4
6	5	14	5	0	4	9	4
6	5	15	5	0	4	9	4
7	5	14	5	0	4	9	4
7	5	12	5	0	4	10	4
7	5	13	5	0	4	10	4
7	5	12	5	0	4	11	4
7	5	13	5	0	4	11	4
6	5	14	5	0	4	10	4
6	5	15	5	0	4	10	4
7	5	14	5	0	4	10	4
6	5	14	5	0	4	11	4
6	5	15	5	0	4	11	4
7	5	14	5	0	4	11	4
7	5	10	5	0	4	12	4
7	5	11	5	0	4	12	4
7	5	10	5	0	4	13	4
7	5	11	5	0	4	13	4
7	5	10	5	0	4	14	4
7	5	11	5	0	4	14	4
7	5	10	5	0	4	15	4
7	5	11	5	0	4	15	4
7	5	12	5	0	4	12	4
7	5	13	5	0	4	12	4
7	5	12	5	0	4	13	4
7	5	13	5	0	4	13	4
6	5	14	5	0	4	12	4
6	5	15	5	0	4	12	4
7	5	14	5	0	4	12	4
6	5	14	5	0	4	13	4
6	5	15	5	0	4	13	4
7	5	14	5	0	4	13	4
7	5	12	5	0	4	14	4
7	5	13	5	0	4	14	4
7	5	12	5	0	4	15	4
7	5	13	5	0	4	15	4
