x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	4	0	0	82263564901416960
0	6	2	0	82263564901416960
0	8	4	0	82263564901416960
0	10	6	0	44483261020766208
0	12	8	0	-1015599566684160
1	4	0	0	-1233953473521254400
1	6	2	0	-1233953473521254400
1	8	4	0	-1233953473521254400
1	10	6	0	-667248915311493120
1	12	8	0	15233993500262400
2	4	0	0	8637674314648780800
2	6	2	0	8637674314648780800
2	8	4	0	8637674314648780800
2	10	6	0	4670742407180451840
2	12	8	0	-106637954501836800
3	2	0	0	292492675205038080
3	4	0	0	-37283675692542197760
3	4	2	0	438739012807557120
3	4	3	0	48748779200839680
3	6	2	0	-37332424471743037440
3	6	4	0	536236571209236480
3	6	5	0	162495930669465600
3	8	4	0	-37375756719921561600
3	8	6	0	314158799294300160
3	8	7	0	97497558401679360
3	10	6	0	-20230856212744765440
3	10	8	0	-5416531022315520
3	10	9	0	-9027551703859200
3	12	8	0	462097802841292800
3	12	11	0	601836780257280
4	2	0	0	-3022424310452060160
4	2	2	0	48748779200839680
4	4	0	0	110697305969873387520
4	4	2	0	-4484887686477250560
4	4	3	0	-519986978142289920
4	4	4	0	243743896004198400
4	6	2	0	111179377230859468800
4	6	4	0	-5698190635475927040
4	6	5	0	-1603293182605393920
4	6	6	0	297909206227353600
4	8	4	0	111663254002186321920
4	8	6	0	-3509912102460456960
4	8	7	0	-996641708106055680
4	8	8	0	10833062044631040
4	10	6	0	60611922509679820800
4	10	8	0	63794698707271680
4	10	9	0	103515926204252160
4	12	8	0	-1386293408523878400
4	12	11	0	-7222041363087360
5	2	0	0	14787129690921369600
5	2	2	0	-211244709870305280
5	4	0	0	-239021019485928161280
5	4	2	0	21481962034503352320
5	4	3	0	2632434076845342720
5	4	4	0	-1532878279315292160
5	4	5	0	151662868624834560
5	6	2	0	-241229158632692121600
5	6	4	0	28054019674912849920
5	6	5	0	7438702603979980800
5	6	6	0	-2395912222204231680
5	6	7	0	324991861338931200
5	8	4	0	-243713540861594173440
5	8	6	0	18023807895145021440
5	8	7	0	4708770968732958720
5	8	8	0	-95090211280650240
5	10	6	0	-132994034637489045504
5	10	8	0	-344250638307164160
5	10	9	0	-546066571953438720
5	10	11	0	-1604898080686080
5	12	8	0	3049845498752532480
5	12	11	0	39721227496980480
6	0	0	0	129996744535572480
6	2	0	0	-44643048685924515840
6	2	2	0	557902695298498560
6	2	3	0	86664496357048320
6	2	4	0	173328992714096640
6	4	0	0	387091148221419356160
6	4	2	0	-63387857043817758720
6	4	3	0	-8218683071193415680
6	4	4	0	4638356065442856960
6	4	5	0	-621095557225512960
6	4	6	0	476654729963765760
6	6	2	0	393291872568410112000
6	6	4	0	-84495476601001082880
6	6	5	0	-21444648154127400960
6	6	6	0	9076300483060039680
6	6	7	0	-2200315268620615680
6	6	8	0	163699604229980160
6	8	4	0	401034703358680104960
6	8	6	0	-56235628747240243200
6	8	7	0	-13628794501186191360
6	8	8	0	364713088835911680
6	8	9	0	-28888165452349440
6	10	6	0	220685761056999997440
6	10	8	0	1125434779081113600
6	10	9	0	1753351153149542400
6	10	11	0	16048980806860800
6	12	8	0	-5083075831254220800
6	12	11	0	-132404091656601600
7	0	0	0	-953309459927531520
7	2	0	0	91582706525310812160
7	2	2	0	-1767594623615631360
7	2	3	0	-635539639951687680
7	2	4	0	-866644963570483200
7	2	5	0	57776330904698880
7	4	0	0	-477952929513579479040
7	4	2	0	127533426593979432960
7	4	3	0	17382851724171018240
7	4	4	0	-10003129124656250880
7	4	5	0	286474307402465280
7	4	6	0	-2715487552520847360
7	4	7	0	510357589658173440
7	6	2	0	-489846026740503674880
7	6	4	0	173039910447313059840
7	6	5	0	42640938330268631040
7	6	6	0	-22008167992708300800
7	6	7	0	6202128632811356160
7	6	8	0	-1126638452641628160
7	6	9	0	32097961613721600
7	8	4	0	-506130927565225328640
7	8	6	0	118687963951524741120
7	8	7	0	26971515919490088960
7	8	8	0	-789208631177379840
7	8	9	0	259458523044249600
7	8	11	0	-1604898080686080
7	10	6	0	-281880449643962695680
7	10	8	0	-2482576718561280000
7	10	9	0	-3818654370732441600
7	10	11	0	-72220413630873600
7	12	8	0	6535383211612569600
7	12	11	0	297909206227353600
8	0	0	0	3235474530663137280
8	0	2	0	115552661809397760
8	2	0	0	-133354993769408102400
8	2	2	0	5119223652868423680
8	2	3	0	2156983020442091520
8	2	4	0	2176241797410324480
8	2	5	0	38517553936465920
8	2	6	0	211846546650562560
8	4	0	0	452753822911947079680
8	4	2	0	-183210350196880834560
8	4	3	0	-25992929314791751680
8	4	4	0	18540986301646110720
8	4	5	0	3267572492276858880
8	4	6	0	6663536831008604160
8	4	7	0	-2760424698780057600
8	4	8	0	292091450684866560
8	6	2	0	469158689868200017920
8	6	4	0	-253209584884084899840
8	6	5	0	-61297477293724139520
8	6	6	0	38857123622037749760
8	6	7	0	-8929652920937349120
8	6	8	0	3376705561763512320
8	6	9	0	-175468856821678080
8	8	4	0	493461661504029327360
8	8	6	0	-178420799358086676480
8	8	7	0	-38514344140304547840
8	8	8	0	1019912730276003840
8	8	9	0	-1035694228069416960
8	8	11	0	12839184645488640
8	10	6	0	279298569856658964480
8	10	8	0	3892680294704087040
8	10	9	0	5946147388941926400
8	10	11	0	192587769682329600
8	12	8	0	-6535383211612569600
8	12	11	0	-476654729963765760
9	0	0	0	-6567242946167439360
9	0	2	0	-616280862983454720
9	0	3	0	38517553936465920
9	0	4	0	77035107872931840
9	0	5	0	38517553936465920
9	2	0	0	140382842464732446720
9	2	2	0	-10223601998490501120
9	2	3	0	-4403840333402603520
9	2	4	0	-3883853355260313600
9	2	5	0	-1052813140930068480
9	2	6	0	-853805778924994560
9	2	7	0	141231031100375040
9	4	0	0	-328287816286588108800
9	4	2	0	191639007433630679040
9	4	3	0	28008948787146915840
9	4	4	0	-29221850511625420800
9	4	5	0	-9886707143053148160
9	4	6	0	-9263471721720053760
9	4	7	0	6372515312377528320
9	4	8	0	-1505394399683543040
9	4	9	0	68475651442606080
9	6	2	0	-344944117275481866240
9	6	4	0	270712692513051770880
9	6	5	0	64942735800989122560
9	6	6	0	-52628664891400519680
9	6	7	0	5488929757955358720
9	6	8	0	-5784765970828492800
9	6	9	0	340951681141309440
9	6	11	0	2853152143441920
9	8	4	0	-371277284983379066880
9	8	6	0	195772422440437678080
9	8	7	0	40735523083974082560
9	8	8	0	-713377196864962560
9	8	9	0	2411626849244282880
9	8	11	0	-44937146259210240
9	10	6	0	-214575312227047833600
9	10	8	0	-4448777479661813760
9	10	9	0	-6791126228423147520
9	10	11	0	-337028596944076800
9	12	8	0	5083075831254220800
9	12	11	0	556097184957726720
10	0	0	0	8643981062575226880
10	0	2	0	1373792757067284480
10	0	3	0	-179748585036840960
10	0	4	0	-385175539364659200
10	0	5	0	-231105323618795520
10	2	0	0	-106989193133870284800
10	2	2	0	13675737770046259200
10	2	3	0	5882486431741378560
10	2	4	0	5202009645530480640
10	2	5	0	2837459806652989440
10	2	6	0	1273219144010956800
10	2	7	0	-522126842249871360
10	2	8	0	51356738581954560
10	4	0	0	180239219933679452160
10	4	2	0	-146321946134320250880
10	4	3	0	-21830536981527920640
10	4	4	0	35539620967250657280
10	4	5	0	14851726838668984320
10	4	6	0	8020567319233167360
10	4	7	0	-8372574964930314240
10	4	8	0	3200880060923904000
10	4	9	0	-336671952926146560
10	6	2	0	192740172308663500800
10	6	4	0	-212428054721797816320
10	6	5	0	-50804653642198548480
10	6	6	0	54751766730139238400
10	6	7	0	2611704143303147520
10	6	8	0	6263382242890874880
10	6	9	0	-158349943961026560
10	6	11	0	-17118912860651520
10	8	4	0	213566934701726760960
10	8	6	0	-157868474536820736000
10	8	7	0	-32168577129271787520
10	8	8	0	61788576106414080
10	8	9	0	-3609950749489889280
10	8	11	0	89874292518420480
10	10	6	0	126711460488383299584
10	10	8	0	3733795384716165120
10	10	9	0	5734300842291363840
10	10	11	0	404434316332892160
10	12	8	0	-3049845498752532480
10	12	11	0	-476654729963765760
11	0	0	0	-7515202745826017280
11	0	2	0	-1574939983179939840
11	0	3	0	363776898288844800
11	0	4	0	881624012323553280
11	0	5	0	646238960489594880
11	0	6	0	25678369290977280
11	0	7	0	17118912860651520
11	2	0	0	58210232933013258240
11	2	2	0	-12350359438413004800
11	2	3	0	-5252653096076574720
11	2	4	0	-4706987748643307520
11	2	5	0	-3473712734640537600
11	2	6	0	-517133825998848000
11	2	7	0	840253306243645440
11	2	8	0	-125538694311444480
11	2	9	0	17118912860651520
11	4	0	0	-73359151510451650560
11	4	2	0	80543051003209973760
11	4	3	0	12180277392278814720
11	4	4	0	-31035474503805173760
11	4	5	0	-13950309083350302720
11	4	6	0	-4294707263915950080
11	4	7	0	7267691797382430720
11	4	8	0	-3568698924749291520
11	4	9	0	692364920141905920
11	4	11	0	3804202857922560
11	6	2	0	-80207853457519411200
11	6	4	0	121043352497191649280
11	6	5	0	28977638520347688960
11	6	6	0	-42538759819131617280
11	6	7	0	-8012186184811806720
11	6	8	0	-4491574761813442560
11	6	9	0	-427972821516288000
11	6	11	0	42797282151628800
11	8	4	0	-92111382521968066560
11	8	6	0	92778489336928665600
11	8	7	0	18822645914806517760
11	8	8	0	379558396082257920
11	8	9	0	3602461225113354240
11	8	11	0	-112342865648025600
11	10	6	0	-56449619337420472320
11	10	8	0	-2283970581076377600
11	10	9	0	-3553846187419238400
11	10	11	0	-337028596944076800
11	12	8	0	1386293408523878400
11	12	11	0	297909206227353600
12	0	0	0	4224091748365762560
12	0	2	0	911582109829693440
12	0	3	0	-405147604368752640
12	0	4	0	-1101316727368581120
12	0	5	0	-930127598762065920
12	0	6	0	-22825217147535360
12	0	7	0	-45650434295070720
12	2	0	0	-21892875383828643840
12	2	2	0	7404799132025487360
12	2	3	0	3086159568489676800
12	2	4	0	2414480001387724800
12	2	5	0	2107052857931857920
12	2	6	0	-766309113192775680
