x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	2	578547930240
0	1	0	2	-7521123093120
0	2	0	2	45126738558720
0	3	0	0	1175462461440
0	3	0	2	-163374997006080
0	4	0	0	-8913923665920
0	4	0	2	395246191559040
0	5	0	0	33497052180480
0	5	0	2	-670101694680960
0	6	0	0	-76129334231040
0	6	0	2	812221734873600
0	7	0	0	111625398190080
0	7	0	2	-704679012887040
0	8	0	0	-107279089459200
0	8	0	2	430950712659840
0	9	0	0	65794455429120
0	9	0	2	-179701204648320
0	10	0	0	-23547947581440
0	10	0	2	48402191312640
0	11	0	0	4148785889280
0	11	0	2	-7821526613760
0	12	0	0	-376099614720
0	12	0	2	695701146240
0	13	0	0	5240401920
0	13	0	2	-22259111040
1	0	0	2	-3820252999680
1	1	0	2	51628515298560
1	2	0	2	-321562449607680
1	3	0	0	-6465043537920
1	3	0	2	1208257047820800
1	4	0	0	52634596884480
1	4	0	2	-3031210217548800
1	5	0	0	-210400524656640
1	5	0	2	5322183153672960
1	6	0	0	510818254848000
1	6	0	2	-6671530087004160
1	7	0	0	-799977183068160
1	7	0	2	5979028206136320
1	8	0	0	819137704919040
1	8	0	2	-3773539855411200
1	9	0	0	-533858286551040
1	9	0	2	1622335240938240
1	10	0	0	202508479365120
1	10	0	2	-449655206169600
1	11	0	0	-37323754905600
1	11	0	2	74366291704320
1	12	0	0	3390943150080
1	12	0	2	-6702977940480
1	13	0	0	-52404019200
1	13	0	2	222591110400
2	0	0	2	16392191356800
2	1	0	2	-214696381921920
2	2	0	2	1305810228453120
2	3	0	0	21158324305920
2	3	0	2	-4827001905434880
2	4	0	0	-169364549652480
2	4	0	2	11996058685852800
2	5	0	0	679740192092160
2	5	0	2	-20994918357790080
2	6	0	0	-1677617122590720
2	6	0	2	26379468101583360
2	7	0	0	2698131380060160
2	7	0	2	-23817571551014400
2	8	0	0	-2860096079093760
2	8	0	2	15216583058501760
2	9	0	0	1942872562114560
2	9	0	2	-6651511814655360
2	10	0	0	-772482003517440
2	10	0	2	1880709327302400
2	11	0	0	148435593707520
2	11	0	2	-317340172120320
2	12	0	0	-13594005688320
2	12	0	2	29020249883520
2	13	0	0	235818086400
2	13	0	2	-1001659996800
3	0	0	2	-41802383784960
3	1	0	2	549161368704000
3	2	0	2	-3330011686855680
3	3	0	0	-34480232202240
3	3	0	2	12222964775946240
3	4	0	0	299873534607360
3	4	0	2	-30091741057658880
3	5	0	0	-1280644583915520
3	5	0	2	52133830829061120
3	6	0	0	3290540274155520
3	6	0	2	-64906159535400960
3	7	0	0	-5438676154613760
3	7	0	2	58227554905804800
3	8	0	0	5908541877780480
3	8	0	2	-37133365561113600
3	9	0	0	-4132703498895360
3	9	0	2	16304361817512960
3	10	0	0	1707545461063680
3	10	0	2	-4663243704038400
3	11	0	0	-341683879772160
3	11	0	2	800118069258240
3	12	0	0	31810045870080
3	12	0	2	-74338930759680
3	13	0	0	-628848230400
3	13	0	2	2671093324800
4	0	0	2	87994385199360
4	1	0	2	-1084566153288960
4	2	0	2	6260329403619840
4	3	0	0	23509249228800
4	3	0	2	-22144198549317120
4	4	0	0	-260495542149120
4	4	0	2	52981452864587520
4	5	0	0	1341224436326400
4	5	0	2	-89656284366247680
4	6	0	0	-3854181780357120
4	6	0	2	109359498082913280
4	7	0	0	6807533633372160
4	7	0	2	-96386053735572480
4	8	0	0	-7708494167654400
4	8	0	2	60644851962842880
4	9	0	0	5571232524288000
4	9	0	2	-26452980232968960
4	10	0	0	-2388965403525120
4	10	0	2	7589421906393600
4	11	0	0	499540909916160
4	11	0	2	-1319549579712000
4	12	0	0	-47896467333120
4	12	0	2	124758424869120
4	13	0	0	1100484403200
4	13	0	2	-4674413318400
5	0	0	2	-192849310080000
5	1	0	2	2070760791836160
5	2	0	2	-10501361231293440
