x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	2	0	2	493581389408501760
0	2	1	3	493581389408501760
0	2	2	4	2714697641746759680
0	2	3	5	2467906947042508800
0	2	4	6	11352371956395540480
0	2	5	7	11352371956395540480
0	2	6	8	27393767112171847680
0	2	7	9	31835999616848363520
0	2	8	10	21470790439269826560
0	2	9	11	5182604588789268480
0	2	10	12	5182604588789268480
0	4	0	0	82263564901416960
0	4	1	1	-82263564901416960
0	4	2	2	740372084112752640
0	4	3	3	-1151689908619837440
0	4	4	4	4853550329183600640
0	4	5	5	-9378046398761533440
0	4	6	6	16617240110086225920
0	4	7	7	-20565891225354240000
0	4	8	8	1727534862929756160
0	4	9	9	15794604461072056320
0	4	10	10	-8637674314648780800
0	4	11	11	22457953218086830080
0	4	12	12	-22457953218086830080
0	6	2	0	82263564901416960
0	6	3	1	-329054259605667840
0	6	4	2	1480744168225505280
0	6	5	3	-5484237660094464000
0	6	6	4	14286439104546078720
0	6	7	5	-28463193455890268160
0	6	8	6	39651038282482974720
0	6	9	7	-26927606911063818240
0	6	10	8	-4935813894085017600
0	6	11	9	-10118418482874286080
0	6	12	10	75655058521003130880
0	6	13	11	-82345828466318376960
0	6	14	12	27448609488772792320
0	8	4	0	82263564901416960
0	8	5	1	-685529707511808000
0	8	6	2	3025471109152112640
0	8	7	3	-9533433132464209920
0	8	8	4	22686463120590766080
0	8	9	5	-39532213133180928000
0	8	10	6	48352695369832857600
0	8	11	7	-28097577611883970560
0	8	12	8	-37859520646852116480
0	8	13	9	111311743707717304320
0	8	14	10	-116805121763911925760
0	8	15	11	58818448904513126400
0	8	16	12	-11763689780902625280
0	10	6	0	44483261020766208
0	10	7	1	-475909956948197376
0	10	8	2	2396611857461280768
0	10	9	3	-7632230743631462400
0	10	10	4	16955434765792051200
0	10	11	5	-28741061497335054336
0	10	12	6	43022016364221038592
0	10	13	7	-61719610626703097856
0	10	14	8	75728181689804390400
0	10	15	9	-67471357212662169600
0	10	16	10	38872885894489571328
0	10	17	11	-12809351094760636416
0	10	18	12	1829907299251519488
0	12	8	0	-1015599566684160
0	12	9	1	24374389600419840
0	12	10	2	-173667525902991360
0	12	11	3	726153690179174400
0	12	12	4	-2239397044538572800
0	12	13	5	5374552906892574720
0	12	14	6	-9768036632368250880
0	12	15	7	12961081670023249920
0	12	16	8	-12202428793710182400
0	12	17	9	7901364628802764800
0	12	18	10	-3342338173957570560
0	12	19	11	831776045114327040
0	12	20	12	-92419560568258560
0	14	11	1	-1015599566684160
0	14	12	2	11171595233525760
0	14	13	3	-55857976167628800
0	14	14	4	167573928502886400
0	14	15	5	-335147857005772800
0	14	16	6	469206999808081920
0	14	17	7	-469206999808081920
0	14	18	8	335147857005772800
0	14	19	9	-167573928502886400
0	14	20	10	55857976167628800
0	14	21	11	-11171595233525760
0	14	22	12	1015599566684160
1	2	0	2	-6745612321916190720
1	2	1	3	-3126015466253844480
1	2	2	4	-30519782578425692160
1	2	3	5	-14313860292846551040
1	2	4	6	-113359192434152570880
1	2	5	7	-71898355723838423040
1	2	6	8	-226965175563009392640
1	2	7	9	-213473950919177011200
1	2	8	10	-115251254426885160960
1	2	9	11	-11105581261691289600
1	2	10	12	-32823162395665367040
1	4	0	0	-1233953473521254400
1	4	1	1	1837219616131645440
1	4	2	2	-10721684625484677120
1	4	3	3	19907782706142904320
1	4	4	4	-66770593511650099200
1	4	5	5	135296143074530426880
1	4	6	6	-226553857738502307840
1	4	7	7	278983169769005383680
1	4	8	8	-85252474426168442880
1	4	9	9	-137544680515169157120
1	4	10	10	103569828210883952640
1	4	11	11	-183694540424864071680
1	4	12	12	172177641338665697280
1	6	2	0	-1233953473521254400
1	6	3	1	5374552906892574720
1	6	4	2	-22649901536190136320
1	6	5	3	81166717369398067200
1	6	6	4	-209104841583301754880
1	6	7	5	408264932209632215040
1	6	8	6	-568989657234800640000
1	6	9	7	436856091210924687360
1	6	10	8	-42045822060724224000
1	6	11	9	77903595961641861120
1	6	12	10	-650695657974107996160
1	6	13	11	732191429603111731200
1	6	14	12	-247037485398955130880
1	8	4	0	-1233953473521254400
1	8	5	1	10484034326880583680
1	8	6	2	-46375323013498798080
1	8	7	3	144104438116382146560
1	8	8	4	-337000310615404707840
1	8	9	5	582203623196928245760
1	8	10	6	-716363310356339097600
1	8	11	7	483752416802132459520
1	8	12	8	272316774213290557440
1	8	13	9	-1102764415094394716160
1	8	14	10	1195999502114700656640
1	8	15	11	-606681603953149870080
1	8	16	12	121558127735993794560
1	10	6	0	-667248915311493120
1	10	7	1	7177242137756958720
1	10	8	2	-36243701736257617920
1	10	9	3	115196412050284216320
1	10	10	4	-254910413239890739200
1	10	11	5	425741369553133240320
1	10	12	6	-607367133660661678080
1	10	13	7	809857375266149498880
1	10	14	8	-937771125090452766720
1	10	15	9	809184032753437900800
1	10	16	10	-458883430212737433600
1	10	17	11	150035539585817640960
1	10	18	12	-21348918491267727360
1	12	8	0	15233993500262400
1	12	9	1	-357491047472824320
1	12	10	2	2552201711077294080
1	12	11	3	-10597781478349209600
1	12	12	4	31976152357050777600
1	12	13	5	-74646568151285760000
1	12	14	6	132529649854882775040
1	12	15	7	-173003323786379919360
1	12	16	8	161160417239275929600
1	12	17	9	-103652091775785369600
1	12	18	10	43655547373918617600
1	12	19	11	-10833400577819934720
1	12	20	12	1201454287387361280
1	14	11	1	14556927122472960
1	14	12	2	-160126198347202560
1	14	13	3	800630991736012800
1	14	14	4	-2401892975208038400
1	14	15	5	4803785950416076800
1	14	16	6	-6725300330582507520
1	14	17	7	6725300330582507520
1	14	18	8	-4803785950416076800
1	14	19	9	2401892975208038400
1	14	20	10	-800630991736012800
1	14	21	11	160126198347202560
1	14	22	12	-14556927122472960
2	2	0	2	42831896125337763840
2	2	1	3	-3016330713051955200
2	2	2	4	165267501886946672640
2	2	3	5	-1261374661821726720
2	2	4	6	542884685972750991360
2	2	5	7	125205145779956613120
2	2	6	8	894342056419904716800
2	2	7	9	595286576814953594880
2	2	8	10	243582415673095618560
2	2	9	11	-28709984150594519040
2	2	10	12	102253611172461281280
2	4	0	0	8637674314648780800
2	4	1	1	-17083400311194255360
2	4	2	2	74704457326586757120
2	4	3	3	-154746905975665459200
2	4	4	4	439095488255463260160
2	4	5	5	-900530104579711303680
2	4	6	6	1452244413185214382080
2	4	7	7	-1759946707500914442240
2	4	8	8	824509430214701875200
2	4	9	9	453071153892603985920
2	4	10	10	-521633265039884943360
2	4	11	11	706890813197875937280
2	4	12	12	-605213046979724574720
2	6	2	0	8637674314648780800
2	6	3	1	-40693043437900922880
2	6	4	2	163082947219009044480
2	6	5	3	-562682783925692006400
2	6	6	4	1429292878577719050240
2	6	7	5	-2738139710944963461120
2	6	8	6	3801862447496885698560
2	6	9	7	-3171150742196421918720
2	6	10	8	890944875869346201600
2	6	11	9	-379987593474445148160
2	6	12	10	2544476045173527674880
2	6	13	11	-2958267870225055088640
2	6	14	12	1012624875553342095360
2	8	4	0	8637674314648780800
2	8	5	1	-74795861287588331520
2	8	6	2	331986295554685009920
2	8	7	3	-1019027215221719040000
2	8	8	4	2342531180535349248000
2	8	9	5	-4005550080991494144000
2	8	10	6	4941779525939720355840
2	8	11	7	-3679856440351984189440
2	8	12	8	-423047999502286848000
2	8	13	9	4868631982748860416000
2	8	14	10	-5580775476905626828800
2	8	15	11	2865537536189391175680
2	8	16	12	-576051121021955604480
2	10	6	0	4670742407180451840
2	10	7	1	-50510844449036697600
2	10	8	2	255810911522350694400
2	10	9	3	-811871986273261977600
2	10	10	4	1789985095884731842560
2	10	11	5	-2951277498407568015360
2	10	12	6	4036559382561061601280
2	10	13	7	-5013391482585753845760
2	10	14	8	5446462434211646668800
2	10	15	9	-4520912018707104399360
2	10	16	10	2512458253234242846720
2	10	17	11	-813058206567149076480
2	10	18	12	115075217168659906560
2	12	8	0	-106637954501836800
2	12	9	1	2445563756575457280
2	12	10	2	-17483546540467814400
2	12	11	3	72143115219409305600
2	12	12	4	-213260675010173337600
2	12	13	5	484380057334343270400
2	12	14	6	-839155391565854146560
2	12	15	7	1075976960923533312000
2	12	16	8	-990346683458558361600
2	12	17	9	631966986364885401600
2	12	18	10	-264802353019394457600
2	12	19	11	65488906858494689280
2	12	20	12	-7246302908291481600
2	14	11	1	-97159025212784640
2	14	12	2	1068749277340631040
2	14	13	3	-5343746386703155200
2	14	14	4	16031239160109465600
2	14	15	5	-32062478320218931200
2	14	16	6	44887469648306503680
2	14	17	7	-44887469648306503680
2	14	18	8	32062478320218931200
2	14	19	9	-16031239160109465600
2	14	20	10	5343746386703155200
2	14	21	11	-1068749277340631040
2	14	22	12	97159025212784640
3	0	0	2	219369506403778560
3	0	2	4	987162778817003520
3	0	3	4	-54842376600944640
3	0	3	5	219369506403778560
3	0	4	5	-109684753201889280
3	0	4	6	3619596855662346240
3	0	5	6	-548423766009446400
3	0	5	7	3290542596056678400
3	0	6	7	-767793272413224960
3	0	6	8	6800454698517135360
3	0	7	8	-1206532285220782080
3	0	7	9	7239193711324692480
3	0	8	9	-1206532285220782080
3	0	8	10	3619596855662346240
3	0	9	10	-493581389408501760
3	0	9	11	658108519211335680
3	0	11	12	-54842376600944640
3	2	0	0	73123168801259520
3	2	0	2	-166665982490270760960
3	2	1	1	-146246337602519040
3	2	1	3	98953928180304445440
3	2	2	2	731231688012595200
3	2	2	4	-582526583859133808640
3	2	3	2	-36561584400629760
3	2	3	3	-1462463376025190400
3	2	3	5	269769650500046684160
3	2	4	3	146246337602519040
3	2	4	4	4570198050078720000
3	2	4	6	-1677244403586689925120
3	2	5	4	-731231688012595200
3	2	5	5	-8482287580946104320
3	2	5	7	280043455716623646720
3	2	6	5	1425901791624560640
3	2	6	6	13564347812633640960
3	2	6	8	-2292402201523385794560
3	2	7	6	-2010887142034636800
3	2	7	7	-16598959317885911040
3	2	7	9	-798495862913653800960
3	2	8	7	2157133479637155840
3	2	8	8	1937763973233377280
3	2	8	10	-240620927336644608000
3	2	9	8	530142973809131520
3	2	9	9	6581085192113356800
3	2	9	11	139125969040496394240
3	2	10	9	-2961488336451010560
3	2	10	10	4277705374873681920
3	2	10	12	-205137909675833425920
3	2	11	10	2687276453446287360
3	2	11	11	-5045498647286906880
3	2	12	11	-2413064570441564160
3	2	13	12	1206532285220782080
3	4	0	0	-37283675692542197760
3	4	1	1	91742155657280225280
