z0	z1	z2	z3	z4	numerator	denominator
0	0	0	0	15	16333	16384
0	0	0	1	14	-765	16384
0	0	0	2	13	-5355	16384
0	0	0	3	12	140635	16384
0	0	0	4	11	-69615	16384
0	0	0	5	10	-153153	16384
0	0	0	6	9	400105	16384
0	0	0	7	8	-328185	16384
0	0	0	8	7	-328185	16384
0	0	0	9	6	400105	16384
0	0	0	10	5	-153153	16384
0	0	0	11	4	-69615	16384
0	0	0	12	3	140635	16384
0	0	0	13	2	-5355	16384
0	0	0	14	1	-765	16384
0	0	0	15	0	16333	16384
0	0	3	0	12	11495	1152
0	0	3	1	11	-25	96
0	0	3	2	10	-275	192
0	0	3	3	9	15905	288
0	0	3	4	8	-1375	128
0	0	3	5	7	-275	16
0	0	3	6	6	9595	96
0	0	3	7	5	-275	16
0	0	3	8	4	-1375	128
0	0	3	9	3	15905	288
0	0	3	10	2	-275	192
0	0	3	11	1	-25	96
0	0	3	12	0	11495	1152
0	0	4	0	11	137975	6912
0	0	4	1	10	-2915	6912
0	0	4	2	9	-14575	6912
0	0	4	3	8	146705	2304
0	0	4	4	7	8465	1152
0	0	4	5	6	25675	1152
0	0	4	6	5	25675	1152
0	0	4	7	4	8465	1152
0	0	4	8	3	146705	2304
0	0	4	9	2	-14575	6912
0	0	4	10	1	-2915	6912
0	0	4	11	0	137975	6912
0	0	5	0	10	207005	5184
0	0	5	1	9	-1775	2592
0	0	5	2	8	-1775	576
0	0	5	3	7	19825	216
0	0	5	4	6	30775	864
0	0	5	5	5	395	144
0	0	5	6	4	30775	864
0	0	5	7	3	19825	216
0	0	5	8	2	-1775	576
0	0	5	9	1	-1775	2592
0	0	5	10	0	207005	5184
0	0	6	0	9	2484415	31104
0	0	6	1	8	-3905	3456
0	0	6	2	7	-3905	864
0	0	6	3	6	387385	2592
0	0	6	4	5	41785	1728
0	0	6	5	4	41785	1728
0	0	6	6	3	387385	2592
0	0	6	7	2	-3905	864
0	0	6	8	1	-3905	3456
0	0	6	9	0	2484415	31104
0	0	7	0	8	611465	5832
0	0	7	1	7	-895	729
0	0	7	2	6	-6265	1458
0	0	7	3	5	66635	729
0	0	7	4	4	143635	2916
0	0	7	5	3	66635	729
0	0	7	6	2	-6265	1458
0	0	7	7	1	-895	729
0	0	7	8	0	611465	5832
0	0	8	0	7	611495	5832
0	0	8	1	6	-6055	5832
0	0	8	2	5	-6055	1944
0	0	8	3	4	377965	5832
0	0	8	4	3	377965	5832
0	0	8	5	2	-6055	1944
0	0	8	6	1	-6055	5832
0	0	8	7	0	611495	5832
0	0	9	0	6	232955	2916
0	0	9	1	5	-325	486
0	0	9	2	4	-1625	972
0	0	9	3	3	42115	729
0	0	9	4	2	-1625	972
0	0	9	5	1	-325	486
0	0	9	6	0	232955	2916
0	0	10	0	5	29120	729
0	0	10	1	4	-200	729
0	0	10	2	3	-400	729
0	0	10	3	2	-400	729
0	0	10	4	1	-200	729
0	0	10	5	0	29120	729
0	0	11	0	4	14560	729
0	0	11	1	3	-80	729
0	0	11	2	2	-40	243
0	0	11	3	1	-80	729
0	0	11	4	0	14560	729
0	0	12	0	3	7280	729
0	0	12	1	2	-10	243
0	0	12	2	1	-10	243
0	0	12	3	0	7280	729
0	0	15	0	0	728	729
0	1	2	0	12	-25	384
0	1	2	1	11	-25	32
0	1	2	2	10	685	64
0	1	2	3	9	-1375	96
0	1	2	4	8	995	128
0	1	2	5	7	295	16
0	1	2	6	6	-1925	32
0	1	2	7	5	295	16
0	1	2	8	4	995	128
0	1	2	9	3	-1375	96
0	1	2	10	2	685	64
0	1	2	11	1	-25	32
0	1	2	12	0	-25	384
0	1	3	0	11	-265	1728
0	1	3	1	10	-2915	1728
0	1	3	2	9	71825	1728
0	1	3	3	8	2705	576
0	1	3	4	7	-11695	288
0	1	3	5	6	19915	288
0	1	3	6	5	19915	288
0	1	3	7	4	-11695	288
0	1	3	8	3	2705	576
0	1	3	9	2	71825	1728
0	1	3	10	1	-2915	1728
0	1	3	11	0	-265	1728
0	1	4	0	10	-1775	5184
0	1	4	1	9	-8875	2592
0	1	4	2	8	48725	576
0	1	4	3	7	1925	216
0	1	4	4	6	-1645	864
0	1	4	5	5	19255	144
0	1	4	6	4	-1645	864
0	1	4	7	3	1925	216
0	1	4	8	2	48725	576
0	1	4	9	1	-8875	2592
0	1	4	10	0	-1775	5184
0	1	5	0	9	-3905	5184
0	1	5	1	8	-3905	576
0	1	5	2	7	23455	144
0	1	5	3	6	15865	432
0	1	5	4	5	21625	288
0	1	5	5	4	21625	288
0	1	5	6	3	15865	432
0	1	5	7	2	23455	144
0	1	5	8	1	-3905	576
0	1	5	9	0	-3905	5184
0	1	6	0	8	-6265	5832
0	1	6	1	7	-6265	729
0	1	6	2	6	320645	1458
0	1	6	3	5	80075	729
0	1	6	4	4	-15155	2916
0	1	6	5	3	80075	729
0	1	6	6	2	320645	1458
0	1	6	7	1	-6265	729
0	1	6	8	0	-6265	5832
0	1	7	0	7	-865	729
0	1	7	1	6	-6055	729
0	1	7	2	5	40115	243
0	1	7	3	4	42625	729
0	1	7	4	3	42625	729
0	1	7	5	2	40115	243
0	1	7	6	1	-6055	729
0	1	7	7	0	-865	729
0	1	8	0	6	-325	324
0	1	8	1	5	-325	54
0	1	8	2	4	9175	108
0	1	8	3	3	3235	81
0	1	8	4	2	9175	108
0	1	8	5	1	-325	54
0	1	8	6	0	-325	324
0	1	9	0	5	-400	729
0	1	9	1	4	-2000	729
0	1	9	2	3	32450	729
0	1	9	3	2	32450	729
0	1	9	4	1	-2000	729
0	1	9	5	0	-400	729
0	1	10	0	4	-220	729
0	1	10	1	3	-880	729
0	1	10	2	2	3205	243
0	1	10	3	1	-880	729
0	1	10	4	0	-220	729
0	1	11	0	3	-40	243
0	1	11	1	2	-40	81
0	1	11	2	1	-40	81
0	1	11	3	0	-40	243
0	1	14	0	0	-5	243
0	2	1	0	12	-25	384
0	2	1	1	11	-25	32
0	2	1	2	10	205	64
0	2	1	3	9	-1375	96
0	2	1	4	8	-1565	128
0	2	1	5	7	-265	16
0	2	1	6	6	-965	32
0	2	1	7	5	-265	16
0	2	1	8	4	-1565	128
0	2	1	9	3	-1375	96
0	2	1	10	2	205	64
0	2	1	11	1	-25	32
0	2	1	12	0	-25	384
0	2	2	0	11	-265	1152
0	2	2	1	10	5725	1152
0	2	2	2	9	-14575	1152
0	2	2	3	8	-4975	384
0	2	2	4	7	5585	192
0	2	2	5	6	-12725	192
0	2	2	6	5	-12725	192
0	2	2	7	4	5585	192
0	2	2	8	3	-4975	384
0	2	2	9	2	-14575	1152
0	2	2	10	1	5725	1152
0	2	2	11	0	-265	1152
0	2	3	0	10	-1775	2592
0	2	3	1	9	23525	1296
0	2	3	2	8	-1675	288
0	2	3	3	7	-2395	108
0	2	3	4	6	2675	432
0	2	3	5	5	535	72
0	2	3	6	4	2675	432
0	2	3	7	3	-2395	108
0	2	3	8	2	-1675	288
0	2	3	9	1	23525	1296
0	2	3	10	0	-1775	2592
0	2	4	0	9	-19525	10368
0	2	4	1	8	38075	1152
0	2	4	2	7	8555	288
0	2	4	3	6	-63235	864
0	2	4	4	5	59165	576
0	2	4	5	4	59165	576
0	2	4	6	3	-63235	864
0	2	4	7	2	8555	288
0	2	4	8	1	38075	1152
0	2	4	9	0	-19525	10368
0	2	5	0	8	-6265	1944
0	2	5	1	7	16820	243
0	2	5	2	6	12035	486
0	2	5	3	5	-4975	243
0	2	5	4	4	191395	972
0	2	5	5	3	-4975	243
0	2	5	6	2	12035	486
0	2	5	7	1	16820	243
0	2	5	8	0	-6265	1944
0	2	6	0	7	-6055	1458
0	2	6	1	6	139865	1458
0	2	6	2	5	17080	243
0	2	6	3	4	16145	729
0	2	6	4	3	16145	729
0	2	6	5	2	17080	243
0	2	6	6	1	139865	1458
0	2	6	7	0	-6055	1458
0	2	7	0	6	-325	81
0	2	7	1	5	1915	27
0	2	7	2	4	1885	27
0	2	7	3	3	-830	81
0	2	7	4	2	1885	27
0	2	7	5	1	1915	27
0	2	7	6	0	-325	81
0	2	8	0	5	-200	81
0	2	8	1	4	3050	81
0	2	8	2	3	2075	162
0	2	8	3	2	2075	162
0	2	8	4	1	3050	81
0	2	8	5	0	-200	81
0	2	9	0	4	-1100	729
0	2	9	1	3	13825	729
0	2	9	2	2	6535	486
0	2	9	3	1	13825	729
0	2	9	4	0	-1100	729
0	2	10	0	3	-220	243
0	2	10	1	2	775	162
0	2	10	2	1	775	162
0	2	10	3	0	-220	243
0	2	13	0	0	-35	243
0	3	0	0	12	2855	1152
0	3	0	1	11	-25	96
0	3	0	2	10	445	192
0	3	0	3	9	2945	288
0	3	0	4	8	-95	128
0	3	0	5	7	5	16
0	3	0	6	6	955	96
0	3	0	7	5	5	16
0	3	0	8	4	-95	128
0	3	0	9	3	2945	288
0	3	0	10	2	445	192
0	3	0	11	1	-25	96
0	3	0	12	0	2855	1152
0	3	1	0	11	-265	1728
0	3	1	1	10	-2915	1728
0	3	1	2	9	7025	1728
0	3	1	3	8	-10255	576
0	3	1	4	7	-5935	288
0	3	1	5	6	-4565	288
0	3	1	6	5	-4565	288
0	3	1	7	4	-5935	288
0	3	1	8	3	-10255	576
0	3	1	9	2	7025	1728
0	3	1	10	1	-2915	1728
0	3	1	11	0	-265	1728
0	3	2	0	10	-1775	2592
0	3	2	1	9	7325	1296
0	3	2	2	8	-7075	288
0	3	2	3	7	305	108
0	3	2	4	6	-4885	432
0	3	2	5	5	-7925	72
0	3	2	6	4	-4885	432
0	3	2	7	3	305	108
0	3	2	8	2	-7075	288
0	3	2	9	1	7325	1296
0	3	2	10	0	-1775	2592
0	3	3	0	9	97115	7776
0	3	3	1	8	-85	864
0	3	3	2	7	-7645	216
0	3	3	3	6	20465	648
0	3	3	4	5	-31915	432
0	3	3	5	4	-31915	432
0	3	3	6	3	20465	648
0	3	3	7	2	-7645	216
0	3	3	8	1	-85	864
0	3	3	9	0	97115	7776
0	3	4	0	8	70735	5832
0	3	4	1	7	6605	1458
0	3	4	2	6	-23980	729
0	3	4	3	5	9785	1458
0	3	4	4	4	7675	1458
0	3	4	5	3	9785	1458
0	3	4	6	2	-23980	729
0	3	4	7	1	6605	1458
0	3	4	8	0	70735	5832
0	3	5	0	7	12170	729
0	3	5	1	6	28225	1458
0	3	5	2	5	-13225	243
0	3	5	3	4	111965	1458
0	3	5	4	3	111965	1458
0	3	5	5	2	-13225	243
0	3	5	6	1	28225	1458
0	3	5	7	0	12170	729
0	3	6	0	6	7445	243
0	3	6	1	5	3455	162
0	3	6	2	4	-7025	324
0	3	6	3	3	19565	486
0	3	6	4	2	-7025	324
0	3	6	5	1	3455	162
0	3	6	6	0	7445	243
0	3	7	0	5	4475	243
0	3	7	1	4	7085	486
0	3	7	2	3	-205	243
0	3	7	3	2	-205	243
0	3	7	4	1	7085	486
0	3	7	5	0	4475	243
0	3	8	0	4	6305	486
0	3	8	1	3	2135	486
0	3	8	2	2	-2725	324
0	3	8	3	1	2135	486
0	3	8	4	0	6305	486
0	3	9	0	3	8735	729
0	3	9	1	2	1675	486
0	3	9	2	1	1675	486
0	3	9	3	0	8735	729
0	3	12	0	0	2735	1458
0	4	0	0	11	17015	6912
0	4	0	1	10	3565	6912
0	4	0	2	9	28625	6912
0	4	0	3	8	21425	2304
0	4	0	4	7	905	1152
0	4	0	5	6	8395	1152
0	4	0	6	5	8395	1152
0	4	0	7	4	905	1152
0	4	0	8	3	21425	2304
0	4	0	9	2	28625	6912
0	4	0	10	1	3565	6912
0	4	0	11	0	17015	6912
0	4	1	0	10	-1775	5184
0	4	1	1	9	-8875	2592
0	4	1	2	8	1925	576
0	4	1	3	7	-4555	216
0	4	1	4	6	-25945	864
0	4	1	5	5	1795	144
0	4	1	6	4	-25945	864
0	4	1	7	3	-4555	216
0	4	1	8	2	1925	576
0	4	1	9	1	-8875	2592
0	4	1	10	0	-1775	5184
0	4	2	0	9	-19525	10368
0	4	2	1	8	-805	1152
0	4	2	2	7	-2965	288
0	4	2	3	6	-31915	864
0	4	2	4	5	-21475	576
0	4	2	5	4	-21475	576
0	4	2	6	3	-31915	864
0	4	2	7	2	-2965	288
0	4	2	8	1	-805	1152
0	4	2	9	0	-19525	10368
0	4	3	0	8	19705	5832
0	4	3	1	7	-26885	2916
0	4	3	2	6	-9400	729
0	4	3	3	5	8635	2916
0	4	3	4	4	-614465	5832
0	4	3	5	3	8635	2916
0	4	3	6	2	-9400	729
0	4	3	7	1	-26885	2916
0	4	3	8	0	19705	5832
0	4	4	0	7	2455	729
0	4	4	1	6	-238985	11664
0	4	4	2	5	6425	486
0	4	4	3	4	-495085	11664
0	4	4	4	3	-495085	11664
0	4	4	5	2	6425	486
0	4	4	6	1	-238985	11664
0	4	4	7	0	2455	729
0	4	5	0	6	155	162
0	4	5	1	5	-635	54
0	4	5	2	4	1615	216
0	4	5	3	3	335	81
0	4	5	4	2	1615	216
0	4	5	5	1	-635	54
0	4	5	6	0	155	162
0	4	6	0	5	845	243
0	4	6	1	4	-11155	1944
0	4	6	2	3	775	1944
0	4	6	3	2	775	1944
0	4	6	4	1	-11155	1944
0	4	6	5	0	845	243
0	4	7	0	4	4565	972
0	4	7	1	3	-4825	972
0	4	7	2	2	1325	162
0	4	7	3	1	-4825	972
0	4	7	4	0	4565	972
0	4	8	0	3	635	324
0	4	8	1	2	-445	108
0	4	8	2	1	-445	108
0	4	8	3	0	635	324
0	4	11	0	0	305	486
0	5	0	0	10	12605	5184
0	5	0	1	9	6325	2592
0	5	0	2	8	2725	576
0	5	0	3	7	935	108
0	5	0	4	6	7015	864
