x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	658108519211335680
0	0	0	2	3948651115268014080
0	0	1	1	-2632434076845342720
0	0	1	3	-7897302230536028160
0	0	2	0	658108519211335680
0	0	2	2	9871627788170035200
0	0	2	4	21717581133974077440
0	0	3	1	-4606759634479349760
0	0	3	3	-29614883364510105600
0	0	3	5	-37512185595046133760
0	0	4	0	658108519211335680
0	0	4	2	21717581133974077440
0	0	4	4	84895998978262302720
0	0	4	6	92793301208798330880
0	0	5	1	-7458563217728471040
0	0	5	3	-87967172067915202560
0	0	5	5	-225073113570276802560
0	0	5	7	-144125765707282513920
0	0	6	0	355866088166129664
0	0	6	2	42630807411134300160
0	0	6	4	284083510792893235200
0	0	6	6	483709761620331724800
0	0	6	8	199406881321034711040
0	0	7	1	-4874877920083968000
0	0	7	3	-165989593178859110400
0	0	7	5	-714047743344299212800
0	0	7	7	-827242408648648949760
0	0	7	9	-221124462455008788480
0	0	8	0	-8124796533473280
0	0	8	2	31662332090945372160
0	0	8	4	488389644423612334080
0	0	8	6	1387073388991091834880
0	0	8	8	981239802144101498880
0	0	8	10	-25666232249242091520
0	0	9	1	219369506403778560
0	0	9	3	-130354235583045304320
0	0	9	5	-1113738984011983749120
0	0	9	7	-1964453929845837004800
0	0	9	9	-541623311310929264640
0	0	9	11	71075720074824253440
0	0	10	2	-1998699947234426880
0	0	10	4	380142980208147824640
0	0	10	6	1956337258108897198080
0	0	10	8	1786106521139565035520
0	0	10	10	-242183935069771530240
0	0	10	12	177689300187060633600
0	0	11	1	-8124796533473280
0	0	11	3	10570360290048737280
0	0	11	5	-839205359064535007232
0	0	11	7	-2515510129932128747520
0	0	11	9	-925958686530349301760
0	0	11	11	752218037458556682240
0	0	11	13	-171766323514158612480
0	0	12	2	113747151468625920
0	0	12	4	-39705880659083919360
0	0	12	6	1501949887177870540800
0	0	12	8	1848188091451834368000
0	0	12	10	945043833587478036480
0	0	12	12	-1052315522218925752320
0	0	12	14	82921673420628295680
0	0	13	3	-739356484546068480
0	0	13	5	115558981095590461440
