x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	0	0	987162778817003520
0	0	0	2	658108519211335680
0	0	1	0	987162778817003520
0	0	1	2	1316217038422671360
0	0	2	0	1357348820873379840
0	0	2	2	2467906947042508800
0	0	2	4	658108519211335680
0	0	3	0	1172255799845191680
0	0	3	2	3701860420563763200
0	0	3	4	2303379817239674880
0	0	4	0	1449895331387473920
0	0	4	2	5305999936141393920
0	0	4	4	5429395283493519360
0	0	4	6	658108519211335680
0	0	5	0	1125982544588144640
0	0	5	2	7033534799071150080
0	0	5	4	10995896508489400320
0	0	5	6	3729281608864235520
0	0	6	0	778933130160291840
0	0	6	2	7557965025317683200
0	0	6	4	17755219424555827200
0	0	6	6	10657701852783575040
0	0	6	8	355866088166129664
0	0	7	0	431883715732439040
0	0	7	2	6462831317567569920
0	0	7	4	22313991979509350400
0	0	7	6	20748699147357388800
0	0	7	8	2437438960041984000
0	0	8	0	-25064679930900480
0	0	8	2	3832967977125396480
0	0	8	4	21673021702985809920
0	0	8	6	30524352776475770880
0	0	8	8	7915583022736343040
0	0	8	10	-8124796533473280
0	0	9	0	-34704941442785280
0	0	9	2	1057858029904158720
0	0	9	4	15347296326920601600
0	0	9	6	34804343250374492160
0	0	9	8	16294279447880663040
0	0	9	10	-109684753201889280
0	0	10	0	43381176803481600
0	0	10	2	-236507749091573760
0	0	10	4	6976978598201425920
0	0	10	6	30567769657951518720
0	0	10	8	23758936263009239040
0	0	10	10	-499674986808606720
0	0	11	0	20967568788349440
0	0	11	2	-367293963602810880
0	0	11	4	1808513059629588480
0	0	11	6	19652422890094755840
0	0	11	8	26225167470766718976
0	0	11	10	-1321295036256092160
0	0	11	12	4062398266736640
0	0	12	0	5061137293739520
0	0	12	2	-256912969291729920
0	0	12	4	922894368737771520
0	0	12	6	7219484732233728000
0	0	12	8	23467966987154227200
0	0	12	10	-2481617541192744960
0	0	12	12	28436787867156480
0	0	13	0	1265284323434880
0	0	13	2	-140024798460126720
0	0	13	4	1307540803061975040
0	0	13	6	-1441326210043576320
0	0	13	8	18372767436072714240
0	0	13	10	-3611218159237201920
0	0	13	12	92419560568258560
0	0	14	2	-43863189879075840
0	0	14	4	999159548698460160
0	0	14	6	-4189229196997939200
0	0	14	8	13084191379997245440
0	0	14	10	-4167005022105108480
0	0	14	12	184839121136517120
0	0	15	2	-5482898734884480
0	0	15	4	395545285533473280
0	0	15	6	-3050892835805675520
0	0	15	8	8169324226975088640
0	0	15	10	-3789265458271518720
0	0	15	12	254153791562711040
0	0	16	4	80415848111639040
0	0	16	6	-1269426065417763840
0	0	16	8	4142118072098377728
0	0	16	10	-2680135518993039360
0	0	16	12	254153791562711040
0	0	17	4	6701320675969920
0	0	17	6	-320851111152499200
0	0	17	8	1592071336351641600
0	0	17	10	-1455623947693301760
0	0	17	12	190615343672033280
0	0	18	6	-45951913206650880
0	0	18	8	438179639608719360
0	0	18	10	-598553125871247360
0	0	18	12	108923053526876160
0	0	19	6	-2871994575415680
0	0	19	8	80850254957544960
0	0	19	10	-182677004871505920
0	0	19	12	47653835918008320
0	0	20	8	8935094234626560
0	0	20	10	-40070560247239680
0	0	20	12	15884611972669440
0	0	21	8	446754711731328
0	0	21	10	-5971606436528640
0	0	21	12	3971152993167360
0	0	22	10	-541520862704640
0	0	22	12	722027816939520
0	0	23	10	-22563369279360
0	0	23	12	90253477117440
0	0	24	12	6942575162880
0	0	25	12	247949112960
0	1	1	1	-14807441682255052800
0	1	1	3	-9871627788170035200
0	1	2	1	-14807441682255052800
0	1	2	3	-19743255576340070400
0	1	3	1	-20360232313100697600
0	1	3	3	-37018604205637632000
0	1	3	5	-9871627788170035200
0	1	4	1	-17583836997677875200
0	1	4	3	-55527906308456448000
0	1	4	5	-34550697258595123200
0	1	5	1	-21748429970812108800
0	1	5	3	-79589999042120908800
0	1	5	5	-81440929252402790400
0	1	5	7	-9871627788170035200
0	1	6	1	-16889738168822169600
0	1	6	3	-105503021986067251200
0	1	6	5	-164938447627341004800
0	1	6	7	-55939224132963532800
0	1	7	1	-11683996952404377600
0	1	7	3	-113369475379765248000
0	1	7	5	-266328291368337408000
0	1	7	7	-159865527791753625600
0	1	7	9	-5337991322491944960
0	1	8	1	-6478255735986585600
0	1	8	3	-96942469763513548800
0	1	8	5	-334709879692640256000
0	1	8	7	-311230487210360832000
0	1	8	9	-36561584400629760000
0	1	9	1	375970198963507200
0	1	9	3	-57494519656880947200
