x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	1	1	23691906691608084480
0	0	2	2	-219150136897374781440
0	0	2	4	11845953345804042240
0	0	3	1	118459533458040422400
0	0	3	2	5922976672902021120
0	0	3	3	1060212824449461780480
0	0	3	5	-76998696747726274560
0	0	4	1	47383813383216168960
0	0	4	2	-1024674964412049653760
0	0	4	3	-41460836710314147840
0	0	4	4	-3014795126507128750080
0	0	4	6	272456926953492971520
0	0	5	1	509375993869573816320
0	0	5	2	-307994786990905098240
0	0	5	3	4839071941760951255040
0	0	5	4	313917763663807119360
0	0	5	5	5490599375780173578240
0	0	5	7	-544913853906985943040
0	0	6	1	521221947215377858560
0	0	6	2	-4590306921499066368000
0	0	6	3	1539973934954525491200
0	0	6	4	-13498463837543706132480
0	0	6	5	-894369477608205189120
0	0	6	6	-5952591556266531225600
0	0	6	8	556759807252789985280
0	0	7	1	995060081047539548160
0	0	7	2	-4300081064526867333120
0	0	7	3	21186487558970529546240
0	0	7	4	-4051316044264982446080
0	0	7	5	23626753948206162247680
0	0	7	6	1569588818319035596800
0	0	7	7	2469881272600142807040
0	0	7	9	59229766729020211200
0	0	8	1	1042443894430755717120
0	0	8	2	-9749219603596726763520
0	0	8	3	17614932625210610810880
0	0	8	4	-60775663640647638712320
0	0	8	5	5401754725686643261440
0	0	8	6	-25409569926749670604800
0	0	8	7	-2150040532263433666560
0	0	8	8	2150040532263433666560
0	0	8	10	-651527434019222323200
0	0	9	1	497530040523769774080
0	0	9	2	-11016736611597759283200
0	0	9	3	45156774154205009018880
0	0	9	4	-45476614894541718159360
0	0	9	5	112589863575194519470080
0	0	9	6	-4744304314994518917120
0	0	9	7	11668264045616981606400
0	0	9	8	2446189365908534722560
0	0	9	9	-2150040532263433666560
0	0	9	11	213227160224472760320
0	0	10	1	71075720074824253440
0	0	10	2	-5603135932565311979520
0	0	10	3	53733244376567135600640
0	0	10	4	-130495022057377329315840
0	0	10	5	75020422538976999505920
