x	y	r	h	coefficient_scaled_64_times_6_pow_15
0	0	1	2	5922976672902021120
0	0	2	0	11845953345804042240
0	0	2	2	-54787534224343695360
0	0	3	0	-76998696747726274560
0	0	3	2	265053206112365445120
0	0	3	3	-740372084112752640
0	0	3	4	7403720841127526400
0	0	4	0	272456926953492971520
0	0	4	2	-753698781626782187520
0	0	4	3	5182604588789268480
0	0	4	4	-64042185275753103360
0	0	4	5	-1480744168225505280
0	0	5	0	-544913853906985943040
0	0	5	2	1372649843945043394560
0	0	5	3	-39239720457975889920
0	0	5	4	302441996360059453440
0	0	5	5	9624837093465784320
0	0	5	6	7958999904212090880
0	0	6	0	556759807252789985280
0	0	6	2	-1488147889066632806400
0	0	6	3	111796184701025648640
0	0	6	4	-843653989846481633280
0	0	6	5	-48124185467328921600
0	0	6	6	-71723545648422912000
0	0	6	7	-4072046462620139520
0	0	7	0	59229766729020211200
0	0	7	2	617470318150035701760
0	0	7	3	-196198602289879449600
0	0	7	4	1476672121762885140480
0	0	7	5	126603626383280701440
0	0	7	6	331038868108914524160
0	0	7	7	33594383316616151040
0	0	7	8	3886953441591951360
0	0	8	0	-651527434019222323200
0	0	8	2	537510133065858416640
0	0	8	3	268755066532929208320
0	0	8	4	-1588098120421854412800
0	0	8	5	-168804835177707601920
0	0	8	6	-949619744385119354880
0	0	8	7	-137616661134457896960
0	0	8	8	-38082889076549713920
0	0	8	9	-2036023231310069760
0	0	9	0	213227160224472760320
0	0	9	2	-537510133065858416640
0	0	9	3	-305773670738566840320
0	0	9	4	729266502851061350400
0	0	9	5	148259509843578716160
0	0	9	6	1759216618362414366720
0	0	9	7	355286053863607173120
0	0	9	8	176393649039863316480
0	0	9	9	21517063694526873600
0	0	9	10	485869180198993920
0	0	10	0	379070507065729351680
0	0	10	2	-396839437084435415040
0	0	10	3	319100368252596387840
0	0	10	4	489385947598529495040
0	0	10	5	-204897974278204293120
0	0	10	6	-2095900823612688629760
0	0	10	7	-586097051085757808640
0	0	10	8	-509746179911630192640
0	0	10	9	-104947742922982686720
0	0	10	10	-5471812434145812480
0	0	10	11	-34704941442785280
0	0	11	0	212042564889892356096
0	0	11	2	423492832112494510080
0	0	11	3	-310956275327356108800
0	0	11	4	-792938502084758077440
0	0	11	5	403687878862478376960
0	0	11	6	1485834226303780454400
0	0	11	7	532929080795410759680
0	0	11	8	1015535996498782863360
0	0	11	9	312830342165266513920
0	0	11	10	28307663903498526720
0	0	11	11	387538512777768960
0	0	11	12	2892078453565440
0	0	12	2	201381206878668718080
0	0	12	3	254687996934786908160
0	0	12	4	94397440724375961600
0	0	12	5	-606920015951428976640
0	0	12	6	-354175495737438044160
0	0	12	7	-22349982289153720320
0	0	12	8	-1451777110434593832960
0	0	12	9	-635308658051627335680
0	0	12	10	-89018174800744243200
0	0	12	11	-1972397505331630080
0	0	12	12	-34704941442785280
0	0	13	2	-192496741869315686400
0	0	13	3	-148074416822550528000
0	0	13	4	440151204005031444480
0	0	13	5	630611922643037061120
0	0	13	6	-442279773746855608320
0	0	13	7	-618164416978891407360
0	0	13	8	1506194458616881152000
0	0	13	9	926205477225053552640
0	0	13	10	189662504984821555200
0	0	13	11	6044443967951769600
0	0	13	12	190877177935319040
0	0	14	3	41460836710314147840
0	0	14	4	-326874275135780290560
0	0	14	5	-424418297217635450880
0	0	14	6	561387132778494689280
0	0	14	7	863320123330726625280
0	0	14	8	-1127216498061665894400
0	0	14	9	-993116604326743572480
0	0	14	10	-288675702921087959040
0	0	14	11	-12407016565795737600
0	0	14	12	-636257259784396800
0	0	15	4	75888138621557145600
0	0	15	5	161956393399664640000
0	0	15	6	-311326461369412485120
0	0	15	7	-632971858661146460160
0	0	15	8	596508533518593392640
0	0	15	9	787524531219683573760
0	0	15	10	322131266471932968960
0	0	15	11	17942454725919989760
0	0	15	12	1431578834514892800
0	0	16	5	-26098115964974530560
