x	y	z	v	lambda	numerator	denominator
0	6	6	0	0	-55	248832
0	6	6	1	0	-1045	62208
0	6	6	2	0	-1975	41472
0	6	6	3	0	-605	6912
0	6	6	4	0	25	3072
0	7	6	0	0	1045	746496
0	7	6	1	0	6335	62208
0	7	6	2	0	9995	41472
0	7	6	3	0	1505	2304
0	7	6	4	0	-75	1024
0	8	6	0	0	-335	93312
0	8	6	1	0	-16955	62208
0	8	6	2	0	-9145	20736
0	8	6	3	0	-5075	2304
0	8	6	4	0	75	256
0	8	8	0	0	-55	124416
0	8	8	1	0	-1495	124416
0	8	8	2	0	-1055	41472
0	8	8	3	0	-5	1536
0	9	6	0	0	215	46656
0	9	6	1	0	8995	20736
0	9	6	2	0	1565	6912
0	9	6	3	0	30755	6912
0	9	6	4	0	-175	256
0	9	8	0	0	185	124416
0	9	8	1	0	6065	124416
0	9	8	2	0	4865	41472
0	9	8	3	0	35	1536
0	9	9	0	0	95	373248
0	9	9	0	1	-95	186624
0	9	9	1	0	25	124416
0	9	9	1	1	-25	62208
0	9	9	2	0	245	41472
0	9	9	2	1	-245	20736
0	9	9	3	0	-5	13824
0	9	9	3	1	5	6912
0	10	6	0	0	-1045	373248
0	10	6	1	0	-29425	62208
0	10	6	2	0	995	2592
0	10	6	3	0	-13805	2304
0	10	6	4	0	525	512
0	10	8	0	0	-175	124416
0	10	8	1	0	-995	13824
0	10	8	2	0	-935	4608
0	10	8	3	0	-35	512
0	10	9	0	0	-205	186624
0	10	9	0	1	205	93312
0	10	9	1	0	85	62208
0	10	9	1	1	-85	31104
0	10	9	2	0	-655	20736
0	10	9	2	1	655	10368
0	10	9	3	0	5	2304
0	10	9	3	1	-5	1152
0	10	10	0	0	-5	746496
0	10	10	1	0	-25	13824
0	10	10	2	0	-5	9216
0	11	6	0	0	35	124416
0	11	6	1	0	7985	20736
0	11	6	2	0	-865	1152
0	11	6	3	0	12935	2304
0	11	6	4	0	-525	512
0	11	8	0	0	-305	373248
0	11	8	1	0	4085	124416
0	11	8	2	0	5645	41472
0	11	8	3	0	175	1536
0	11	9	0	0	725	373248
0	11	9	0	1	-725	186624
0	11	9	1	0	-1025	124416
0	11	9	1	1	1025	62208
0	11	9	2	0	2975	41472
0	11	9	2	1	-2975	20736
0	11	9	3	0	-25	4608
0	11	9	3	1	25	2304
0	11	10	0	0	-415	746496
0	11	10	1	0	235	41472
0	11	10	2	0	25	9216
0	11	11	0	0	95	746496
0	11	11	0	1	-95	373248
0	11	11	1	0	55	124416
0	11	11	1	1	-55	62208
0	11	11	2	0	5	27648
0	11	11	2	1	-5	13824
0	12	6	0	0	25	46656
0	12	6	1	0	-14825	62208
0	12	6	2	0	11945	20736
0	12	6	3	0	-25315	6912
0	12	6	4	0	175	256
0	12	8	0	0	355	124416
0	12	8	1	0	3835	124416
0	12	8	2	0	1195	41472
0	12	8	3	0	-175	1536
0	12	9	0	0	-175	93312
0	12	9	0	1	175	46656
0	12	9	1	0	475	31104
0	12	9	1	1	-475	15552
0	12	9	2	0	-925	10368
0	12	9	2	1	925	5184
