x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	-165	128
0	0	0	1	0	-3135	32
0	0	0	2	0	-17775	64
0	0	0	3	0	-16335	32
0	0	0	4	0	6075	128
0	1	0	0	0	1045	128
0	1	0	1	0	19005	32
0	1	0	2	0	89955	64
0	1	0	3	0	121905	32
0	1	0	4	0	-54675	128
0	2	0	0	0	-335	16
0	2	0	1	0	-50865	32
0	2	0	2	0	-82305	32
0	2	0	3	0	-411075	32
0	2	0	4	0	54675	32
0	2	2	0	0	-165	64
0	2	2	1	0	-4485	64
0	2	2	2	0	-9495	64
0	2	2	3	0	-1215	64
0	3	0	0	0	215	8
0	3	0	1	0	80955	32
0	3	0	2	0	42255	32
0	3	0	3	0	830385	32
0	3	0	4	0	-127575	32
0	3	2	0	0	555	64
0	3	2	1	0	18195	64
0	3	2	2	0	43785	64
0	3	2	3	0	8505	64
0	3	3	0	0	285	64
0	3	3	0	1	-285	32
0	3	3	1	0	225	64
0	3	3	1	1	-225	32
0	3	3	2	0	6615	64
0	3	3	2	1	-6615	32
0	3	3	3	0	-405	64
0	3	3	3	1	405	32
0	4	0	0	0	-1045	64
0	4	0	1	0	-88275	32
0	4	0	2	0	8955	4
0	4	0	3	0	-1118205	32
0	4	0	4	0	382725	64
0	4	2	0	0	-525	64
0	4	2	1	0	-26865	64
0	4	2	2	0	-75735	64
0	4	2	3	0	-25515	64
0	4	3	0	0	-615	32
0	4	3	0	1	615	16
0	4	3	1	0	765	32
0	4	3	1	1	-765	16
0	4	3	2	0	-17685	32
0	4	3	2	1	17685	16
0	4	3	3	0	1215	32
0	4	3	3	1	-1215	16
0	4	4	0	0	-5	128
0	4	4	1	0	-675	64
0	4	4	2	0	-405	128
0	5	0	0	0	105	64
0	5	0	1	0	71865	32
0	5	0	2	0	-70065	16
0	5	0	3	0	1047735	32
0	5	0	4	0	-382725	64
0	5	2	0	0	-305	64
0	5	2	1	0	12255	64
0	5	2	2	0	50805	64
0	5	2	3	0	42525	64
0	5	3	0	0	2175	64
0	5	3	0	1	-2175	32
0	5	3	1	0	-9225	64
0	5	3	1	1	9225	32
0	5	3	2	0	80325	64
0	5	3	2	1	-80325	32
0	5	3	3	0	-6075	64
0	5	3	3	1	6075	32
0	5	4	0	0	-415	128
0	5	4	1	0	2115	64
0	5	4	2	0	2025	128
0	5	5	0	0	285	128
0	5	5	0	1	-285	64
0	5	5	1	0	495	64
0	5	5	1	1	-495	32
0	5	5	2	0	405	128
0	5	5	2	1	-405	64
0	6	0	0	0	25	8
0	6	0	1	0	-44475	32
0	6	0	2	0	107505	32
0	6	0	3	0	-683505	32
0	6	0	4	0	127575	32
0	6	2	0	0	1065	64
