x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	315	4096
0	0	0	1	0	1455	2048
0	0	0	2	0	12405	4096
0	0	0	3	0	5625	1024
0	0	0	4	0	27765	4096
0	0	0	5	0	-2385	2048
0	0	0	6	0	315	4096
0	1	0	0	0	-4095	4096
0	1	0	1	0	-18915	2048
0	1	0	2	0	-161265	4096
0	1	0	3	0	-73125	1024
0	1	0	4	0	-360945	4096
0	1	0	5	0	31005	2048
0	1	0	6	0	-4095	4096
0	2	0	0	0	12285	2048
0	2	0	1	0	56745	1024
0	2	0	2	0	483795	2048
0	2	0	3	0	219375	512
0	2	0	4	0	1082835	2048
0	2	0	5	0	-93015	1024
0	2	0	6	0	12285	2048
0	3	0	0	0	-400285	18432
0	3	0	1	0	-206145	1024
0	3	0	2	0	-5292305	6144
0	3	0	3	0	-7214735	4608
0	3	0	4	0	-11904785	6144
0	3	0	5	0	341055	1024
0	3	0	6	0	-45045	2048
0	3	2	0	0	45	128
0	3	2	1	0	85	32
0	3	2	2	0	515	64
0	3	2	3	0	305	32
0	3	2	4	0	-75	128
0	3	3	0	0	-355	9216
0	3	3	0	1	355	4608
0	3	3	1	0	-515	1024
0	3	3	1	1	515	512
0	3	3	2	0	-1945	1536
0	3	3	2	1	1945	768
0	3	3	3	0	-8575	4608
0	3	3	3	1	8575	2304
0	3	3	4	0	1075	3072
0	3	3	4	1	-1075	1536
0	3	3	5	0	-15	1024
0	3	3	5	1	15	512
0	4	0	0	0	645595	12288
0	4	0	1	0	27147335	55296
0	4	0	2	0	78168575	36864
0	4	0	3	0	11908505	3072
0	4	0	4	0	19810375	4096
0	4	0	5	0	-1705275	2048
0	4	0	6	0	225225	4096
0	4	2	0	0	-12755	4608
0	4	2	1	0	-25105	1152
0	4	2	2	0	-17785	256
0	4	2	3	0	-100345	1152
0	4	2	4	0	8575	1536
0	4	3	0	0	1195	4608
0	4	3	0	1	-1195	2304
0	4	3	1	0	47845	13824
0	4	3	1	1	-47845	6912
0	4	3	2	0	19075	2304
0	4	3	2	1	-19075	1152
0	4	3	3	0	37315	2304
0	4	3	3	1	-37315	1152
0	4	3	4	0	-5275	1536
0	4	3	4	1	5275	768
0	4	3	5	0	75	512
0	4	3	5	1	-75	256
0	4	4	0	0	295	4608
0	4	4	1	0	1205	2304
0	4	4	2	0	1745	768
0	4	4	3	0	325	2304
0	4	4	4	0	-25	512
0	5	0	0	0	-9850895	110592
0	5	0	1	0	-15555985	18432
0	5	0	2	0	-136666315	36864
0	5	0	3	0	-21041965	3072
0	5	0	4	0	-35551155	4096
0	5	0	5	0	3069495	2048
0	5	0	6	0	-405405	4096
0	5	2	0	0	144485	13824
0	5	2	1	0	288035	3456
0	5	2	2	0	632485	2304
0	5	2	3	0	414305	1152
0	5	2	4	0	-12225	512
0	5	3	0	0	-24325	27648
0	5	3	0	1	24325	13824
0	5	3	1	0	-106415	9216
0	5	3	1	1	106415	4608
0	5	3	2	0	-114295	4608
0	5	3	2	1	114295	2304
0	5	3	3	0	-299195	4608
0	5	3	3	1	299195	2304
0	5	3	4	0	46775	3072
0	5	3	4	1	-46775	1536
0	5	3	5	0	-675	1024
0	5	3	5	1	675	512
0	5	4	0	0	-1015	4608
0	5	4	1	0	-4865	2304
0	5	4	2	0	-11045	768
0	5	4	3	0	-2905	2304
0	5	4	4	0	225	512
0	5	5	0	0	-955	27648
0	5	5	0	1	955	13824
0	5	5	1	0	-985	1728
0	5	5	1	1	985	864
0	5	5	2	0	-3965	4608
0	5	5	2	1	3965	2304
0	5	5	3	0	-55	1152
0	5	5	3	1	55	576
0	5	5	4	0	25	3072
0	5	5	4	1	-25	1536
0	6	0	0	0	26865325	248832
0	6	0	1	0	14454865	13824
0	6	0	2	0	14495155	3072
0	6	0	3	0	20426125	2304
0	6	0	4	0	11792785	1024
0	6	0	5	0	-1023165	512
0	6	0	6	0	135135	1024
0	6	2	0	0	-248215	10368
0	6	2	1	0	-31225	162
0	6	2	2	0	-124925	192
0	6	2	3	0	-127145	144
0	6	2	4	0	7725	128
0	6	3	0	0	58955	31104
0	6	3	0	1	-58955	15552
0	6	3	1	0	253105	10368
0	6	3	1	1	-253105	5184
0	6	3	2	0	2925	64
0	6	3	2	1	-2925	32
0	6	3	3	0	91195	576
0	6	3	3	1	-91195	288
0	6	3	4	0	-15425	384
0	6	3	4	1	15425	192
0	6	3	5	0	225	128
0	6	3	5	1	-225	64
0	6	4	0	0	1075	1728
0	6	4	1	0	1075	216
0	6	4	2	0	16475	384
0	6	4	3	0	2915	576
0	6	4	4	0	-225	128
0	6	5	0	0	95	5184
0	6	5	0	1	-95	2592
0	6	5	1	0	2405	1296
0	6	5	1	1	-2405	648
0	6	5	2	0	475	128
0	6	5	2	1	-475	64
0	6	5	3	0	265	576
0	6	5	3	1	-265	288
0	6	5	4	0	-25	384
0	6	5	4	1	25	192
0	6	6	0	0	5645	124416
0	6	6	0	1	-1045	15552
0	6	6	0	2	1045	15552
0	6	6	1	0	10075	20736
0	6	6	1	1	-1975	5184
0	6	6	1	2	1975	5184
0	6	6	2	0	135	512
0	6	6	2	1	-605	576
0	6	6	2	2	605	576
0	6	6	3	0	-5	384
0	6	6	3	1	25	192
0	6	6	3	2	-25	192
0	7	0	0	0	-23308205	248832
0	7	0	1	0	-38907635	41472
0	7	0	2	0	-40631065	9216
0	7	0	3	0	-19562125	2304
0	7	0	4	0	-11709585	1024
0	7	0	5	0	1023165	512
0	7	0	6	0	-135135	1024
0	7	2	0	0	1116215	31104
0	7	2	1	0	42355	144
0	7	2	2	0	586585	576
0	7	2	3	0	25675	18
0	7	2	4	0	-12775	128
0	7	3	0	0	-339545	124416
0	7	3	0	1	339545	62208
0	7	3	1	0	-1475275	41472
0	7	3	1	1	1475275	20736
0	7	3	2	0	-134675	2304
0	7	3	2	1	134675	1152
0	7	3	3	0	-199885	768
0	7	3	3	1	199885	384
0	7	3	4	0	107275	1536
0	7	3	4	1	-107275	768
0	7	3	5	0	-1575	512
0	7	3	5	1	1575	256
0	7	4	0	0	-54235	31104
0	7	4	1	0	-120955	10368
0	7	4	2	0	-47345	576
0	7	4	3	0	-13775	1152
0	7	4	4	0	525	128
0	7	5	0	0	3785	15552
0	7	5	0	1	-3785	7776
0	7	5	1	0	-10055	6912
0	7	5	1	1	10055	3456
0	7	5	2	0	-11485	2304
0	7	5	2	1	11485	1152
0	7	5	3	0	-1445	768
0	7	5	3	1	1445	384
0	7	5	4	0	175	768
0	7	5	4	1	-175	384
0	7	6	0	0	-275	4608
0	7	6	0	1	1415	5184
0	7	6	0	2	-1415	5184
0	7	6	1	0	-10205	6912
0	7	6	1	1	2015	1728
0	7	6	1	2	-2015	1728
0	7	6	2	0	-2065	1536
0	7	6	2	1	3305	576
0	7	6	2	2	-3305	576
0	7	6	3	0	35	384
0	7	6	3	1	-175	192
0	7	6	3	2	175	192
0	7	7	0	0	-9055	248832
0	7	7	0	1	9055	124416
0	7	7	1	0	-20215	82944
0	7	7	1	1	20215	41472
0	7	7	2	0	-355	9216
0	7	7	2	1	355	4608
0	7	7	3	0	5	3072
0	7	7	3	1	-5	1536
0	8	0	0	0	57017095	995328
0	8	0	1	0	100128665	165888
0	8	0	2	0	110975435	36864
0	8	0	3	0	6146255	1024
0	8	0	4	0	34792755	4096
0	8	0	5	0	-3069495	2048
0	8	0	6	0	405405	4096
0	8	2	0	0	-2239975	62208
0	8	2	1	0	-1581725	5184
0	8	2	2	0	-1258915	1152
0	8	2	3	0	-911705	576
0	8	2	4	0	28875	256
0	8	3	0	0	165115	62208
0	8	3	0	1	-165115	31104
0	8	3	1	0	761365	20736
0	8	3	1	1	-761365	10368
0	8	3	2	0	63305	1152
0	8	3	2	1	-63305	576
0	8	3	3	0	346885	1152
0	8	3	3	1	-346885	576
0	8	3	4	0	-64225	768
0	8	3	4	1	64225	384
0	8	3	5	0	945	256
0	8	3	5	1	-945	128
0	8	4	0	0	23945	6912
0	8	4	1	0	241655	10368
0	8	4	2	0	65285	576
0	8	4	3	0	21085	1152
0	8	4	4	0	-1575	256
0	8	5	0	0	-2425	3888
0	8	5	0	1	2425	1944
0	8	5	1	0	-7445	3456
0	8	5	1	1	7445	1728
0	8	5	2	0	-1535	1152
0	8	5	2	1	1535	576
0	8	5	3	0	4955	1152
0	8	5	3	1	-4955	576
0	8	5	4	0	-175	384
0	8	5	4	1	175	192
0	8	6	0	0	-2875	124416
0	8	6	0	1	-1855	3888
0	8	6	0	2	1855	3888
0	8	6	1	0	24055	20736
0	8	6	1	1	-4225	5184
0	8	6	1	2	4225	5184
0	8	6	2	0	1495	512
0	8	6	2	1	-445	32
0	8	6	2	2	445	32
0	8	6	3	0	-35	128
0	8	6	3	1	175	64
0	8	6	3	2	-175	64
0	8	7	0	0	715	13824
0	8	7	0	1	-715	6912
0	8	7	1	0	34705	41472
0	8	7	1	1	-34705	20736
0	8	7	2	0	875	4608
0	8	7	2	1	-875	2304
0	8	7	3	0	-5	512
0	8	7	3	1	5	256
0	8	8	0	0	25745	995328
0	8	8	0	1	-1495	31104
0	8	8	0	2	1495	31104
0	8	8	1	0	8425	165888
0	8	8	1	1	-1055	5184
0	8	8	1	2	1055	5184
0	8	8	2	0	35	4096
0	8	8	2	1	-5	128
0	8	8	2	2	5	128
0	9	0	0	0	-2641715	110592
0	9	0	1	0	-45034325	165888
0	9	0	2	0	-18135125	12288
0	9	0	3	0	-28437515	9216
0	9	0	4	0	-19090375	4096
0	9	0	5	0	1705275	2048
0	9	0	6	0	-225225	4096
0	9	2	0	0	1487275	62208
0	9	2	1	0	1113205	5184
0	9	2	2	0	931855	1152
0	9	2	3	0	702985	576
0	9	2	4	0	-22575	256
0	9	3	0	0	-72035	41472
0	9	3	0	1	72035	20736
0	9	3	1	0	-1116955	41472
0	9	3	1	1	1116955	20736
0	9	3	2	0	-29705	768
0	9	3	2	1	29705	384
0	9	3	3	0	-570815	2304
0	9	3	3	1	570815	1152
0	9	3	4	0	107275	1536
0	9	3	4	1	-107275	768
0	9	3	5	0	-1575	512
0	9	3	5	1	1575	256
0	9	4	0	0	-274775	62208
0	9	4	1	0	-54335	1728
0	9	4	2	0	-132145	1152
0	9	4	3	0	-10825	576
0	9	4	4	0	1575	256
0	9	5	0	0	96505	124416
0	9	5	0	1	-96505	62208
0	9	5	1	0	40435	6912
0	9	5	1	1	-40435	3456
0	9	5	2	0	13355	1152
0	9	5	2	1	-13355	576
0	9	5	3	0	-13925	2304
0	9	5	3	1	13925	1152
0	9	5	4	0	875	1536
0	9	5	4	1	-875	768
0	9	6	0	0	9575	124416
0	9	6	0	1	1975	3888
0	9	6	0	2	-1975	3888
0	9	6	1	0	19865	20736
0	9	6	1	1	-5105	5184
0	9	6	1	2	5105	5184
0	9	6	2	0	-16475	4608
0	9	6	2	1	635	32
0	9	6	2	2	-635	32
0	9	6	3	0	175	384
0	9	6	3	1	-875	192
0	9	6	3	2	875	192
0	9	7	0	0	1595	248832
0	9	7	0	1	-1595	124416
0	9	7	1	0	-11185	9216
0	9	7	1	1	11185	4608
0	9	7	2	0	-3505	9216
0	9	7	2	1	3505	4608
0	9	7	3	0	25	1024
0	9	7	3	1	-25	512
