x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	75	2048
0	0	0	1	0	1065	1024
0	0	0	2	0	13905	2048
0	0	0	3	0	5835	512
0	0	0	4	0	25725	2048
0	0	0	5	0	-1935	1024
0	0	0	6	0	135	2048
0	1	0	0	0	-205	512
0	1	0	1	0	-2325	256
0	1	0	2	0	-30875	512
0	1	0	3	0	-12455	128
0	1	0	4	0	-68835	512
0	1	0	5	0	5715	256
0	1	0	6	0	-405	512
0	2	0	0	0	2205	1024
0	2	0	1	0	40685	1024
0	2	0	2	0	270145	1024
0	2	0	3	0	200395	512
0	2	0	4	0	685875	1024
0	2	0	5	0	-124155	1024
0	2	0	6	0	4455	1024
0	2	1	0	0	25	768
0	2	1	1	0	955	512
0	2	1	2	0	985	64
0	2	1	3	0	3965	256
0	2	1	4	0	165	256
0	2	1	5	0	-45	512
0	2	2	0	0	25	1536
0	2	2	1	0	955	1024
0	2	2	2	0	985	128
0	2	2	3	0	3965	512
0	2	2	4	0	165	512
0	2	2	5	0	-45	1024
0	3	0	0	0	-225	32
0	3	0	0	1	55	2304
0	3	0	1	0	-55785	512
0	3	0	1	1	1045	576
0	3	0	2	0	-374305	512
0	3	0	2	1	1975	384
0	3	0	3	0	-252395	256
0	3	0	3	1	605	64
0	3	0	4	0	-526815	256
0	3	0	4	1	-225	256
0	3	0	5	0	204975	512
0	3	0	6	0	-7425	512
0	3	1	0	0	55	768
0	3	1	0	1	-55	1536
0	3	1	1	0	185	256
0	3	1	1	1	-1045	384
0	3	1	2	0	-25135	384
0	3	1	2	1	-1975	256
0	3	1	3	0	-8885	128
0	3	1	3	1	-1815	128
0	3	1	4	0	-2595	256
0	3	1	4	1	675	512
0	3	1	5	0	225	256
0	3	2	0	0	55	1536
0	3	2	1	0	185	512
0	3	2	2	0	-25135	768
0	3	2	3	0	-8885	256
0	3	2	4	0	-2595	512
0	3	2	5	0	225	512
0	3	3	0	1	55	4608
0	3	3	1	1	1045	1152
0	3	3	2	1	1975	768
0	3	3	3	1	605	128
0	3	3	4	1	-225	512
0	4	0	0	0	61545	4096
0	4	0	0	1	-1045	6912
0	4	0	1	0	206465	1024
0	4	0	1	1	-6335	576
0	4	0	2	0	88895	64
0	4	0	2	1	-9995	384
0	4	0	3	0	1768435	1024
0	4	0	3	1	-4515	64
0	4	0	4	0	17808285	4096
0	4	0	4	1	2025	256
0	4	0	5	0	-458325	512
0	4	0	6	0	66825	2048
0	4	1	0	0	-3865	3072
0	4	1	0	1	1045	4608
0	4	1	1	0	-58925	1536
0	4	1	1	1	6335	384
0	4	1	2	0	46055	512
0	4	1	2	1	9995	256
0	4	1	3	0	3655	128
0	4	1	3	1	13545	128
0	4	1	4	0	63645	1024
0	4	1	4	1	-6075	512
0	4	1	5	0	-2025	512
0	4	2	0	0	-10885	18432
0	4	2	1	0	-140555	9216
0	4	2	2	0	178595	3072
0	4	2	3	0	2005	128
0	4	2	4	0	63555	2048
0	4	2	5	0	-2025	1024
0	4	3	0	0	355	9216
0	4	3	0	1	-1045	13824
0	4	3	1	0	9055	2304
0	4	3	1	1	-6335	1152
0	4	3	2	0	20215	1536
0	4	3	2	1	-9995	768
0	4	3	3	0	355	256
0	4	3	3	1	-4515	128
0	4	3	4	0	-45	1024
0	4	3	4	1	2025	512
0	4	4	0	0	355	36864
0	4	4	1	0	9055	9216
0	4	4	2	0	20215	6144
0	4	4	3	0	355	1024
0	4	4	4	0	-45	4096
0	5	0	0	0	-10985	512
0	5	0	0	1	1505	3456
0	5	0	1	0	-16605	64
0	5	0	1	1	35405	1152
0	5	0	2	0	-238595	128
0	5	0	2	1	19345	384
0	5	0	3	0	-140205	64
0	5	0	3	1	30495	128
0	5	0	4	0	-3408105	512
0	5	0	4	1	-2025	64
0	5	0	5	0	91395	64
0	5	0	6	0	-13365	256
0	5	1	0	0	2095	384
0	5	1	0	1	-1285	2304
0	5	1	1	0	26195	192
0	5	1	1	1	-100235	2304
0	5	1	2	0	1225	192
0	5	1	2	1	-53815	768
0	5	1	3	0	965	2
0	5	1	3	1	-91305	256
0	5	1	4	0	-26835	128
0	5	1	4	1	6075	128
0	5	1	5	0	675	64
0	5	2	0	0	855	256
0	5	2	0	1	-55	576
0	5	2	1	0	72065	1152
0	5	2	1	1	-1495	576
0	5	2	2	0	-6635	128
0	5	2	2	1	-1055	192
0	5	2	3	0	935	4
0	5	2	3	1	-45	64
0	5	2	4	0	-26745	256
0	5	2	5	0	675	128
0	5	3	0	0	235	384
0	5	3	0	1	505	3456
0	5	3	1	0	-815	144
0	5	3	1	1	3865	288
0	5	3	2	0	-10565	192
0	5	3	2	1	4045	192
0	5	3	3	0	-15	2
0	5	3	3	1	3795	32
0	5	3	4	0	45	128
0	5	3	4	1	-2025	128
0	5	4	0	0	235	1536
0	5	4	0	1	55	1152
0	5	4	1	0	-815	576
0	5	4	1	1	1495	1152
0	5	4	2	0	-10565	768
0	5	4	2	1	1055	384
0	5	4	3	0	-15	8
0	5	4	3	1	45	128
0	5	4	4	0	45	512
0	5	5	0	1	55	2304
0	5	5	1	1	1495	2304
0	5	5	2	1	1055	768
0	5	5	3	1	45	256
0	6	0	0	0	20515	1024
0	6	0	0	1	-20	27
0	6	0	0	2	95	1152
0	6	0	1	0	238135	1024
0	6	0	1	1	-30055	576
0	6	0	1	2	25	384
0	6	0	2	0	910815	512
0	6	0	2	1	-7495	192
0	6	0	2	2	245	128
0	6	0	3	0	2077225	1024
0	6	0	3	1	-30905	64
0	6	0	3	2	-15	128
0	6	0	4	0	7750155	1024
0	6	0	4	1	4725	64
0	6	0	5	0	-853335	512
0	6	0	6	0	31185	512
0	6	1	0	0	-1675	128
0	6	1	0	1	185	144
0	6	1	0	2	-95	384
0	6	1	1	0	-132245	512
0	6	1	1	1	78485	1152
0	6	1	1	2	-25	128
0	6	1	2	0	-65555	384
0	6	1	2	1	17165	384
0	6	1	2	2	-735	128
0	6	1	3	0	-811155	512
0	6	1	3	1	91995	128
0	6	1	3	2	45	128
0	6	1	4	0	113505	256
0	6	1	4	1	-14175	128
0	6	1	5	0	-4725	256
0	6	2	0	0	-9755	1152
0	6	2	0	1	-25	144
0	6	2	0	2	95	512
0	6	2	1	0	-1325425	9216
0	6	2	1	1	365	36
0	6	2	1	2	75	512
0	6	2	2	0	18605	768
0	6	2	2	1	665	48
0	6	2	2	2	2205	512
0	6	2	3	0	-797735	1024
0	6	2	3	1	45	8
0	6	2	3	2	-135	512
0	6	2	4	0	112875	512
0	6	2	5	0	-4725	512
0	6	3	0	0	-12685	6912
0	6	3	0	1	-865	1728
0	6	3	0	2	95	1152
0	6	3	1	0	-10285	768
0	6	3	1	1	-21295	1152
0	6	3	1	2	25	384
0	6	3	2	0	10475	96
0	6	3	2	1	-3505	384
0	6	3	2	2	245	128
0	6	3	3	0	3385	256
0	6	3	3	1	-30365	128
0	6	3	3	2	-15	128
0	6	3	4	0	-315	256
0	6	3	4	1	4725	128
0	6	4	0	0	-355	1024
0	6	4	0	1	25	288
0	6	4	0	2	-95	768
0	6	4	1	0	-16105	9216
0	6	4	1	1	-365	72
0	6	4	1	2	-25	256
0	6	4	2	0	5125	192
0	6	4	2	1	-665	96
0	6	4	2	2	-735	256
0	6	4	3	0	3535	1024
0	6	4	3	1	-45	16
0	6	4	3	2	45	256
0	6	4	4	0	-315	1024
0	6	5	0	0	155	2304
0	6	5	0	1	25	576
0	6	5	1	0	1475	1536
0	6	5	1	1	-365	144
0	6	5	2	0	-45	128
0	6	5	2	1	-665	192
0	6	5	3	0	45	512
0	6	5	3	1	-45	32
0	6	6	0	0	155	13824
0	6	6	0	2	95	4608
0	6	6	1	0	1475	9216
0	6	6	1	2	25	1536
0	6	6	2	0	-15	256
0	6	6	2	2	245	512
0	6	6	3	0	15	1024
0	6	6	3	2	-15	512
0	7	0	0	0	-2875	256
0	7	0	0	1	5605	6912
0	7	0	0	2	-205	576
0	7	0	1	0	-71875	512
0	7	0	1	1	1055	18
0	7	0	1	2	85	192
0	7	0	2	0	-609695	512
0	7	0	2	1	-7105	768
0	7	0	2	2	-655	64
0	7	0	3	0	-693895	512
0	7	0	3	1	83685	128
0	7	0	3	2	45	64
0	7	0	4	0	-3292905	512
0	7	0	4	1	-14175	128
0	7	0	5	0	367065	256
0	7	0	6	0	-13365	256
0	7	1	0	0	14605	768
0	7	1	0	1	-42095	13824
0	7	1	0	2	205	192
0	7	1	1	0	241315	768
0	7	1	1	1	-13235	192
0	7	1	1	2	-85	64
0	7	1	2	0	196435	768
0	7	1	2	1	-1775	512
0	7	1	2	2	1965	64
0	7	1	3	0	670025	256
0	7	1	3	1	-246195	256
0	7	1	3	2	-135	64
0	7	1	4	0	-9975	16
0	7	1	4	1	42525	256
0	7	1	5	0	2835	128
0	7	2	0	0	45655	4608
0	7	2	0	1	1055	576
0	7	2	0	2	-205	256
0	7	2	1	0	932285	4608
0	7	2	1	1	-1165	64
0	7	2	1	2	255	256
0	7	2	2	0	-99425	1536
0	7	2	2	1	1125	64
0	7	2	2	2	-5895	256
0	7	2	3	0	670645	512
0	7	2	3	1	-1215	64
0	7	2	3	2	405	256
0	7	2	4	0	-39585	128
0	7	2	5	0	2835	256
0	7	3	0	0	5	1728
0	7	3	0	1	24545	13824
0	7	3	0	2	-205	576
0	7	3	1	0	50335	1152
0	7	3	1	1	33815	2304
0	7	3	1	2	85	192
0	7	3	2	0	-24225	128
0	7	3	2	1	12695	1536
0	7	3	2	2	-655	64
0	7	3	3	0	65	128
0	7	3	3	1	10005	32
0	7	3	3	2	45	64
0	7	3	4	0	315	128
0	7	3	4	1	-14175	256
0	7	4	0	0	-95	192
0	7	4	0	1	-235	256
0	7	4	0	2	205	384
0	7	4	1	0	41585	4608
0	7	4	1	1	545	64
0	7	4	1	2	-85	128
0	7	4	2	0	-22075	512
0	7	4	2	1	-2295	256
0	7	4	2	2	1965	128
0	7	4	3	0	-385	512
0	7	4	3	1	1215	128
0	7	4	3	2	-135	128
0	7	4	4	0	315	512
0	7	5	0	0	-685	2304
0	7	5	0	1	-2105	4608
0	7	5	1	0	-875	768
0	7	5	1	1	155	32
0	7	5	2	0	645	256
0	7	5	2	1	-2205	512
0	7	5	3	0	-135	256
0	7	5	3	1	1215	256
0	7	6	0	0	-685	13824
0	7	6	0	1	5	3456
0	7	6	0	2	-205	2304
0	7	6	1	0	-875	4608
0	7	6	1	1	25	64
0	7	6	1	2	85	768
0	7	6	2	0	215	512
0	7	6	2	1	15	128
0	7	6	2	2	-655	256
0	7	6	3	0	-45	512
0	7	6	3	2	45	256
0	7	7	0	1	5	13824
0	7	7	1	1	25	256
0	7	7	2	1	15	512
0	8	0	0	0	745	256
0	8	0	0	1	-955	1728
0	8	0	0	2	515	768
0	8	0	1	0	26465	512
0	8	0	1	1	-24895	576
0	8	0	1	2	-485	192
0	8	0	2	0	1096155	2048
0	8	0	2	1	16435	384
0	8	0	2	2	5965	256
0	8	0	3	0	650655	1024
0	8	0	3	1	-4935	8
0	8	0	3	2	-225	128
0	8	0	4	0	1036065	256
0	8	0	4	1	14175	128
0	8	0	5	0	-924075	1024
0	8	0	6	0	66825	2048
0	8	1	0	0	-4045	256
0	8	1	0	1	5975	1152
0	8	1	0	2	-4445	2304
0	8	1	1	0	-382735	1536
0	8	1	1	1	45905	1152
0	8	1	1	2	755	96
0	8	1	2	0	-336575	1536
0	8	1	2	1	34495	768
0	8	1	2	2	-17865	256
0	8	1	3	0	-1389985	512
0	8	1	3	1	28485	32
0	8	1	3	2	675	128
0	8	1	4	0	304815	512
0	8	1	4	1	-42525	256
0	8	1	5	0	-4725	256
0	8	2	0	0	-655	768
0	8	2	0	1	-1565	432
0	8	2	0	2	12005	9216
0	8	2	1	0	-1567705	9216
0	8	2	1	1	6985	288
0	8	2	1	2	-4915	768
0	8	2	2	0	235795	1024
0	8	2	2	1	-1315	12
0	8	2	2	2	53385	1024
0	8	2	3	0	-1428085	1024
0	8	2	3	1	1125	32
0	8	2	3	2	-2025	512
0	8	2	4	0	301665	1024
0	8	2	5	0	-4725	512
0	8	3	0	0	135325	13824
0	8	3	0	1	-845	216
0	8	3	0	2	375	512
0	8	3	1	0	-105805	2304
0	8	3	1	1	-1445	576
0	8	3	1	2	-1775	768
0	8	3	2	0	31775	96
0	8	3	2	1	-46235	768
0	8	3	2	2	11975	512
0	8	3	3	0	-9075	256
0	8	3	3	1	-36105	128
0	8	3	3	2	-225	128
0	8	3	4	0	-1575	512
0	8	3	4	1	14175	256
0	8	4	0	0	324185	55296
0	8	4	0	1	4355	3456
0	8	4	0	2	-7655	9216
0	8	4	1	0	-111575	9216
0	8	4	1	1	-3335	288
0	8	4	1	2	6755	1536
0	8	4	2	0	110045	1536
0	8	4	2	1	21175	384
0	8	4	2	2	-35535	1024
0	8	4	3	0	-6825	1024
0	8	4	3	1	-1125	64
0	8	4	3	2	675	256
0	8	4	4	0	-1575	2048
0	8	5	0	0	28105	13824
0	8	5	0	1	8165	6912
0	8	5	0	2	-95	1152
0	8	5	1	0	-2515	4608
0	8	5	1	1	-1825	288
0	8	5	1	2	-55	192
0	8	5	2	0	-10345	1536
0	8	5	2	1	20905	768
0	8	5	2	2	-15	128
0	8	5	3	0	675	512
0	8	5	3	1	-1125	128
0	8	6	0	0	8995	27648
0	8	6	0	1	635	1728
0	8	6	0	2	325	3072
0	8	6	1	0	-715	3072
0	8	6	1	1	-35	96
0	8	6	1	2	-325	384
0	8	6	2	0	-3635	3072
0	8	6	2	1	-15	64
0	8	6	2	2	5875	1024
0	8	6	3	0	225	1024
0	8	6	3	2	-225	512
0	8	7	0	0	-5	864
0	8	7	0	1	635	6912
0	8	7	0	2	95	4608
0	8	7	1	0	-35	576
0	8	7	1	1	-35	384
0	8	7	1	2	55	768
0	8	7	2	0	-5	192
0	8	7	2	1	-15	256
0	8	7	2	2	15	512
0	8	8	0	0	-5	6912
0	8	8	0	2	95	9216
0	8	8	1	0	-35	4608
0	8	8	1	2	55	1536
0	8	8	2	0	-5	1536
0	8	8	2	2	15	1024
0	9	0	0	1	35	192
0	9	0	0	2	-385	576
0	9	0	0	3	-5	216
0	9	0	1	0	-2245	256
0	9	0	1	1	2425	128
0	9	0	1	2	205	48
0	9	0	1	3	5	24
0	9	0	2	0	-74645	512
0	9	0	2	1	-6835	192
0	9	0	2	2	-1865	64
0	9	0	3	0	-50915	256
0	9	0	3	1	51905	128
0	9	0	3	2	75	32
0	9	0	4	0	-235005	128
0	9	0	4	1	-4725	64
0	9	0	5	0	103725	256
0	9	0	6	0	-7425	512
0	9	1	0	0	2245	384
0	9	1	0	1	-18155	3456
0	9	1	0	2	925	576
0	9	1	0	3	5	48
0	9	1	1	0	14965	128
0	9	1	1	1	-11335	2304
0	9	1	1	2	-35	3
0	9	1	1	3	-15	16
0	9	1	2	0	3965	32
0	9	1	2	1	-47945	384
0	9	1	2	2	5565	64
0	9	1	3	0	237795	128
0	9	1	3	1	-145815	256
0	9	1	3	2	-225	32
0	9	1	4	0	-49065	128
0	9	1	4	1	14175	128
0	9	1	5	0	675	64
0	9	2	0	0	-23555	2304
0	9	2	0	1	515	192
0	9	2	0	2	-1165	2304
0	9	2	0	3	-5	32
0	9	2	1	0	167785	2304
0	9	2	1	1	-10715	576
0	9	2	1	2	1295	192
0	9	2	1	3	45	32
0	9	2	2	0	-8975	24
0	9	2	2	1	34135	192
0	9	2	2	2	-16485	256
0	9	2	3	0	253015	256
0	9	2	3	1	-2475	64
0	9	2	3	2	675	128
0	9	2	4	0	-48435	256
0	9	2	5	0	675	128
0	9	3	0	0	-65195	3456
0	9	3	0	1	11515	2304
0	9	3	0	2	-1115	1152
0	9	3	0	3	25	576
0	9	3	1	0	13325	576
0	9	3	1	1	-2075	192
0	9	3	1	2	985	192
0	9	3	1	3	-25	64
0	9	3	2	0	-27185	64
0	9	3	2	1	89185	768
0	9	3	2	2	-3775	128
0	9	3	3	0	3655	64
0	9	3	3	1	695	4
0	9	3	3	2	75	32
0	9	3	4	0	315	128
0	9	3	4	1	-4725	128
0	9	4	0	0	-54185	4608
0	9	4	0	1	55	144
0	9	4	0	2	355	2304
0	9	4	0	3	5	48
0	9	4	1	0	37855	2304
0	9	4	1	1	6485	1152
0	9	4	1	2	-1525	384
0	9	4	1	3	-15	16
0	9	4	2	0	-23565	256
0	9	4	2	1	-2125	24
0	9	4	2	2	10935	256
0	9	4	3	0	2905	256
0	9	4	3	1	2475	128
0	9	4	3	2	-225	64
0	9	4	4	0	315	512
0	9	5	0	0	-1175	288
0	9	5	0	1	-1805	1152
0	9	5	0	2	115	288
0	9	5	0	3	-5	64
0	9	5	1	0	2285	384
0	9	5	1	1	15665	2304
0	9	5	1	2	-55	48
0	9	5	1	3	45	64
0	9	5	2	0	1685	192
0	9	5	2	1	-17135	384
0	9	5	2	2	15	32
0	9	5	3	0	-225	128
0	9	5	3	1	2475	256
0	9	6	0	0	-965	1728
0	9	6	0	1	-2005	1728
0	9	6	0	2	305	2304
0	9	6	0	3	-5	288
0	9	6	1	0	1445	2304
0	9	6	1	1	245	96
0	9	6	1	2	5	24
0	9	6	1	3	5	32
0	9	6	2	0	655	384
0	9	6	2	1	-15	64
0	9	6	2	2	-1775	256
0	9	6	3	0	-75	256
0	9	6	3	2	75	128
0	9	7	0	0	5	96
0	9	7	0	1	-1895	6912
0	9	7	0	2	-115	1152
0	9	7	0	3	5	192
0	9	7	1	0	-5	32
0	9	7	1	1	95	192
0	9	7	1	2	55	192
0	9	7	1	3	-15	64
0	9	7	2	0	5	48
0	9	7	2	1	-15	256
0	9	7	2	2	-15	128
0	9	8	0	0	5	768
0	9	8	0	1	5	576
0	9	8	0	2	-115	2304
0	9	8	1	0	-5	256
0	9	8	1	1	-5	64
0	9	8	1	2	55	384
0	9	8	2	0	5	384
0	9	8	2	2	-15	256
0	9	9	0	1	5	3456
0	9	9	0	3	-5	1728
0	9	9	1	1	-5	384
0	9	9	1	3	5	192
0	10	0	0	2	175	576
0	10	0	0	3	5	72
0	10	0	1	1	-2135	576
0	10	0	1	2	-1175	384
0	10	0	1	3	-5	8
0	10	0	2	0	18675	1024
0	10	0	2	1	2645	192
0	10	0	2	2	85	4
0	10	0	3	0	38585	1024
0	10	0	3	1	-11385	64
0	10	0	3	2	-225	128
0	10	0	4	0	145665	256
0	10	0	4	1	2025	64
0	10	0	5	0	-126135	1024
0	10	0	6	0	4455	1024
0	10	1	0	1	2135	864
0	10	1	0	2	-5	24
0	10	1	0	3	-5	16
0	10	1	1	0	-6225	256
0	10	1	1	1	-935	128
0	10	1	1	2	515	128
0	10	1	1	3	45	16
0	10	1	2	0	-32845	768
0	10	1	2	1	16035	128
0	10	1	2	2	-4035	64
0	10	1	3	0	-421415	512
0	10	1	3	1	30915	128
0	10	1	3	2	675	128
0	10	1	4	0	5115	32
0	10	1	4	1	-6075	128
0	10	1	5	0	-2025	512
0	10	2	0	0	2075	256
0	10	2	0	1	-5	288
0	10	2	0	2	-275	256
0	10	2	0	3	15	32
0	10	2	1	0	-24775	4608
0	10	2	1	1	-505	96
0	10	2	1	2	3075	512
0	10	2	1	3	-135	32
0	10	2	2	0	486655	1536
0	10	2	2	1	-2305	16
0	10	2	2	2	5895	128
0	10	2	3	0	-467635	1024
0	10	2	3	1	405	16
0	10	2	3	2	-2025	512
0	10	2	4	0	20145	256
0	10	2	5	0	-2025	1024
0	10	3	0	0	78985	6912
0	10	3	0	1	-10885	3456
0	10	3	0	2	1915	2304
0	10	3	0	3	-25	192
0	10	3	1	0	-5405	256
0	10	3	1	1	5035	288
0	10	3	1	2	-665	96
0	10	3	1	3	75	64
0	10	3	2	0	127205	384
0	10	3	2	1	-39745	384
0	10	3	2	2	5575	256
0	10	3	3	0	-11105	256
0	10	3	3	1	-8955	128
0	10	3	3	2	-225	128
0	10	3	4	0	-315	256
0	10	3	4	1	2025	128
0	10	4	0	0	20785	3072
0	10	4	0	1	-1055	576
0	10	4	0	2	1595	1536
0	10	4	0	3	-5	16
0	10	4	1	0	-354635	9216
0	10	4	1	1	3115	192
0	10	4	1	2	-815	128
0	10	4	1	3	45	16
0	10	4	2	0	113375	1536
0	10	4	2	1	565	8
0	10	4	2	2	-15555	512
0	10	4	3	0	-8855	1024
0	10	4	3	1	-405	32
0	10	4	3	2	675	256
0	10	4	4	0	-315	1024
0	10	5	0	0	385	192
0	10	5	0	1	395	384
0	10	5	0	2	-45	64
0	10	5	0	3	15	64
0	10	5	1	0	-9005	512
0	10	5	1	1	-2465	384
0	10	5	1	2	165	32
0	10	5	1	3	-135	64
0	10	5	2	0	-1495	256
0	10	5	2	1	1175	32
0	10	5	2	2	-45	64
0	10	5	3	0	675	512
0	10	5	3	1	-405	64
0	10	6	0	0	175	3456
0	10	6	0	1	545	432
0	10	6	0	2	-65	144
0	10	6	0	3	5	96
0	10	6	1	0	-9095	9216
0	10	6	1	1	-75	8
0	10	6	1	2	4765	1536
0	10	6	1	3	-15	32
0	10	6	2	0	-685	512
0	10	6	2	1	15	16
0	10	6	2	2	1225	256
0	10	6	3	0	225	1024
0	10	6	3	2	-225	512
0	10	7	0	0	-35	288
0	10	7	0	1	925	3456
0	10	7	0	2	45	256
0	10	7	0	3	-5	64
0	10	7	1	0	5	6
0	10	7	1	1	-245	128
0	10	7	1	2	-165	128
0	10	7	1	3	45	64
0	10	7	2	0	-5	32
0	10	7	2	1	15	64
0	10	7	2	2	45	256
0	10	8	0	0	-35	2304
0	10	8	0	1	-5	192
0	10	8	0	2	45	512
0	10	8	1	0	5	48
0	10	8	1	1	15	64
0	10	8	1	2	-165	256
0	10	8	2	0	-5	256
0	10	8	2	2	45	512
0	10	9	0	1	-5	1152
0	10	9	0	3	5	576
0	10	9	1	1	5	128
0	10	9	1	3	-5	64
0	11	0	0	3	-5	72
0	11	0	1	2	155	192
0	11	0	1	3	5	8
0	11	0	2	1	-1675	768
0	11	0	2	2	-275	32
0	11	0	3	0	-1705	512
0	11	0	3	1	5985	128
0	11	0	3	2	45	64
0	11	0	4	0	-55305	512
0	11	0	4	1	-2025	256
0	11	0	5	0	11655	512
0	11	0	6	0	-405	512
0	11	1	0	2	-155	288
0	11	1	0	3	5	16
0	11	1	1	1	1675	576
0	11	1	1	2	635	192
0	11	1	1	3	-45	16
0	11	1	2	0	1705	256
0	11	1	2	1	-30165	512
0	11	1	2	2	405	16
0	11	1	3	0	55115	256
0	11	1	3	1	-15615	256
0	11	1	3	2	-135	64
0	11	1	4	0	-10005	256
0	11	1	4	1	6075	512
0	11	1	5	0	225	256
0	11	2	0	1	-1675	1728
0	11	2	0	2	775	576
0	11	2	0	3	-15	32
0	11	2	1	0	-1705	384
0	11	2	1	1	10175	576
0	11	2	1	2	-9605	768
0	11	2	1	3	135	32
0	11	2	2	0	-71275	512
0	11	2	2	1	3875	64
0	11	2	2	2	-2325	128
0	11	2	3	0	64055	512
0	11	2	3	1	-585	64
0	11	2	3	2	405	256
0	11	2	4	0	-9825	512
0	11	2	5	0	225	512
0	11	3	0	0	1705	1728
0	11	3	0	1	1915	3456
0	11	3	0	2	-155	384
0	11	3	0	3	25	192
0	11	3	1	0	10205	384
0	11	3	1	1	-10055	768
0	11	3	1	2	245	48
0	11	3	1	3	-75	64
0	11	3	2	0	-54025	384
0	11	3	2	1	71225	1536
0	11	3	2	2	-1145	128
0	11	3	3	0	2145	128
0	11	3	3	1	2115	128
0	11	3	3	2	45	64
0	11	3	4	0	45	128
0	11	3	4	1	-2025	512
0	11	4	0	0	5875	3456
0	11	4	0	1	8375	6912
0	11	4	0	2	-2635	2304
0	11	4	0	3	5	16
0	11	4	1	0	200465	4608
0	11	4	1	1	-13975	576
0	11	4	1	2	2105	192
0	11	4	1	3	-45	16
0	11	4	2	0	-50155	1536
0	11	4	2	1	-7435	256
0	11	4	2	2	3045	256
0	11	4	3	0	1695	512
0	11	4	3	1	585	128
0	11	4	3	2	-135	128
