x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	75	2048
0	0	0	1	0	1065	1024
0	0	0	2	0	13905	2048
0	0	0	3	0	5835	512
0	0	0	4	0	25725	2048
0	0	0	5	0	-1935	1024
0	0	0	6	0	135	2048
0	1	0	0	0	-205	512
0	1	0	1	0	-2325	256
0	1	0	2	0	-30875	512
0	1	0	3	0	-12455	128
0	1	0	4	0	-68835	512
0	1	0	5	0	5715	256
0	1	0	6	0	-405	512
0	2	0	0	0	6565	3072
0	2	0	1	0	19865	512
0	2	0	2	0	262265	1024
0	2	0	3	0	98215	256
0	2	0	4	0	685545	1024
0	2	0	5	0	-62055	512
0	2	0	6	0	4455	1024
0	2	2	0	0	25	1536
0	2	2	1	0	955	1024
0	2	2	2	0	985	128
0	2	2	3	0	3965	512
0	2	2	4	0	165	512
0	2	2	5	0	-45	1024
0	3	0	0	0	-32345	4608
0	3	0	1	0	-243505	2304
0	3	0	2	0	-1056845	1536
0	3	0	3	0	-119335	128
0	3	0	4	0	-1051935	512
0	3	0	5	0	102375	256
0	3	0	6	0	-7425	512
0	3	2	1	0	-3625	1536
0	3	2	2	0	-7765	192
0	3	2	3	0	-12515	256
0	3	2	4	0	-15	4
0	3	2	5	0	225	512
0	3	3	0	0	-55	4608
0	3	3	0	1	55	2304
0	3	3	1	0	-1045	1152
0	3	3	1	1	1045	576
0	3	3	2	0	-1975	768
0	3	3	2	1	1975	384
0	3	3	3	0	-605	128
0	3	3	3	1	605	64
0	3	3	4	0	225	512
0	3	3	4	1	-225	256
0	4	0	0	0	849455	55296
0	4	0	1	0	613765	3072
0	4	0	2	0	2652655	2048
0	4	0	3	0	804845	512
0	4	0	4	0	8872875	2048
0	4	0	5	0	-914625	1024
0	4	0	6	0	66825	2048
0	4	2	0	0	-1295	3072
0	4	2	1	0	-42845	9216
0	4	2	2	0	118945	1536
0	4	2	3	0	61135	512
0	4	2	4	0	19695	1024
0	4	2	5	0	-2025	1024
0	4	3	0	0	1045	13824
0	4	3	0	1	-1045	6912
0	4	3	1	0	6335	1152
0	4	3	1	1	-6335	576
0	4	3	2	0	9995	768
0	4	3	2	1	-9995	384
0	4	3	3	0	4515	128
0	4	3	3	1	-4515	64
0	4	3	4	0	-2025	512
0	4	3	4	1	2025	256
0	4	4	0	0	355	36864
0	4	4	1	0	9055	9216
0	4	4	2	0	20215	6144
0	4	4	3	0	355	1024
0	4	4	4	0	-45	4096
0	5	0	0	0	-160735	6912
0	5	0	1	0	-311285	1152
0	5	0	2	0	-1371425	768
0	5	0	3	0	-125315	64
0	5	0	4	0	-1693395	256
0	5	0	5	0	182115	128
0	5	0	6	0	-13365	256
0	5	2	0	0	1115	576
0	5	2	1	0	16985	576
0	5	2	2	0	-13535	384
0	5	2	3	0	-14225	128
0	5	2	4	0	-7365	128
0	5	2	5	0	675	128
0	5	3	0	0	-335	1728
0	5	3	0	1	335	864
0	5	3	1	0	-16955	1152
0	5	3	1	1	16955	576
0	5	3	2	0	-9145	384
0	5	3	2	1	9145	192
0	5	3	3	0	-15225	128
0	5	3	3	1	15225	64
0	5	3	4	0	2025	128
0	5	3	4	1	-2025	64
0	5	4	0	0	125	1536
0	5	4	1	0	-7745	2304
0	5	4	2	0	-6865	384
0	5	4	3	0	-615	256
0	5	4	4	0	45	512
0	5	5	0	0	-55	2304
0	5	5	0	1	55	1152
0	5	5	1	0	-1495	2304
0	5	5	1	1	1495	1152
0	5	5	2	0	-1055	768
0	5	5	2	1	1055	384
0	5	5	3	0	-45	256
0	5	5	3	1	45	128
0	6	0	0	0	342275	13824
0	6	0	1	0	202685	768
0	6	0	2	0	939615	512
0	6	0	3	0	238505	128
0	6	0	4	0	3837015	512
0	6	0	5	0	-424305	256
0	6	0	6	0	31185	512
0	6	2	0	0	-2665	576
0	6	2	1	0	-93995	1536
0	6	2	2	0	-235	2
0	6	2	3	0	-21365	256
0	6	2	4	0	1785	16
0	6	2	5	0	-4725	512
0	6	3	0	0	215	864
0	6	3	0	1	-215	432
0	6	3	1	0	8995	384
0	6	3	1	1	-8995	192
0	6	3	2	0	1565	128
0	6	3	2	1	-1565	64
0	6	3	3	0	30755	128
0	6	3	3	1	-30755	64
0	6	3	4	0	-4725	128
0	6	3	4	1	4725	64
0	6	4	0	0	-4235	9216
0	6	4	1	0	2075	576
0	6	4	2	0	64925	1536
0	6	4	3	0	115	16
0	6	4	4	0	-315	1024
0	6	5	0	0	185	2304
0	6	5	0	1	-185	1152
0	6	5	1	0	6065	2304
0	6	5	1	1	-6065	1152
0	6	5	2	0	4865	768
0	6	5	2	1	-4865	384
0	6	5	3	0	315	256
0	6	5	3	1	-315	128
0	6	6	0	0	55	1728
0	6	6	0	1	-95	1152
0	6	6	0	2	95	1152
0	6	6	1	0	1625	9216
0	6	6	1	1	-25	384
0	6	6	1	2	25	384
0	6	6	2	0	215	512
0	6	6	2	1	-245	128
0	6	6	2	2	245	128
0	6	6	3	0	-15	1024
0	6	6	3	1	15	128
0	6	6	3	2	-15	128
0	7	0	0	0	-14255	768
0	7	0	1	0	-213805	1152
0	7	0	2	0	-1082305	768
0	7	0	3	0	-87815	64
0	7	0	4	0	-1623195	256
0	7	0	5	0	182115	128
0	7	0	6	0	-13365	256
0	7	2	0	0	55	8
0	7	2	1	0	173965	2304
0	7	2	2	0	103705	384
0	7	2	3	0	11395	32
0	7	2	4	0	-18795	128
0	7	2	5	0	2835	256
0	7	3	0	0	-1045	6912
0	7	3	0	1	1045	3456
0	7	3	1	0	-29425	1152
0	7	3	1	1	29425	576
0	7	3	2	0	995	48
0	7	3	2	1	-995	24
0	7	3	3	0	-41415	128
0	7	3	3	1	41415	64
0	7	3	4	0	14175	256
0	7	3	4	1	-14175	128
0	7	4	0	0	11375	13824
0	7	4	1	0	-905	2304
0	7	4	2	0	-3785	64
0	7	4	3	0	-3095	256
0	7	4	4	0	315	512
0	7	5	0	0	-175	2304
0	7	5	0	1	175	1152
0	7	5	1	0	-995	256
0	7	5	1	1	995	128
0	7	5	2	0	-2805	256
0	7	5	2	1	2805	128
0	7	5	3	0	-945	256
0	7	5	3	1	945	128
0	7	6	0	0	-965	6912
0	7	6	0	1	205	576
0	7	6	0	2	-205	576
0	7	6	1	0	-1715	4608
0	7	6	1	1	-85	192
0	7	6	1	2	85	192
0	7	6	2	0	-285	128
0	7	6	2	1	655	64
0	7	6	2	2	-655	64
0	7	6	3	0	45	512
0	7	6	3	1	-45	64
0	7	6	3	2	45	64
0	7	7	0	0	-5	13824
0	7	7	0	1	5	6912
0	7	7	1	0	-25	256
0	7	7	1	1	25	128
0	7	7	2	0	-15	512
0	7	7	2	1	15	256
0	8	0	0	0	19765	2048
0	8	0	1	0	851935	9216
0	8	0	2	0	4915645	6144
0	8	0	3	0	398165	512
0	8	0	4	0	8130915	2048
0	8	0	5	0	-914625	1024
0	8	0	6	0	66825	2048
0	8	2	0	0	-90685	13824
0	8	2	1	0	-291445	4608
0	8	2	2	0	-226255	768
0	8	2	3	0	-118735	256
0	8	2	4	0	68145	512
0	8	2	5	0	-4725	512
0	8	3	0	0	35	2304
0	8	3	0	1	-35	1152
0	8	3	1	0	7985	384
0	8	3	1	1	-7985	192
0	8	3	2	0	-2595	64
0	8	3	2	1	2595	32
0	8	3	3	0	38805	128
0	8	3	3	1	-38805	64
0	8	3	4	0	-14175	256
0	8	3	4	1	14175	128
0	8	4	0	0	-24965	55296
0	8	4	1	0	-1445	4608
0	8	4	2	0	177485	3072
0	8	4	3	0	6375	512
0	8	4	4	0	-1575	2048
0	8	5	0	0	-305	6912
0	8	5	0	1	305	3456
0	8	5	1	0	4085	2304
0	8	5	1	1	-4085	1152
0	8	5	2	0	5645	768
0	8	5	2	1	-5645	384
0	8	5	3	0	1575	256
0	8	5	3	1	-1575	128
0	8	6	0	0	1475	4608
0	8	6	0	1	-725	1152
0	8	6	0	2	725	1152
0	8	6	1	0	-845	9216
0	8	6	1	1	1025	384
0	8	6	1	2	-1025	384
0	8	6	2	0	965	192
0	8	6	2	1	-2975	128
0	8	6	2	2	2975	128
0	8	6	3	0	-225	1024
0	8	6	3	1	225	128
0	8	6	3	2	-225	128
0	8	7	0	0	-415	13824
0	8	7	0	1	415	6912
0	8	7	1	0	235	768
0	8	7	1	1	-235	384
0	8	7	2	0	75	512
0	8	7	2	1	-75	256
0	8	8	0	0	265	27648
0	8	8	0	1	-95	2304
0	8	8	0	2	95	2304
0	8	8	1	0	65	2304
0	8	8	1	1	-55	384
0	8	8	1	2	55	384
0	8	8	2	0	35	3072
0	8	8	2	1	-15	256
0	8	8	2	2	15	256
0	9	0	0	0	-46435	13824
0	9	0	1	0	-24115	768
0	9	0	2	0	-167375	512
0	9	0	3	0	-42355	128
0	9	0	4	0	-917175	512
0	9	0	5	0	102375	256
0	9	0	6	0	-7425	512
0	9	2	0	0	2275	576
0	9	2	1	0	1765	48
0	9	2	2	0	25425	128
0	9	2	3	0	43985	128
0	9	2	4	0	-10515	128
0	9	2	5	0	675	128
0	9	3	0	0	25	864
0	9	3	0	1	-25	432
0	9	3	1	0	-14825	1152
0	9	3	1	1	14825	576
0	9	3	2	0	11945	384
0	9	3	2	1	-11945	192
0	9	3	3	0	-25315	128
0	9	3	3	1	25315	64
0	9	3	4	0	4725	128
0	9	3	4	1	-4725	64
0	9	4	0	0	-6085	13824
0	9	4	1	0	-7715	2304
0	9	4	2	0	-16745	384
0	9	4	3	0	-2045	256
0	9	4	4	0	315	512
0	9	5	0	0	355	2304
0	9	5	0	1	-355	1152
0	9	5	1	0	3835	2304
0	9	5	1	1	-3835	1152
0	9	5	2	0	1195	768
0	9	5	2	1	-1195	384
0	9	5	3	0	-1575	256
0	9	5	3	1	1575	128
0	9	6	0	0	-1325	3456
0	9	6	0	1	175	288
0	9	6	0	2	-175	288
0	9	6	1	0	2285	2304
0	9	6	1	1	-475	96
0	9	6	1	2	475	96
0	9	6	2	0	-2395	384
0	9	6	2	1	925	32
0	9	6	2	2	-925	32
0	9	6	3	0	75	256
0	9	6	3	1	-75	32
0	9	6	3	2	75	32
0	9	7	0	0	485	6912
0	9	7	0	1	-485	3456
0	9	7	1	0	-95	192
0	9	7	1	1	95	96
0	9	7	2	0	-75	256
0	9	7	2	1	75	128
0	9	8	0	0	-25	1152
0	9	8	0	1	55	576
0	9	8	0	2	-55	576
0	9	8	1	0	-55	768
0	9	8	1	1	35	96
0	9	8	1	2	-35	96
0	9	8	2	0	-35	768
0	9	8	2	1	15	64
0	9	8	2	2	-15	64
0	9	9	0	0	5	3456
0	9	9	0	1	-25	1728
0	9	9	0	2	5	144
0	9	9	0	3	-5	216
0	9	9	1	0	-5	384
0	9	9	1	1	25	192
0	9	9	1	2	-5	16
0	9	9	1	3	5	24
0	10	0	0	0	20285	27648
0	10	0	1	0	31105	4608
0	10	0	2	0	280075	3072
0	10	0	3	0	25655	256
0	10	0	4	0	565305	1024
0	10	0	5	0	-62055	512
0	10	0	6	0	4455	1024
0	10	2	0	0	-6535	4608
0	10	2	1	0	-129425	9216
0	10	2	2	0	-32585	384
0	10	2	3	0	-79475	512
0	10	2	4	0	16935	512
0	10	2	5	0	-2025	1024
0	10	3	0	0	-25	1728
0	10	3	0	1	25	864
0	10	3	1	0	6515	1152
0	10	3	1	1	-6515	576
0	10	3	2	0	-4775	384
0	10	3	2	1	4775	192
0	10	3	3	0	11025	128
0	10	3	3	1	-11025	64
0	10	3	4	0	-2025	128
0	10	3	4	1	2025	64
0	10	4	0	0	19775	27648
0	10	4	1	0	5645	1152
0	10	4	2	0	38165	1536
0	10	4	3	0	395	128
0	10	4	4	0	-315	1024
0	10	5	0	0	-325	2304
0	10	5	0	1	325	1152
0	10	5	1	0	-2015	768
0	10	5	1	1	2015	384
0	10	5	2	0	-1375	256
0	10	5	2	1	1375	128
0	10	5	3	0	945	256
0	10	5	3	1	-945	128
0	10	6	0	0	1025	6912
0	10	6	0	1	-425	1152
0	10	6	0	2	425	1152
0	10	6	1	0	-12425	9216
0	10	6	1	1	1625	384
0	10	6	1	2	-1625	384
0	10	6	2	0	2315	512
0	10	6	2	1	-2675	128
0	10	6	2	2	2675	128
0	10	6	3	0	-225	1024
0	10	6	3	1	225	128
0	10	6	3	2	-225	128
0	10	7	0	0	-185	6912
0	10	7	0	1	185	3456
0	10	7	1	0	5	8
0	10	7	1	1	-5	4
0	10	7	2	0	75	256
0	10	7	2	1	-75	128
0	10	8	0	0	35	4608
0	10	8	0	1	-5	128
0	10	8	0	2	5	128
0	10	8	1	0	35	768
0	10	8	1	1	-15	64
0	10	8	1	2	15	64
0	10	8	2	0	35	512
0	10	8	2	1	-45	128
0	10	8	2	2	45	128
0	10	9	0	0	-5	1152
0	10	9	0	1	25	576
0	10	9	0	2	-5	48
0	10	9	0	3	5	72
0	10	9	1	0	5	128
0	10	9	1	1	-25	64
0	10	9	1	2	15	16
0	10	9	1	3	-5	8
0	11	0	0	0	-1255	13824
0	11	0	1	0	-205	256
0	11	0	2	0	-7995	512
0	11	0	3	0	-2475	128
0	11	0	4	0	-53355	512
0	11	0	5	0	5715	256
0	11	0	6	0	-405	512
0	11	2	0	0	235	864
0	11	2	1	0	1585	512
0	11	2	2	0	8125	384
0	11	2	3	0	10315	256
0	11	2	4	0	-1005	128
0	11	2	5	0	225	512
0	11	3	0	0	55	13824
0	11	3	0	1	-55	6912
0	11	3	1	0	-875	576
0	11	3	1	1	875	288
0	11	3	2	0	1895	768
0	11	3	2	1	-1895	384
0	11	3	3	0	-45	2
0	11	3	3	1	45	1
0	11	3	4	0	2025	512
0	11	3	4	1	-2025	256
0	11	4	0	0	-4255	13824
0	11	4	1	0	-635	256
0	11	4	2	0	-145	16
0	11	4	3	0	-165	256
0	11	4	4	0	45	512
0	11	5	0	0	425	6912
0	11	5	0	1	-425	3456
0	11	5	1	0	3095	2304
0	11	5	1	1	-3095	1152
0	11	5	2	0	785	256
0	11	5	2	1	-785	128
0	11	5	3	0	-315	256
0	11	5	3	1	315	128
0	11	6	0	0	185	2304
0	11	6	0	1	85	576
0	11	6	0	2	-85	576
0	11	6	1	0	4105	4608
0	11	6	1	1	-325	192
0	11	6	1	2	325	192
0	11	6	2	0	-175	96
0	11	6	2	1	535	64
0	11	6	2	2	-535	64
0	11	6	3	0	45	512
0	11	6	3	1	-45	64
0	11	6	3	2	45	64
0	11	7	0	0	-485	13824
0	11	7	0	1	485	6912
0	11	7	1	0	-385	768
0	11	7	1	1	385	384
0	11	7	2	0	-75	512
0	11	7	2	1	75	256
0	11	8	0	0	5	432
0	11	8	0	1	-25	576
0	11	8	0	2	25	576
0	11	8	1	0	25	2304
0	11	8	1	1	-5	96
0	11	8	1	2	5	96
0	11	8	2	0	-35	768
0	11	8	2	1	15	64
0	11	8	2	2	-15	64
0	11	9	0	0	5	1152
0	11	9	0	1	-25	576
0	11	9	0	2	5	48
0	11	9	0	3	-5	72
0	11	9	1	0	-5	128
0	11	9	1	1	25	64
0	11	9	1	2	-15	16
0	11	9	1	3	5	8
0	12	0	0	0	305	55296
0	12	0	1	0	385	9216
0	12	0	2	0	7715	6144
0	12	0	3	0	915	512
0	12	0	4	0	18645	2048
0	12	0	5	0	-1935	1024
0	12	0	6	0	135	2048
0	12	2	0	0	-205	9216
0	12	2	1	0	-305	1024
0	12	2	2	0	-3595	1536
0	12	2	3	0	-2385	512
0	12	2	4	0	855	1024
0	12	2	5	0	-45	1024
0	12	3	0	0	-5	4608
0	12	3	0	1	5	2304
0	12	3	1	0	35	192
0	12	3	1	1	-35	96
0	12	3	2	0	-45	256
0	12	3	2	1	45	128
0	12	3	3	0	85	32
0	12	3	3	1	-85	16
0	12	3	4	0	-225	512
0	12	3	4	1	225	256
0	12	4	0	0	4585	110592
0	12	4	1	0	1265	3072
0	12	4	2	0	3085	2048
0	12	4	3	0	55	1024
0	12	4	4	0	-45	4096
0	12	5	0	0	-25	2304
0	12	5	0	1	25	1152
0	12	5	1	0	-65	256
0	12	5	1	1	65	128
0	12	5	2	0	-155	256
0	12	5	2	1	155	128
0	12	5	3	0	45	256
0	12	5	3	1	-45	128
0	12	6	0	0	-395	13824
0	12	6	0	1	-35	1152
0	12	6	0	2	35	1152
0	12	6	1	0	-2275	9216
0	12	6	1	1	95	384
0	12	6	1	2	-95	384
0	12	6	2	0	245	768
0	12	6	2	1	-185	128
0	12	6	2	2	185	128
0	12	6	3	0	-15	1024
0	12	6	3	1	15	128
0	12	6	3	2	-15	128
0	12	7	0	0	25	1536
0	12	7	0	1	-25	768
0	12	7	1	0	125	768
0	12	7	1	1	-125	384
0	12	7	2	0	15	512
0	12	7	2	1	-15	256
0	12	8	0	0	55	9216
0	12	8	0	1	65	2304
0	12	8	0	2	-65	2304
0	12	8	1	0	-5	384
0	12	8	1	1	25	384
0	12	8	1	2	-25	384
0	12	8	2	0	35	3072
0	12	8	2	1	-15	256
0	12	8	2	2	15	256
0	12	9	0	0	-35	3456
0	12	9	0	1	55	1728
0	12	9	0	2	-5	144
0	12	9	0	3	5	216
0	12	9	1	0	5	384
0	12	9	1	1	-25	192
0	12	9	1	2	5	16
0	12	9	1	3	-5	24
0	12	10	0	0	95	27648
0	12	10	0	1	-5	288
0	12	10	0	2	5	288
0	12	12	0	0	25	110592
0	12	12	0	1	-25	6912
0	12	12	0	2	35	2304
0	12	12	0	3	-5	216
0	12	12	0	4	5	432
1	0	0	0	0	-285	512
1	0	0	1	0	-3495	256
1	0	0	2	0	-46875	512
1	0	0	3	0	-13785	128
1	0	0	4	0	-88755	512
1	0	0	5	0	7065	256
1	0	0	6	0	-405	512
1	1	0	0	0	385	64
1	1	0	1	0	14275	128
1	1	0	2	0	102895	128
1	1	0	3	0	54415	64
1	1	0	4	0	7485	4
1	1	0	5	0	-41265	128
1	1	0	6	0	1215	128
1	2	0	0	0	-24515	768
1	2	0	1	0	-58195	128
1	2	0	2	0	-869195	256
1	2	0	3	0	-194735	64
1	2	0	4	0	-2398335	256
1	2	0	5	0	221265	128
1	2	0	6	0	-13365	256
1	2	2	0	0	-95	384
1	2	2	1	0	-2935	256
1	2	2	2	0	-11655	128
1	2	2	3	0	-1415	16
1	2	2	4	0	-165	32
1	2	2	5	0	135	256
1	3	0	0	0	119365	1152
1	3	0	1	0	1387075	1152
1	3	0	2	0	3504395	384
1	3	0	3	0	423615	64
1	3	0	4	0	3685695	128
1	3	0	5	0	-720225	128
1	3	0	6	0	22275	128
1	3	2	0	0	115	768
1	3	2	1	0	4925	192
1	3	2	2	0	89485	192
1	3	2	3	0	70485	128
1	3	2	4	0	14355	256
1	3	2	5	0	-675	128
1	3	3	0	0	505	2304
1	3	3	0	1	-505	1152
1	3	3	1	0	8785	576
1	3	3	1	1	-8785	288
1	3	3	2	0	9725	384
1	3	3	2	1	-9725	192
1	3	3	3	0	4005	64
1	3	3	3	1	-4005	32
1	3	3	4	0	-1575	256
1	3	3	4	1	1575	128
1	4	0	0	0	-3073685	13824
1	4	0	1	0	-5156365	2304
1	4	0	2	0	-26514535	1536
1	4	0	3	0	-1282475	128
1	4	0	4	0	-30998505	512
1	4	0	5	0	3170475	256
1	4	0	6	0	-200475	512
1	4	2	0	0	11005	2304
1	4	2	1	0	50335	768
1	4	2	2	0	-13505	16
1	4	2	3	0	-41815	32
1	4	2	4	0	-69885	256
1	4	2	5	0	6075	256
1	4	3	0	0	-3625	3456
1	4	3	0	1	3625	1728
1	4	3	1	0	-50795	576
1	4	3	1	1	50795	288
1	4	3	2	0	-3205	32
1	4	3	2	1	3205	16
1	4	3	3	0	-30525	64
1	4	3	3	1	30525	32
1	4	3	4	0	6975	128
1	4	3	4	1	-6975	64
1	4	4	0	0	-335	3072
1	4	4	1	0	-505	48
1	4	4	2	0	-57215	1536
1	4	4	3	0	-635	128
1	4	4	4	0	135	1024
1	5	0	0	0	283315	864
1	5	0	1	0	574055	192
1	5	0	2	0	4597795	192
1	5	0	3	0	185755	16
1	5	0	4	0	2935995	32
1	5	0	5	0	-1242945	64
1	5	0	6	0	40095	64
1	5	2	0	0	-26255	1152
1	5	2	1	0	-408605	1152
1	5	2	2	0	89215	384
1	5	2	3	0	138205	128
1	5	2	4	0	50175	64
1	5	2	5	0	-2025	32
1	5	3	0	0	2785	1728
1	5	3	0	1	-2785	864
1	5	3	1	0	21865	96
1	5	3	1	1	-21865	48
1	5	3	2	0	6565	96
1	5	3	2	1	-6565	48
1	5	3	3	0	52395	32
1	5	3	3	1	-52395	16
1	5	3	4	0	-13725	64
1	5	3	4	1	13725	32
1	5	4	0	0	-655	576
1	5	4	1	0	12455	384
1	5	4	2	0	77555	384
1	5	4	3	0	4455	128
1	5	4	4	0	-135	128
1	5	5	0	0	395	1152
1	5	5	0	1	-395	576
1	5	5	1	0	9965	1152
1	5	5	1	1	-9965	576
1	5	5	2	0	1965	128
1	5	5	2	1	-1965	64
1	5	5	3	0	315	128
1	5	5	3	1	-315	64
1	6	0	0	0	-390215	1152
1	6	0	1	0	-1663895	576
1	6	0	2	0	-3165065	128
1	6	0	3	0	-176895	16
1	6	0	4	0	-13147365	128
1	6	0	5	0	1424115	64
1	6	0	6	0	-93555	128
1	6	2	0	0	21265	384
1	6	2	1	0	22395	32
1	6	2	2	0	214115	128
1	6	2	3	0	169545	128
1	6	2	4	0	-94185	64
1	6	2	5	0	14175	128
1	6	3	0	0	-25	576
1	6	3	0	1	25	288
1	6	3	1	0	-205505	576
1	6	3	1	1	205505	288
1	6	3	2	0	57715	192
1	6	3	2	1	-57715	96
1	6	3	3	0	-214035	64
1	6	3	3	1	214035	32
1	6	3	4	0	7875	16
1	6	3	4	1	-7875	8
1	6	4	0	0	3475	576
1	6	4	1	0	-55625	2304
1	6	4	2	0	-367315	768
1	6	4	3	0	-26955	256
1	6	4	4	0	945	256
1	6	5	0	0	-35	36
1	6	5	0	1	35	18
1	6	5	1	0	-1205	36
1	6	5	1	1	1205	18
1	6	5	2	0	-565	8
1	6	5	2	1	565	4
1	6	5	3	0	-135	8
1	6	5	3	1	135	4
1	6	6	0	0	-175	384
1	6	6	0	1	25	16
1	6	6	0	2	-25	16
1	6	6	1	0	-3475	2304
1	6	6	1	1	-115	96
1	6	6	1	2	115	96
1	6	6	2	0	-185	32
1	6	6	2	1	215	8
1	6	6	2	2	-215	8
1	6	6	3	0	45	256
1	6	6	3	1	-45	32
1	6	6	3	2	45	32
1	7	0	0	0	141665	576
1	7	0	1	0	1158625	576
1	7	0	2	0	3648845	192
1	7	0	3	0	142055	16
1	7	0	4	0	5473785	64
1	7	0	5	0	-1201365	64
1	7	0	6	0	40095	64
1	7	2	0	0	-47945	576
1	7	2	1	0	-325375	384
1	7	2	2	0	-1341485	384
1	7	2	3	0	-581485	128
1	7	2	4	0	241605	128
1	7	2	5	0	-8505	64
1	7	3	0	0	-9115	3456
1	7	3	0	1	9115	1728
1	7	3	1	0	112565	288
1	7	3	1	1	-112565	144
1	7	3	2	0	-50945	64
1	7	3	2	1	50945	32
1	7	3	3	0	144195	32
1	7	3	3	1	-144195	16
1	7	3	4	0	-92925	128
1	7	3	4	1	92925	64
1	7	4	0	0	-18055	1728
1	7	4	1	0	-2735	144
1	7	4	2	0	259255	384
1	7	4	3	0	11435	64
1	7	4	4	0	-945	128
1	7	5	0	0	745	1152
1	7	5	0	1	-745	576
1	7	5	1	0	52895	1152
1	7	5	1	1	-52895	576
1	7	5	2	0	15535	128
1	7	5	2	1	-15535	64
1	7	5	3	0	6345	128
1	7	5	3	1	-6345	64
1	7	6	0	0	13175	6912
1	7	6	0	1	-1775	288
1	7	6	0	2	1775	288
1	7	6	1	0	385	288
1	7	6	1	1	425	24
1	7	6	1	2	-425	24
1	7	6	2	0	7865	256
1	7	6	2	1	-4595	32
1	7	6	2	2	4595	32
1	7	6	3	0	-135	128
1	7	6	3	1	135	16
1	7	6	3	2	-135	16
1	7	7	0	0	-185	6912
1	7	7	0	1	185	3456
1	7	7	1	0	145	128
