x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	165	128
0	0	0	1	0	3135	32
0	0	0	2	0	17775	64
0	0	0	3	0	16335	32
0	0	0	4	0	-6075	128
0	1	0	0	0	-1045	128
0	1	0	1	0	-19005	32
0	1	0	2	0	-89955	64
0	1	0	3	0	-121905	32
0	1	0	4	0	54675	128
0	2	0	0	0	1505	64
0	2	0	1	0	106215	64
0	2	0	2	0	174105	64
0	2	0	3	0	823365	64
0	2	0	4	0	-54675	32
0	2	1	0	0	165	32
0	2	1	1	0	4485	32
0	2	1	2	0	9495	32
0	2	1	3	0	1215	32
0	2	2	0	0	165	64
0	2	2	1	0	4485	64
0	2	2	2	0	9495	64
0	2	2	3	0	1215	64
0	3	0	0	0	-40	1
0	3	0	0	1	285	32
0	3	0	1	0	-90165	32
0	3	0	1	1	225	32
0	3	0	2	0	-67455	32
0	3	0	2	1	6615	32
0	3	0	3	0	-834435	32
0	3	0	3	1	-405	32
0	3	0	4	0	127575	32
0	3	1	0	0	75	8
0	3	1	0	1	-855	64
0	3	1	1	0	-1095	2
0	3	1	1	1	-675	64
0	3	1	2	0	-5985	8
0	3	1	2	1	-19845	64
0	3	1	3	0	-1215	4
0	3	1	3	1	1215	64
0	3	2	0	0	75	16
0	3	2	1	0	-1095	4
0	3	2	2	0	-5985	16
0	3	2	3	0	-1215	8
0	3	3	0	1	285	64
0	3	3	1	1	225	64
0	3	3	2	1	6615	64
0	3	3	3	1	-405	64
0	4	0	0	0	5605	128
0	4	0	0	1	-615	16
0	4	0	1	0	3165	1
0	4	0	1	1	765	16
0	4	0	2	0	-63945	128
0	4	0	2	1	-17685	16
0	4	0	3	0	2259495	64
0	4	0	3	1	1215	16
0	4	0	4	0	-382725	64
0	4	1	0	0	-395	4
0	4	1	0	1	1845	32
0	4	1	1	0	32805	32
0	4	1	1	1	-2295	32
0	4	1	2	0	-14985	16
0	4	1	2	1	53055	32
0	4	1	3	0	32805	32
0	4	1	3	1	-3645	32
0	4	2	0	0	-1575	32
0	4	2	1	0	35505	64
0	4	2	2	0	-3645	8
0	4	2	3	0	32805	64
0	4	3	0	0	5	32
0	4	3	0	1	-615	32
0	4	3	1	0	675	16
0	4	3	1	1	765	32
0	4	3	2	0	405	32
0	4	3	2	1	-17685	32
0	4	3	3	1	1215	32
0	4	4	0	0	5	128
0	4	4	1	0	675	64
0	4	4	2	0	405	128
0	5	0	0	0	-955	32
0	5	0	0	1	4635	64
0	5	0	1	0	-74685	32
0	5	0	1	1	-4365	16
0	5	0	2	0	147915	64
0	5	0	2	1	161055	64
0	5	0	3	0	-133245	4
0	5	0	3	1	-6075	32
0	5	0	4	0	382725	64
0	5	1	0	0	3765	16
