x_lower	x_splits	y_lower	y_splits	z_lower	z_splits	v_lower	v_splits	lambda_lower	lambda_splits
4	4	1	4	0	4	0	4	0	4
4	4	1	4	0	4	0	4	1	4
4	4	1	4	1	4	0	4	0	4
4	4	1	4	1	4	0	4	1	4
5	4	0	4	0	4	0	4	0	4
5	4	0	4	0	4	0	4	1	4
5	4	0	4	1	4	0	4	0	4
5	4	0	4	1	4	0	4	1	4
5	4	1	4	0	4	0	4	0	4
5	4	1	4	0	4	0	4	1	4
5	4	1	4	1	4	0	4	0	4
5	4	1	4	1	4	0	4	1	4
4	4	1	4	0	4	0	4	2	4
4	4	1	4	0	4	0	4	3	4
4	4	1	4	1	4	0	4	2	4
4	4	1	4	1	4	0	4	3	4
5	4	0	4	0	4	0	4	2	4
5	4	0	4	0	4	0	4	3	4
5	4	0	4	1	4	0	4	2	4
5	4	0	4	1	4	0	4	3	4
5	4	1	4	0	4	0	4	2	4
5	4	1	4	0	4	0	4	3	4
5	4	1	4	1	4	0	4	2	4
5	4	1	4	1	4	0	4	3	4
5	4	0	4	2	4	0	4	0	4
5	4	0	4	2	4	0	4	1	4
5	4	0	4	3	4	0	4	0	4
5	4	0	4	3	4	0	4	1	4
5	4	1	4	2	4	0	4	0	4
5	4	1	4	2	4	0	4	1	4
5	4	1	4	3	4	0	4	0	4
5	4	1	4	3	4	0	4	1	4
5	4	0	4	2	4	0	4	2	4
5	4	0	4	2	4	0	4	3	4
5	4	0	4	3	4	0	4	2	4
5	4	0	4	3	4	0	4	3	4
5	4	1	4	2	4	0	4	2	4
5	4	1	4	2	4	0	4	3	4
5	4	1	4	3	4	0	4	2	4
5	4	1	4	3	4	0	4	3	4
4	4	2	4	0	4	0	4	0	4
4	4	2	4	0	4	0	4	1	4
4	4	2	4	1	4	0	4	0	4
4	4	2	4	1	4	0	4	1	4
4	4	2	4	0	4	0	4	2	4
4	4	2	4	0	4	0	4	3	4
4	4	2	4	1	4	0	4	2	4
4	4	2	4	1	4	0	4	3	4
4	4	1	4	0	4	0	4	4	4
4	4	1	4	0	4	0	4	5	4
4	4	1	4	1	4	0	4	4	4
4	4	1	4	1	4	0	4	5	4
5	4	0	4	0	4	0	4	4	4
5	4	0	4	0	4	0	4	5	4
5	4	0	4	1	4	0	4	4	4
5	4	0	4	1	4	0	4	5	4
5	4	1	4	0	4	0	4	4	4
5	4	1	4	0	4	0	4	5	4
5	4	1	4	1	4	0	4	4	4
5	4	1	4	1	4	0	4	5	4
4	4	1	4	0	4	0	4	6	4
4	4	1	4	0	4	0	4	7	4
4	4	1	4	1	4	0	4	6	4
4	4	1	4	1	4	0	4	7	4
5	4	0	4	0	4	0	4	6	4
5	4	0	4	0	4	0	4	7	4
5	4	0	4	1	4	0	4	6	4
5	4	0	4	1	4	0	4	7	4
5	4	1	4	0	4	0	4	6	4
5	4	1	4	0	4	0	4	7	4
5	4	1	4	1	4	0	4	6	4
5	4	1	4	1	4	0	4	7	4
5	4	0	4	2	4	0	4	4	4
5	4	0	4	2	4	0	4	5	4
5	4	0	4	3	4	0	4	4	4
5	4	0	4	3	4	0	4	5	4
5	4	1	4	2	4	0	4	4	4
5	4	1	4	2	4	0	4	5	4
5	4	1	4	3	4	0	4	4	4
5	4	1	4	3	4	0	4	5	4
5	4	0	4	2	4	0	4	6	4
5	4	0	4	2	4	0	4	7	4
5	4	0	4	3	4	0	4	6	4
