x_lower	x_splits	y_lower	y_splits	z_lower	z_splits	v_lower	v_splits	lambda_lower	lambda_splits
0	4	0	4	0	4	10	4	0	4
0	4	1	4	0	4	10	4	0	4
1	4	0	4	0	4	10	4	0	4
1	4	1	4	0	4	10	4	0	4
0	4	2	4	0	4	10	4	0	4
0	4	3	4	0	4	10	4	0	4
1	4	2	4	0	4	10	4	0	4
1	4	3	4	0	4	10	4	0	4
2	4	0	4	0	4	10	4	0	4
2	4	1	4	0	4	10	4	0	4
3	4	0	4	0	4	10	4	0	4
3	4	1	4	0	4	10	4	0	4
2	4	2	4	0	4	10	4	0	4
2	4	3	4	0	4	10	4	0	4
3	4	2	4	0	4	10	4	0	4
3	4	3	4	0	4	10	4	0	4
0	4	4	4	0	4	10	4	0	4
0	4	5	4	0	4	10	4	0	4
1	4	4	4	0	4	10	4	0	4
1	4	5	4	0	4	10	4	0	4
0	4	6	4	0	4	10	4	0	4
0	4	7	4	0	4	10	4	0	4
1	4	6	4	0	4	10	4	0	4
1	4	7	4	0	4	10	4	0	4
2	4	4	4	0	4	10	4	0	4
2	4	5	4	0	4	10	4	0	4
3	4	4	4	0	4	10	4	0	4
3	4	5	4	0	4	10	4	0	4
2	4	6	4	0	4	10	4	0	4
2	4	7	4	0	4	10	4	0	4
3	4	6	4	0	4	10	4	0	4
3	4	7	4	0	4	10	4	0	4
4	4	0	4	0	4	10	4	0	4
4	4	1	4	0	4	10	4	0	4
5	4	0	4	0	4	10	4	0	4
5	4	1	4	0	4	10	4	0	4
4	4	2	4	0	4	10	4	0	4
4	4	3	4	0	4	10	4	0	4
5	4	2	4	0	4	10	4	0	4
5	4	3	4	0	4	10	4	0	4
6	4	0	4	0	4	10	4	0	4
6	4	1	4	0	4	10	4	0	4
7	4	0	4	0	4	10	4	0	4
7	4	1	4	0	4	10	4	0	4
6	4	2	4	0	4	10	4	0	4
6	4	3	4	0	4	10	4	0	4
7	4	2	4	0	4	10	4	0	4
7	4	3	4	0	4	10	4	0	4
4	4	4	4	0	4	10	4	0	4
4	4	5	4	0	4	10	4	0	4
5	4	4	4	0	4	10	4	0	4
5	4	5	4	0	4	10	4	0	4
4	4	6	4	0	4	10	4	0	4
4	4	7	4	0	4	10	4	0	4
5	4	6	4	0	4	10	4	0	4
5	4	7	4	0	4	10	4	0	4
6	4	4	4	0	4	10	4	0	4
6	4	5	4	0	4	10	4	0	4
7	4	4	4	0	4	10	4	0	4
7	4	5	4	0	4	10	4	0	4
6	4	6	4	0	4	10	4	0	4
6	4	7	4	0	4	10	4	0	4
7	4	6	4	0	4	10	4	0	4
7	4	7	4	0	4	10	4	0	4
0	4	8	4	0	4	10	4	0	4
