x	y	z	v	lambda	numerator	denominator
0	0	0	0	1	10935	1
0	0	1	0	0	7290	1
0	0	1	0	1	-102060	1
0	0	1	0	2	10935	1
0	0	1	1	0	43740	1
0	0	1	1	1	-10935	1
0	0	1	2	0	65610	1
0	0	2	0	0	-43740	1
0	0	2	0	1	449550	1
0	0	2	0	2	-112995	1
0	0	2	0	3	10935	1
0	0	2	1	0	-328050	1
0	0	2	1	1	247860	1
0	0	2	1	2	-43740	1
0	0	2	2	0	-481140	1
0	0	2	2	1	98415	1
0	0	2	3	0	65610	1
0	0	3	0	0	133650	1
0	0	3	0	1	-1205685	1
0	0	3	0	2	551610	1
0	0	3	0	3	-128790	1
0	0	3	0	4	5913	1
0	0	3	1	0	1200420	1
0	0	3	1	1	-1709505	1
0	0	3	1	2	597780	1
0	0	3	1	3	-91125	1
0	0	3	2	0	2121390	1
0	0	3	2	1	-1053405	1
0	0	3	2	2	196830	1
0	0	3	3	0	393660	1
0	0	3	3	1	-153090	1
0	0	3	4	0	360855	1
0	0	4	0	0	-231120	1
0	0	4	0	1	2191860	1
0	0	4	0	2	-1663470	1
0	0	4	0	3	706050	1
0	0	4	0	4	-74304	1
0	0	4	0	5	-135	1
0	0	4	1	0	-2672190	1
0	0	4	1	1	6224850	1
0	0	4	1	2	-3640140	1
0	0	4	1	3	1145340	1
0	0	4	1	4	-63261	1
0	0	4	2	0	-6471090	1
0	0	4	2	1	6141825	1
0	0	4	2	2	-2690010	1
0	0	4	2	3	402165	1
0	0	4	3	0	-4199040	1
0	0	4	3	1	2741040	1
0	0	4	3	2	-729000	1
0	0	4	4	0	-1826145	1
0	0	4	4	1	645165	1
0	0	4	5	0	328050	1
0	0	5	0	0	260730	1
0	0	5	0	1	-2836665	1
0	0	5	0	2	3434580	1
0	0	5	0	3	-2372310	1
0	0	5	0	4	431874	1
0	0	5	0	5	2295	1
0	0	5	1	0	4000860	1
0	0	5	1	1	-14263695	1
0	0	5	1	2	13095540	1
0	0	5	1	3	-6667920	1
0	0	5	1	4	807948	1
0	0	5	1	5	3240	1
0	0	5	2	0	14142600	1
0	0	5	2	1	-22806765	1
0	0	5	2	2	16893360	1
0	0	5	2	3	-5286870	1
0	0	5	2	4	318573	1
0	0	5	3	0	16873920	1
0	0	5	3	1	-18399960	1
0	0	5	3	2	9676260	1
0	0	5	3	3	-1267245	1
0	0	5	4	0	9382230	1
0	0	5	4	1	-7942455	1
0	0	5	4	2	1899045	1
0	0	5	5	0	2536920	1
0	0	5	5	1	-1246590	1
0	0	5	6	0	1509030	1
0	0	6	0	0	-188220	1
0	0	6	0	1	2658240	1
0	0	6	0	2	-5100975	1
0	0	6	0	3	5419905	1
0	0	6	0	4	-1536768	1
0	0	6	0	5	-16605	1
0	0	6	0	6	-45	1
0	0	6	1	0	-4097250	1
0	0	6	1	1	22159440	1
0	0	6	1	2	-31164435	1
0	0	6	1	3	23633100	1
0	0	6	1	4	-4772088	1
0	0	6	1	5	-44550	1
0	0	6	1	6	-135	1
0	0	6	2	0	-21720420	1
0	0	6	2	1	56597535	1
0	0	6	2	2	-63523980	1
0	0	6	2	3	32004720	1
0	0	6	2	4	-4133214	1
0	0	6	2	5	-23085	1
0	0	6	3	0	-41029740	1
0	0	6	3	1	70742160	1
0	0	6	3	2	-59659740	1
0	0	6	3	3	16839900	1
0	0	6	3	4	-1014525	1
0	0	6	4	0	-35373510	1
0	0	6	4	1	48864870	1
0	0	6	4	2	-25239195	1
0	0	6	4	3	3015630	1
0	0	6	5	0	-18414540	1
0	0	6	5	1	17000280	1
0	0	6	5	2	-3783510	1
0	0	6	6	0	-5511240	1
0	0	6	6	1	2208870	1
0	0	6	7	0	1509030	1
0	0	7	0	0	83520	1
0	0	7	0	1	-1793100	1
0	0	7	0	2	5564650	1
0	0	7	0	3	-8837505	1
0	0	7	0	4	3734070	1
0	0	7	0	5	70310	1
0	0	7	0	6	540	1
0	0	7	1	0	2833200	1
0	0	7	1	1	-24055200	1
0	0	7	1	2	51802500	1
0	0	7	1	3	-56535030	1
0	0	7	1	4	17242776	1
0	0	7	1	5	284175	1
0	0	7	1	6	2160	1
0	0	7	2	0	23173290	1
0	0	7	2	1	-96435630	1
0	0	7	2	2	158272155	1
0	0	7	2	3	-117222930	1
0	0	7	2	4	24740154	1
0	0	7	2	5	312660	1
0	0	7	2	6	1485	1
0	0	7	3	0	67329900	1
0	0	7	3	1	-178376175	1
0	0	7	3	2	222147900	1
0	0	7	3	3	-102883500	1
0	0	7	3	4	13245120	1
0	0	7	3	5	96525	1
0	0	7	4	0	88917345	1
0	0	7	4	1	-182692260	1
0	0	7	4	2	153505530	1
0	0	7	4	3	-39481425	1
0	0	7	4	4	2253825	1
0	0	7	5	0	67131180	1
0	0	7	5	1	-102672360	1
0	0	7	5	2	48415320	1
0	0	7	5	3	-5254875	1
0	0	7	6	0	29087100	1
0	0	7	6	1	-27658260	1
0	0	7	6	2	5270670	1
0	0	7	7	0	5686200	1
0	0	7	7	1	-2733750	1
0	0	7	8	0	3641355	1
0	0	8	0	0	-17760	1
0	0	8	0	1	838365	1
0	0	8	0	2	-4456780	1
0	0	8	0	3	10505355	1
0	0	8	0	4	-6541401	1
0	0	8	0	5	-198200	1
0	0	8	0	6	-2970	1
