x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	10935	1
0	0	1	0	0	10935	1
0	0	1	0	1	-102060	1
0	0	1	0	2	7290	1
0	0	1	1	0	10935	2
0	0	1	1	1	-21870	1
0	0	1	2	0	32805	2
0	0	2	0	0	10935	1
0	0	2	0	1	-112995	1
0	0	2	0	2	449550	1
0	0	2	0	3	-43740	1
0	0	2	1	0	21870	1
0	0	2	1	1	-123930	1
0	0	2	1	2	164025	1
0	0	2	2	0	98415	4
0	0	2	2	1	-120285	1
0	0	2	3	0	-32805	4
0	0	3	0	0	5913	1
0	0	3	0	1	-128790	1
0	0	3	0	2	551610	1
0	0	3	0	3	-1205685	1
0	0	3	0	4	133650	1
0	0	3	1	0	91125	2
0	0	3	1	1	-298890	1
0	0	3	1	2	1709505	2
0	0	3	1	3	-600210	1
0	0	3	2	0	98415	2
0	0	3	2	1	-1053405	4
0	0	3	2	2	1060695	2
0	0	3	3	0	76545	4
0	0	3	3	1	-98415	2
0	0	3	4	0	360855	16
0	0	4	0	0	-135	1
0	0	4	0	1	-74304	1
0	0	4	0	2	706050	1
0	0	4	0	3	-1663470	1
0	0	4	0	4	2191860	1
0	0	4	0	5	-231120	1
0	0	4	1	0	63261	2
0	0	4	1	1	-572670	1
0	0	4	1	2	1820070	1
0	0	4	1	3	-3112425	1
0	0	4	1	4	1336095	1
0	0	4	2	0	402165	4
0	0	4	2	1	-1345005	2
0	0	4	2	2	6141825	4
0	0	4	2	3	-3235545	2
0	0	4	3	0	91125	1
0	0	4	3	1	-342630	1
0	0	4	3	2	524880	1
0	0	4	4	0	645165	16
0	0	4	4	1	-1826145	16
0	0	4	5	0	-164025	16
0	0	5	0	1	2295	1
0	0	5	0	2	431874	1
0	0	5	0	3	-2372310	1
0	0	5	0	4	3434580	1
0	0	5	0	5	-2836665	1
0	0	5	0	6	260730	1
0	0	5	1	0	-1620	1
0	0	5	1	1	-403974	1
0	0	5	1	2	3333960	1
0	0	5	1	3	-6547770	1
0	0	5	1	4	14263695	2
0	0	5	1	5	-2000430	1
0	0	5	2	0	318573	4
0	0	5	2	1	-2643435	2
0	0	5	2	2	4223340	1
0	0	5	2	3	-22806765	4
0	0	5	2	4	3535650	1
0	0	5	3	0	1267245	8
0	0	5	3	1	-2419065	2
0	0	5	3	2	2299995	1
0	0	5	3	3	-2109240	1
0	0	5	4	0	1899045	16
0	0	5	4	1	-7942455	16
0	0	5	4	2	4691115	8
0	0	5	5	0	623295	16
0	0	5	5	1	-317115	4
0	0	5	6	0	754515	32
0	0	6	0	1	-45	1
0	0	6	0	2	-16605	1
0	0	6	0	3	-1536768	1
0	0	6	0	4	5419905	1
0	0	6	0	5	-5100975	1
0	0	6	0	6	2658240	1
0	0	6	0	7	-188220	1
0	0	6	1	0	135	2
0	0	6	1	1	22275	1
0	0	6	1	2	2386044	1
0	0	6	1	3	-11816550	1
0	0	6	1	4	31164435	2
0	0	6	1	5	-11079720	1
0	0	6	1	6	2048625	1
0	0	6	2	0	-23085	4
0	0	6	2	1	-2066607	2
0	0	6	2	2	8001180	1
0	0	6	2	3	-15880995	1
0	0	6	2	4	56597535	4
0	0	6	2	5	-5430105	1
0	0	6	3	0	1014525	8
0	0	6	3	1	-4209975	2
0	0	6	3	2	14914935	2
0	0	6	3	3	-8842770	1
0	0	6	3	4	10257435	2
0	0	6	4	0	1507815	8
0	0	6	4	1	-25239195	16
0	0	6	4	2	24432435	8
0	0	6	4	3	-17686755	8
0	0	6	5	0	1891755	16
0	0	6	5	1	-2125035	4
0	0	6	5	2	4603635	8
0	0	6	6	0	1104435	32
0	0	6	6	1	-688905	8
0	0	6	7	0	-754515	64
0	0	7	0	2	540	1
0	0	7	0	3	70310	1
0	0	7	0	4	3734070	1
0	0	7	0	5	-8837505	1
0	0	7	0	6	5564650	1
0	0	7	0	7	-1793100	1
0	0	7	0	8	83520	1
0	0	7	1	1	-1080	1
0	0	7	1	2	-284175	2
0	0	7	1	3	-8621388	1
0	0	7	1	4	28267515	1
0	0	7	1	5	-25901250	1
