x	y	z	v	lambda	numerator	denominator
0	0	0	0	1	10935	1
0	0	1	0	0	7290	1
0	0	1	0	1	-102060	1
0	0	1	0	2	10935	1
0	0	1	1	0	-21870	1
0	0	1	1	1	10935	2
0	0	1	2	0	32805	2
0	0	2	0	0	-43740	1
0	0	2	0	1	449550	1
0	0	2	0	2	-112995	1
0	0	2	0	3	10935	1
0	0	2	1	0	164025	1
0	0	2	1	1	-123930	1
0	0	2	1	2	21870	1
0	0	2	2	0	-120285	1
0	0	2	2	1	98415	4
0	0	2	3	0	-32805	4
0	0	3	0	0	133650	1
0	0	3	0	1	-1205685	1
0	0	3	0	2	551610	1
0	0	3	0	3	-128790	1
0	0	3	0	4	5913	1
0	0	3	1	0	-600210	1
0	0	3	1	1	1709505	2
0	0	3	1	2	-298890	1
0	0	3	1	3	91125	2
0	0	3	2	0	1060695	2
0	0	3	2	1	-1053405	4
0	0	3	2	2	98415	2
0	0	3	3	0	-98415	2
0	0	3	3	1	76545	4
0	0	3	4	0	360855	16
0	0	4	0	0	-231120	1
0	0	4	0	1	2191860	1
0	0	4	0	2	-1663470	1
0	0	4	0	3	706050	1
0	0	4	0	4	-74304	1
0	0	4	0	5	-135	1
0	0	4	1	0	1336095	1
0	0	4	1	1	-3112425	1
0	0	4	1	2	1820070	1
0	0	4	1	3	-572670	1
0	0	4	1	4	63261	2
0	0	4	2	0	-3235545	2
0	0	4	2	1	6141825	4
0	0	4	2	2	-1345005	2
0	0	4	2	3	402165	4
0	0	4	3	0	524880	1
0	0	4	3	1	-342630	1
0	0	4	3	2	91125	1
0	0	4	4	0	-1826145	16
0	0	4	4	1	645165	16
0	0	4	5	0	-164025	16
0	0	5	0	0	260730	1
0	0	5	0	1	-2836665	1
0	0	5	0	2	3434580	1
0	0	5	0	3	-2372310	1
0	0	5	0	4	431874	1
0	0	5	0	5	2295	1
0	0	5	1	0	-2000430	1
0	0	5	1	1	14263695	2
0	0	5	1	2	-6547770	1
0	0	5	1	3	3333960	1
0	0	5	1	4	-403974	1
0	0	5	1	5	-1620	1
0	0	5	2	0	3535650	1
0	0	5	2	1	-22806765	4
0	0	5	2	2	4223340	1
0	0	5	2	3	-2643435	2
0	0	5	2	4	318573	4
0	0	5	3	0	-2109240	1
0	0	5	3	1	2299995	1
0	0	5	3	2	-2419065	2
0	0	5	3	3	1267245	8
0	0	5	4	0	4691115	8
0	0	5	4	1	-7942455	16
0	0	5	4	2	1899045	16
0	0	5	5	0	-317115	4
0	0	5	5	1	623295	16
0	0	5	6	0	754515	32
0	0	6	0	0	-188220	1
0	0	6	0	1	2658240	1
0	0	6	0	2	-5100975	1
0	0	6	0	3	5419905	1
0	0	6	0	4	-1536768	1
0	0	6	0	5	-16605	1
0	0	6	0	6	-45	1
0	0	6	1	0	2048625	1
0	0	6	1	1	-11079720	1
0	0	6	1	2	31164435	2
0	0	6	1	3	-11816550	1
0	0	6	1	4	2386044	1
0	0	6	1	5	22275	1
0	0	6	1	6	135	2
0	0	6	2	0	-5430105	1
0	0	6	2	1	56597535	4
0	0	6	2	2	-15880995	1
0	0	6	2	3	8001180	1
0	0	6	2	4	-2066607	2
0	0	6	2	5	-23085	4
0	0	6	3	0	10257435	2
0	0	6	3	1	-8842770	1
0	0	6	3	2	14914935	2
0	0	6	3	3	-4209975	2
0	0	6	3	4	1014525	8
0	0	6	4	0	-17686755	8
0	0	6	4	1	24432435	8
0	0	6	4	2	-25239195	16
0	0	6	4	3	1507815	8
0	0	6	5	0	4603635	8
0	0	6	5	1	-2125035	4
0	0	6	5	2	1891755	16
0	0	6	6	0	-688905	8
0	0	6	6	1	1104435	32
0	0	6	7	0	-754515	64
0	0	7	0	0	83520	1
0	0	7	0	1	-1793100	1
0	0	7	0	2	5564650	1
0	0	7	0	3	-8837505	1
0	0	7	0	4	3734070	1
0	0	7	0	5	70310	1
0	0	7	0	6	540	1
0	0	7	1	0	-1416600	1
0	0	7	1	1	12027600	1
0	0	7	1	2	-25901250	1
0	0	7	1	3	28267515	1
0	0	7	1	4	-8621388	1
0	0	7	1	5	-284175	2
0	0	7	1	6	-1080	1
0	0	7	2	0	11586645	2
0	0	7	2	1	-48217815	2
0	0	7	2	2	158272155	4
0	0	7	2	3	-58611465	2
0	0	7	2	4	12370077	2
0	0	7	2	5	78165	1
0	0	7	2	6	1485	4
0	0	7	3	0	-16832475	2
0	0	7	3	1	178376175	8
0	0	7	3	2	-55536975	2
0	0	7	3	3	25720875	2
0	0	7	3	4	-1655640	1
0	0	7	3	5	-96525	8
0	0	7	4	0	88917345	16
0	0	7	4	1	-45673065	4
0	0	7	4	2	76752765	8
0	0	7	4	3	-39481425	16
0	0	7	4	4	2253825	16
0	0	7	5	0	-16782795	8
0	0	7	5	1	12834045	4
0	0	7	5	2	-6051915	4
0	0	7	5	3	5254875	32
0	0	7	6	0	7271775	16
0	0	7	6	1	-6914565	16
0	0	7	6	2	2635335	32
0	0	7	7	0	-710775	16
0	0	7	7	1	1366875	64
0	0	7	8	0	3641355	256
0	0	8	0	0	-17760	1
0	0	8	0	1	838365	1
0	0	8	0	2	-4456780	1
0	0	8	0	3	10505355	1
0	0	8	0	4	-6541401	1
0	0	8	0	5	-198200	1
0	0	8	0	6	-2970	1
0	0	8	1	0	606480	1
