x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	10935	1
0	0	1	0	0	10935	1
0	0	1	1	0	-10935	1
0	0	1	2	0	65610	1
0	0	2	0	0	10935	1
0	0	2	1	0	-43740	1
0	0	2	2	0	98415	1
0	0	2	3	0	65610	1
0	0	3	0	0	5913	1
0	0	3	1	0	-91125	1
0	0	3	2	0	196830	1
0	0	3	3	0	-153090	1
0	0	3	4	0	360855	1
0	0	4	0	0	-135	1
0	0	4	1	0	-63261	1
0	0	4	2	0	402165	1
0	0	4	3	0	-729000	1
0	0	4	4	0	645165	1
0	0	4	5	0	328050	1
0	0	5	1	0	3240	1
0	0	5	2	0	318573	1
0	0	5	3	0	-1267245	1
0	0	5	4	0	1899045	1
0	0	5	5	0	-1246590	1
0	0	5	6	0	1509030	1
0	0	6	1	0	-135	1
0	0	6	2	0	-23085	1
0	0	6	3	0	-1014525	1
0	0	6	4	0	3015630	1
0	0	6	5	0	-3783510	1
0	0	6	6	0	2208870	1
0	0	6	7	0	1509030	1
0	0	7	2	0	1485	1
0	0	7	3	0	96525	1
0	0	7	4	0	2253825	1
0	0	7	5	0	-5254875	1
0	0	7	6	0	5270670	1
0	0	7	7	0	-2733750	1
0	0	7	8	0	3641355	1
0	0	8	3	0	-7425	1
0	0	8	4	0	-297675	1
0	0	8	5	0	-3820446	1
0	0	8	6	0	6427350	1
0	0	8	7	0	-3579390	1
0	0	8	8	0	229635	1
0	0	8	9	0	4231845	1
0	0	9	4	0	22275	1
0	0	9	5	0	714420	1
0	0	9	6	0	5718762	1
0	0	9	7	0	-3734910	1
0	0	9	8	0	-656100	1
0	0	9	9	0	2099520	1
0	0	9	10	0	2854035	1
0	0	10	5	0	-44550	1
0	0	10	6	0	-1298430	1
0	0	10	7	0	-8204166	1
0	0	10	8	0	-5032530	1
0	0	10	9	0	-1345005	1
0	0	10	10	0	-1148175	1
0	0	10	11	0	688905	1
0	0	11	6	0	62370	1
0	0	11	7	0	1722870	1
0	0	11	8	0	10066275	1
0	0	11	9	0	14796270	1
0	0	11	10	0	10056555	1
0	0	11	11	0	2985255	1
0	0	11	12	0	688905	1
0	0	12	7	0	-62370	1
0	0	12	8	0	-1622025	1
0	0	12	9	0	-8968725	1
0	0	12	10	0	-15526485	1
0	0	12	11	0	-10945935	1
0	0	12	12	0	-2985255	1
0	0	13	8	0	44550	1
0	0	13	9	0	1050300	1
0	0	13	10	0	5167233	1
0	0	13	11	0	7818525	1
0	0	13	12	0	3648645	1
0	0	14	9	0	-22275	1
0	0	14	10	0	-444285	1
0	0	14	11	0	-1702701	1
0	0	14	12	0	-1563705	1
0	0	15	10	0	7425	1
0	0	15	11	0	110565	1
0	0	15	12	0	243243	1
0	0	16	11	0	-1485	1
0	0	16	12	0	-12285	1
0	0	17	12	0	135	1
1	0	0	0	0	-142155	1
1	0	1	0	0	-142155	1
1	0	1	1	0	222345	1
1	0	1	2	0	-765450	1
1	0	2	0	0	-142155	1
1	0	2	1	0	626940	1
1	0	2	2	0	-1228365	1
1	0	2	3	0	-284310	1
1	0	3	0	0	-76869	1
1	0	3	1	0	1211355	1
1	0	3	2	0	-2617110	1
1	0	3	3	0	2340090	1
1	0	3	4	0	-3335175	1
1	0	4	0	0	1755	1
1	0	4	1	0	827523	1
1	0	4	2	0	-5360175	1
1	0	4	3	0	9331200	1
1	0	4	4	0	-7585245	1
1	0	4	5	0	-1246590	1
1	0	5	1	0	-41040	1
1	0	5	2	0	-4180599	1
1	0	5	3	0	16620795	1
1	0	5	4	0	-23997465	1
1	0	5	5	0	15491250	1
1	0	5	6	0	-12050370	1
1	0	6	1	0	1665	1
1	0	6	2	0	293085	1
1	0	6	3	0	13283595	1
1	0	6	4	0	-38764980	1
1	0	6	5	0	46702170	1
1	0	6	6	0	-25697250	1
1	0	6	7	0	-6539130	1
1	0	7	2	0	-18315	1
1	0	7	3	0	-1215675	1
1	0	7	4	0	-29376675	1
1	0	7	5	0	66880485	1
1	0	7	6	0	-65092410	1
1	0	7	7	0	31616730	1
