x	y	z	v	lambda	numerator	denominator
0	0	0	0	1	10935	1
0	0	1	0	2	10935	1
0	0	1	1	1	-10935	1
0	0	1	2	0	65610	1
0	0	2	0	3	10935	1
0	0	2	1	2	-43740	1
0	0	2	2	1	98415	1
0	0	2	3	0	65610	1
0	0	3	0	4	5913	1
0	0	3	1	3	-91125	1
0	0	3	2	2	196830	1
0	0	3	3	1	-153090	1
0	0	3	4	0	360855	1
0	0	4	0	5	-135	1
0	0	4	1	4	-63261	1
0	0	4	2	3	402165	1
0	0	4	3	2	-729000	1
0	0	4	4	1	645165	1
0	0	4	5	0	328050	1
0	0	5	1	5	3240	1
0	0	5	2	4	318573	1
0	0	5	3	3	-1267245	1
0	0	5	4	2	1899045	1
0	0	5	5	1	-1246590	1
0	0	5	6	0	1509030	1
0	0	6	1	6	-135	1
0	0	6	2	5	-23085	1
0	0	6	3	4	-1014525	1
0	0	6	4	3	3015630	1
0	0	6	5	2	-3783510	1
0	0	6	6	1	2208870	1
0	0	6	7	0	1509030	1
0	0	7	2	6	1485	1
0	0	7	3	5	96525	1
0	0	7	4	4	2253825	1
0	0	7	5	3	-5254875	1
0	0	7	6	2	5270670	1
0	0	7	7	1	-2733750	1
0	0	7	8	0	3641355	1
0	0	8	3	6	-7425	1
0	0	8	4	5	-297675	1
0	0	8	5	4	-3820446	1
0	0	8	6	3	6427350	1
0	0	8	7	2	-3579390	1
0	0	8	8	1	229635	1
0	0	8	9	0	4231845	1
0	0	9	4	6	22275	1
0	0	9	5	5	714420	1
0	0	9	6	4	5718762	1
0	0	9	7	3	-3734910	1
0	0	9	8	2	-656100	1
0	0	9	9	1	2099520	1
0	0	9	10	0	2854035	1
0	0	10	5	6	-44550	1
0	0	10	6	5	-1298430	1
0	0	10	7	4	-8204166	1
0	0	10	8	3	-5032530	1
0	0	10	9	2	-1345005	1
0	0	10	10	1	-1148175	1
0	0	10	11	0	688905	1
0	0	11	6	6	62370	1
0	0	11	7	5	1722870	1
0	0	11	8	4	10066275	1
0	0	11	9	3	14796270	1
0	0	11	10	2	10056555	1
0	0	11	11	1	2985255	1
0	0	11	12	0	688905	1
0	0	12	7	6	-62370	1
0	0	12	8	5	-1622025	1
0	0	12	9	4	-8968725	1
0	0	12	10	3	-15526485	1
0	0	12	11	2	-10945935	1
0	0	12	12	1	-2985255	1
0	0	13	8	6	44550	1
0	0	13	9	5	1050300	1
0	0	13	10	4	5167233	1
0	0	13	11	3	7818525	1
0	0	13	12	2	3648645	1
0	0	14	9	6	-22275	1
0	0	14	10	5	-444285	1
0	0	14	11	4	-1702701	1
0	0	14	12	3	-1563705	1
0	0	15	10	6	7425	1
0	0	15	11	5	110565	1
0	0	15	12	4	243243	1
0	0	16	11	6	-1485	1
0	0	16	12	5	-12285	1
0	0	17	12	6	135	1
1	0	0	0	1	-142155	1
1	0	1	0	2	-142155	1
1	0	1	1	1	222345	1
1	0	1	2	0	-765450	1
1	0	2	0	3	-142155	1
1	0	2	1	2	626940	1
1	0	2	2	1	-1228365	1
1	0	2	3	0	-284310	1
1	0	3	0	4	-76869	1
1	0	3	1	3	1211355	1
1	0	3	2	2	-2617110	1
1	0	3	3	1	2340090	1
1	0	3	4	0	-3335175	1
1	0	4	0	5	1755	1
1	0	4	1	4	827523	1
1	0	4	2	3	-5360175	1
1	0	4	3	2	9331200	1
1	0	4	4	1	-7585245	1
1	0	4	5	0	-1246590	1
1	0	5	1	5	-41040	1
1	0	5	2	4	-4180599	1
1	0	5	3	3	16620795	1
1	0	5	4	2	-23997465	1
1	0	5	5	1	15491250	1
1	0	5	6	0	-12050370	1
1	0	6	1	6	1665	1
1	0	6	2	5	293085	1
1	0	6	3	4	13283595	1
1	0	6	4	3	-38764980	1
1	0	6	5	2	46702170	1
1	0	6	6	1	-25697250	1
1	0	6	7	0	-6539130	1
1	0	7	2	6	-18315	1
