x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	10935	1
0	0	1	0	0	10935	1
0	0	1	1	0	10935	2
0	0	1	2	0	32805	2
0	0	2	0	0	10935	1
0	0	2	1	0	21870	1
0	0	2	2	0	98415	4
0	0	2	3	0	-32805	4
0	0	3	0	0	5913	1
0	0	3	1	0	91125	2
0	0	3	2	0	98415	2
0	0	3	3	0	76545	4
0	0	3	4	0	360855	16
0	0	4	0	0	-135	1
0	0	4	1	0	63261	2
0	0	4	2	0	402165	4
0	0	4	3	0	91125	1
0	0	4	4	0	645165	16
0	0	4	5	0	-164025	16
0	0	5	1	0	-1620	1
0	0	5	2	0	318573	4
0	0	5	3	0	1267245	8
0	0	5	4	0	1899045	16
0	0	5	5	0	623295	16
0	0	5	6	0	754515	32
0	0	6	1	0	135	2
0	0	6	2	0	-23085	4
0	0	6	3	0	1014525	8
0	0	6	4	0	1507815	8
0	0	6	5	0	1891755	16
0	0	6	6	0	1104435	32
0	0	6	7	0	-754515	64
0	0	7	2	0	1485	4
0	0	7	3	0	-96525	8
0	0	7	4	0	2253825	16
0	0	7	5	0	5254875	32
0	0	7	6	0	2635335	32
0	0	7	7	0	1366875	64
0	0	7	8	0	3641355	256
0	0	8	3	0	7425	8
0	0	8	4	0	-297675	16
0	0	8	5	0	1910223	16
0	0	8	6	0	3213675	32
0	0	8	7	0	1789695	64
0	0	8	8	0	229635	256
0	0	8	9	0	-4231845	512
0	0	9	4	0	22275	16
0	0	9	5	0	-178605	8
0	0	9	6	0	2859381	32
0	0	9	7	0	1867455	64
0	0	9	8	0	-164025	64
0	0	9	9	0	-32805	8
0	0	9	10	0	2854035	1024
0	0	10	5	0	22275	16
0	0	10	6	0	-649215	32
0	0	10	7	0	4102083	64
0	0	10	8	0	-2516265	128
0	0	10	9	0	1345005	512
0	0	10	10	0	-1148175	1024
0	0	10	11	0	-688905	2048
0	0	11	6	0	31185	32
0	0	11	7	0	-861435	64
0	0	11	8	0	10066275	256
0	0	11	9	0	-7398135	256
0	0	11	10	0	10056555	1024
0	0	11	11	0	-2985255	2048
0	0	11	12	0	688905	4096
0	0	12	7	0	31185	64
0	0	12	8	0	-1622025	256
0	0	12	9	0	8968725	512
0	0	12	10	0	-15526485	1024
0	0	12	11	0	10945935	2048
0	0	12	12	0	-2985255	4096
0	0	13	8	0	22275	128
0	0	13	9	0	-262575	128
0	0	13	10	0	5167233	1024
0	0	13	11	0	-7818525	2048
0	0	13	12	0	3648645	4096
0	0	14	9	0	22275	512
0	0	14	10	0	-444285	1024
0	0	14	11	0	1702701	2048
0	0	14	12	0	-1563705	4096
0	0	15	10	0	7425	1024
0	0	15	11	0	-110565	2048
0	0	15	12	0	243243	4096
0	0	16	11	0	1485	2048
0	0	16	12	0	-12285	4096
0	0	17	12	0	135	4096
1	0	0	0	0	-142155	1
1	0	1	0	0	-142155	1
1	0	1	1	0	-116640	1
1	0	1	2	0	-448335	2
1	0	2	0	0	-142155	1
1	0	2	1	0	-335340	1
1	0	2	2	0	-1425195	4
1	0	2	3	0	120285	2
1	0	3	0	0	-76869	1
1	0	3	1	0	-651240	1
1	0	3	2	0	-1505385	2
1	0	3	3	0	-349920	1
1	0	3	4	0	-4778595	16
1	0	4	0	0	1755	1
1	0	4	1	0	-445392	1
1	0	4	2	0	-6164505	4
1	0	4	3	0	-1439775	1
1	0	4	4	0	-10165905	16
1	0	4	5	0	360855	4
1	0	5	1	0	22140	1
1	0	5	2	0	-4817745	4
1	0	5	3	0	-10211265	4
1	0	5	4	0	-31593645	16
1	0	5	5	0	-2715525	4
1	0	5	6	0	-10552275	32
1	0	6	1	0	-900	1
1	0	6	2	0	339255	4
1	0	6	3	0	-8163585	4
1	0	6	4	0	-12706875	4
1	0	6	5	0	-8202465	4
1	0	6	6	0	-19475235	32
1	0	6	7	0	4275585	32
1	0	7	2	0	-21285	4
1	0	7	3	0	752625	4
1	0	7	4	0	-38391975	16
1	0	7	5	0	-23288715	8
1	0	7	6	0	-48358215	32
1	0	7	7	0	-12688245	32
