x	y	z	v	lambda	numerator	denominator
0	0	0	0	1	10935	1
0	0	1	0	2	10935	1
0	0	1	1	1	10935	2
0	0	1	2	0	32805	2
0	0	2	0	3	10935	1
0	0	2	1	2	21870	1
0	0	2	2	1	98415	4
0	0	2	3	0	-32805	4
0	0	3	0	4	5913	1
0	0	3	1	3	91125	2
0	0	3	2	2	98415	2
0	0	3	3	1	76545	4
0	0	3	4	0	360855	16
0	0	4	0	5	-135	1
0	0	4	1	4	63261	2
0	0	4	2	3	402165	4
0	0	4	3	2	91125	1
0	0	4	4	1	645165	16
0	0	4	5	0	-164025	16
0	0	5	1	5	-1620	1
0	0	5	2	4	318573	4
0	0	5	3	3	1267245	8
0	0	5	4	2	1899045	16
0	0	5	5	1	623295	16
0	0	5	6	0	754515	32
0	0	6	1	6	135	2
0	0	6	2	5	-23085	4
0	0	6	3	4	1014525	8
0	0	6	4	3	1507815	8
0	0	6	5	2	1891755	16
0	0	6	6	1	1104435	32
0	0	6	7	0	-754515	64
0	0	7	2	6	1485	4
0	0	7	3	5	-96525	8
0	0	7	4	4	2253825	16
0	0	7	5	3	5254875	32
0	0	7	6	2	2635335	32
0	0	7	7	1	1366875	64
0	0	7	8	0	3641355	256
0	0	8	3	6	7425	8
0	0	8	4	5	-297675	16
0	0	8	5	4	1910223	16
0	0	8	6	3	3213675	32
0	0	8	7	2	1789695	64
0	0	8	8	1	229635	256
0	0	8	9	0	-4231845	512
0	0	9	4	6	22275	16
0	0	9	5	5	-178605	8
0	0	9	6	4	2859381	32
0	0	9	7	3	1867455	64
0	0	9	8	2	-164025	64
0	0	9	9	1	-32805	8
0	0	9	10	0	2854035	1024
0	0	10	5	6	22275	16
0	0	10	6	5	-649215	32
0	0	10	7	4	4102083	64
0	0	10	8	3	-2516265	128
0	0	10	9	2	1345005	512
0	0	10	10	1	-1148175	1024
0	0	10	11	0	-688905	2048
0	0	11	6	6	31185	32
0	0	11	7	5	-861435	64
0	0	11	8	4	10066275	256
0	0	11	9	3	-7398135	256
0	0	11	10	2	10056555	1024
0	0	11	11	1	-2985255	2048
0	0	11	12	0	688905	4096
0	0	12	7	6	31185	64
0	0	12	8	5	-1622025	256
0	0	12	9	4	8968725	512
0	0	12	10	3	-15526485	1024
0	0	12	11	2	10945935	2048
0	0	12	12	1	-2985255	4096
0	0	13	8	6	22275	128
0	0	13	9	5	-262575	128
0	0	13	10	4	5167233	1024
0	0	13	11	3	-7818525	2048
0	0	13	12	2	3648645	4096
0	0	14	9	6	22275	512
0	0	14	10	5	-444285	1024
0	0	14	11	4	1702701	2048
0	0	14	12	3	-1563705	4096
0	0	15	10	6	7425	1024
0	0	15	11	5	-110565	2048
0	0	15	12	4	243243	4096
0	0	16	11	6	1485	2048
0	0	16	12	5	-12285	4096
0	0	17	12	6	135	4096
1	0	0	0	1	-142155	1
1	0	1	0	2	-142155	1
1	0	1	1	1	-116640	1
1	0	1	2	0	-448335	2
1	0	2	0	3	-142155	1
1	0	2	1	2	-335340	1
1	0	2	2	1	-1425195	4
1	0	2	3	0	120285	2
1	0	3	0	4	-76869	1
1	0	3	1	3	-651240	1
1	0	3	2	2	-1505385	2
1	0	3	3	1	-349920	1
1	0	3	4	0	-4778595	16
1	0	4	0	5	1755	1
1	0	4	1	4	-445392	1
1	0	4	2	3	-6164505	4
1	0	4	3	2	-1439775	1
1	0	4	4	1	-10165905	16
1	0	4	5	0	360855	4
1	0	5	1	5	22140	1
1	0	5	2	4	-4817745	4
1	0	5	3	3	-10211265	4
1	0	5	4	2	-31593645	16
1	0	5	5	1	-2715525	4
1	0	5	6	0	-10552275	32
1	0	6	1	6	-900	1
1	0	6	2	5	339255	4
1	0	6	3	4	-8163585	4
1	0	6	4	3	-12706875	4
1	0	6	5	2	-8202465	4
1	0	6	6	1	-19475235	32
1	0	6	7	0	4275585	32
