x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	5811307335	1
0	0	1	0	1	-52301766015	1
0	0	1	0	2	5165606520	1
0	0	2	0	1	5811307335	1
0	0	2	0	2	200812953465	1
0	0	2	0	3	-21738594105	1
0	0	2	1	1	1937102445	2
0	0	2	1	2	-1291401630	1
0	0	2	2	1	1937102445	2
0	0	3	0	2	-52301766015	1
0	0	3	0	3	-397106001225	1
0	0	3	0	4	38383326225	1
0	0	3	1	2	-16142520375	1
0	0	3	1	3	12053081880	1
0	0	3	2	2	-16142520375	2
0	0	4	0	2	5811307335	1
0	0	4	0	3	198875851020	1
0	0	4	0	4	375080428980	1
0	0	4	0	5	-10092064590	1
0	0	4	1	2	3874204890	1
0	0	4	1	3	187468469955	2
0	0	4	1	4	-47207904030	1
0	0	4	2	2	5811307335	4
0	0	4	2	3	29056536675	1
0	0	4	3	2	-645700815	4
0	0	5	0	3	-52301766015	1
0	0	5	0	4	-383689773180	1
0	0	5	0	5	-14683714830	1
0	0	5	0	6	-45390375810	1
0	0	5	1	3	-41324852160	1
0	0	5	1	4	-261150107400	1
0	0	5	1	5	95085423720	1
0	0	5	2	3	-53162700435	4
0	0	5	2	4	-53306189505	1
0	0	5	3	3	215233605	1
0	0	6	0	3	3142410633	1
0	0	6	0	4	196077814155	1
0	0	6	0	5	324978828705	1
0	0	6	0	6	-278137618965	1
0	0	6	0	7	42286760370	1
0	0	6	1	3	16142520375	2
0	0	6	1	4	185100900300	1
0	0	6	1	5	725026355865	2
0	0	6	1	6	-85104961740	1
0	0	6	2	3	5811307335	2
0	0	6	2	4	226210518855	4
0	0	6	2	5	84538977075	2
0	0	6	3	3	1506635235	4
0	0	6	3	4	3443737680	1
0	0	6	4	3	2367569655	16
0	0	7	0	4	-28281695697	1
0	0	7	0	5	-366781977765	1
0	0	7	0	6	75754257345	1
0	0	7	0	7	131332357125	1
0	0	7	0	8	13934383020	1
0	0	7	1	4	-77699331405	1
0	0	7	1	5	-423149267430	1
0	0	7	1	6	-156251625615	1
0	0	7	1	7	-10777623480	1
0	0	7	2	4	-57897839745	2
0	0	7	2	5	-545617188675	4
0	0	7	2	6	41221221165	2
0	0	7	3	4	-9255045015	2
0	0	7	3	5	-14922863280	1
0	0	7	4	4	-15568564095	16
