x	y	z	v	lambda	numerator	denominator
0	0	0	0	1	5811307335	1
0	0	1	0	0	5165606520	1
0	0	1	0	1	-52301766015	1
0	0	2	0	0	-21738594105	1
0	0	2	0	1	200812953465	1
0	0	2	0	2	5811307335	1
0	0	2	1	0	-1291401630	1
0	0	2	1	1	1937102445	2
0	0	2	2	0	1937102445	2
0	0	3	0	0	38383326225	1
0	0	3	0	1	-397106001225	1
0	0	3	0	2	-52301766015	1
0	0	3	1	0	12053081880	1
0	0	3	1	1	-16142520375	1
0	0	3	2	0	-16142520375	2
0	0	4	0	0	-10092064590	1
0	0	4	0	1	375080428980	1
0	0	4	0	2	198875851020	1
0	0	4	0	3	5811307335	1
0	0	4	1	0	-47207904030	1
0	0	4	1	1	187468469955	2
0	0	4	1	2	3874204890	1
0	0	4	2	0	29056536675	1
0	0	4	2	1	5811307335	4
0	0	4	3	0	-645700815	4
0	0	5	0	0	-45390375810	1
0	0	5	0	1	-14683714830	1
0	0	5	0	2	-383689773180	1
0	0	5	0	3	-52301766015	1
0	0	5	1	0	95085423720	1
0	0	5	1	1	-261150107400	1
0	0	5	1	2	-41324852160	1
0	0	5	2	0	-53306189505	1
0	0	5	2	1	-53162700435	4
0	0	5	3	0	215233605	1
0	0	6	0	0	42286760370	1
0	0	6	0	1	-278137618965	1
0	0	6	0	2	324978828705	1
0	0	6	0	3	196077814155	1
0	0	6	0	4	3142410633	1
0	0	6	1	0	-85104961740	1
0	0	6	1	1	725026355865	2
0	0	6	1	2	185100900300	1
0	0	6	1	3	16142520375	2
0	0	6	2	0	84538977075	2
0	0	6	2	1	226210518855	4
0	0	6	2	2	5811307335	2
0	0	6	3	0	3443737680	1
0	0	6	3	1	1506635235	4
0	0	6	4	0	2367569655	16
0	0	7	0	0	13934383020	1
0	0	7	0	1	131332357125	1
0	0	7	0	2	75754257345	1
0	0	7	0	3	-366781977765	1
0	0	7	0	4	-28281695697	1
0	0	7	1	0	-10777623480	1
0	0	7	1	1	-156251625615	1
0	0	7	1	2	-423149267430	1
0	0	7	1	3	-77699331405	1
0	0	7	2	0	41221221165	2
0	0	7	2	1	-545617188675	4
0	0	7	2	2	-57897839745	2
0	0	7	3	0	-14922863280	1
0	0	7	3	1	-9255045015	2
0	0	7	4	0	-15568564095	16
0	0	8	0	0	-26756282880	1
0	0	8	0	1	117118967580	1
0	0	8	0	2	-340991146035	1
0	0	8	0	3	271999475415	1
0	0	8	0	4	105201403155	1
0	0	8	0	5	-71744535	1
0	0	8	1	0	72848160810	1
0	0	8	1	1	-382794295095	2
0	0	8	1	2	920474412435	2
0	0	8	1	3	631662800985	2
0	0	8	1	4	11206496367	2
0	0	8	2	0	-69483253545	1
0	0	8	2	1	740746380645	4
0	0	8	2	2	250460171685	2
0	0	8	2	3	23747441085	4
0	0	8	3	0	94391893215	4
0	0	8	3	1	22623443370	1
0	0	8	3	2	1793613375	1
0	0	8	4	0	6289604235	2
0	0	8	4	1	4232927565	16
0	0	8	5	0	-358722675	16
0	0	9	0	0	-4621765230	1
0	0	9	0	1	-72169097310	1
0	0	9	0	2	98868397905	1
0	0	9	0	3	174012383835	1
0	0	9	0	4	-195433707663	1
0	0	9	0	5	645700815	1
0	0	9	1	0	-20216606130	1
0	0	9	1	1	202151299050	1
0	0	9	1	2	-40206168855	1
0	0	9	1	3	-661038202260	1
0	0	9	1	4	-52751365101	1
0	0	9	2	0	34180513650	1
0	0	9	2	1	-396404499105	4
0	0	9	2	2	-569500147215	2
0	0	9	2	3	-237354836625	4
0	0	9	3	0	-8452569105	1
0	0	9	3	1	-56199885750	1
0	0	9	3	2	-17577411075	1
0	0	9	4	0	-6488894610	1
0	0	9	4	1	-38478985605	16
0	0	9	5	0	263063295	8
0	0	10	0	0	11009653245	1
0	0	10	0	1	-48805179480	1
0	0	10	0	2	188537256855	1
0	0	10	0	3	-431940187305	1
0	0	10	0	4	144896857209	1
0	0	10	0	5	-2295825120	1
0	0	10	1	0	-34408639620	1
0	0	10	1	1	56841748380	1
0	0	10	1	2	-792480390525	2
0	0	10	1	3	1267696704195	2
0	0	10	1	4	417143452689	2
0	0	10	1	5	-286978140	1
0	0	10	2	0	62544405555	2
0	0	10	2	1	-68630290740	1
0	0	10	2	2	1269891555525	4
0	0	10	2	3	253545186690	1
0	0	10	2	4	18811417077	4
0	0	10	3	0	-19944094995	1
0	0	10	3	1	581840207235	8
0	0	10	3	2	148662648135	2
0	0	10	3	3	24943183335	8
0	0	10	4	0	139660037595	16
0	0	10	4	1	19857292965	2
0	0	10	4	2	12459634245	16
0	0	10	5	0	4232927565	16
0	0	10	5	1	1363146165	16
0	0	10	6	0	550041435	32
0	0	11	0	0	4480867755	1
