x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	5811307335	1
0	0	1	0	1	-52301766015	1
0	0	1	0	2	5165606520	1
0	0	2	0	1	5811307335	1
0	0	2	0	2	200812953465	1
0	0	2	0	3	-21738594105	1
0	0	2	1	1	-1937102445	1
0	0	2	1	2	2582803260	1
0	0	2	2	1	3874204890	1
0	0	3	0	2	-52301766015	1
0	0	3	0	3	-397106001225	1
0	0	3	0	4	38383326225	1
0	0	3	1	2	32285040750	1
0	0	3	1	3	-24106163760	1
0	0	3	2	2	-32285040750	1
0	0	4	0	2	5811307335	1
0	0	4	0	3	198875851020	1
0	0	4	0	4	375080428980	1
0	0	4	0	5	-10092064590	1
0	0	4	1	2	-7748409780	1
0	0	4	1	3	-187468469955	1
0	0	4	1	4	94415808060	1
0	0	4	2	2	5811307335	1
0	0	4	2	3	116226146700	1
0	0	4	3	2	1291401630	1
0	0	5	0	3	-52301766015	1
0	0	5	0	4	-383689773180	1
0	0	5	0	5	-14683714830	1
0	0	5	0	6	-45390375810	1
0	0	5	1	3	82649704320	1
0	0	5	1	4	522300214800	1
0	0	5	1	5	-190170847440	1
0	0	5	2	3	-53162700435	1
0	0	5	2	4	-213224758020	1
0	0	5	3	3	-1721868840	1
0	0	6	0	3	3142410633	1
0	0	6	0	4	196077814155	1
0	0	6	0	5	324978828705	1
0	0	6	0	6	-278137618965	1
0	0	6	0	7	42286760370	1
0	0	6	1	3	-16142520375	1
0	0	6	1	4	-370201800600	1
0	0	6	1	5	-725026355865	1
0	0	6	1	6	170209923480	1
0	0	6	2	3	11622614670	1
0	0	6	2	4	226210518855	1
0	0	6	2	5	169077954150	1
0	0	6	3	3	-3013270470	1
0	0	6	3	4	-27549901440	1
0	0	6	4	3	2367569655	1
0	0	7	0	4	-28281695697	1
0	0	7	0	5	-366781977765	1
0	0	7	0	6	75754257345	1
0	0	7	0	7	131332357125	1
0	0	7	0	8	13934383020	1
0	0	7	1	4	155398662810	1
0	0	7	1	5	846298534860	1
0	0	7	1	6	312503251230	1
0	0	7	1	7	21555246960	1
0	0	7	2	4	-115795679490	1
0	0	7	2	5	-545617188675	1
0	0	7	2	6	82442442330	1
0	0	7	3	4	37020180060	1
0	0	7	3	5	119382906240	1
0	0	7	4	4	-15568564095	1
