x	y	z	v	lambda	numerator	denominator
0	0	0	0	1	5811307335	1
0	0	1	0	0	5165606520	1
0	0	1	0	1	-52301766015	1
0	0	2	0	0	-21738594105	1
0	0	2	0	1	200812953465	1
0	0	2	0	2	5811307335	1
0	0	2	1	0	2582803260	1
0	0	2	1	1	-1937102445	1
0	0	2	2	0	3874204890	1
0	0	3	0	0	38383326225	1
0	0	3	0	1	-397106001225	1
0	0	3	0	2	-52301766015	1
0	0	3	1	0	-24106163760	1
0	0	3	1	1	32285040750	1
0	0	3	2	0	-32285040750	1
0	0	4	0	0	-10092064590	1
0	0	4	0	1	375080428980	1
0	0	4	0	2	198875851020	1
0	0	4	0	3	5811307335	1
0	0	4	1	0	94415808060	1
0	0	4	1	1	-187468469955	1
0	0	4	1	2	-7748409780	1
0	0	4	2	0	116226146700	1
0	0	4	2	1	5811307335	1
0	0	4	3	0	1291401630	1
0	0	5	0	0	-45390375810	1
0	0	5	0	1	-14683714830	1
0	0	5	0	2	-383689773180	1
0	0	5	0	3	-52301766015	1
0	0	5	1	0	-190170847440	1
0	0	5	1	1	522300214800	1
0	0	5	1	2	82649704320	1
0	0	5	2	0	-213224758020	1
0	0	5	2	1	-53162700435	1
0	0	5	3	0	-1721868840	1
0	0	6	0	0	42286760370	1
0	0	6	0	1	-278137618965	1
0	0	6	0	2	324978828705	1
0	0	6	0	3	196077814155	1
0	0	6	0	4	3142410633	1
0	0	6	1	0	170209923480	1
0	0	6	1	1	-725026355865	1
0	0	6	1	2	-370201800600	1
0	0	6	1	3	-16142520375	1
0	0	6	2	0	169077954150	1
0	0	6	2	1	226210518855	1
0	0	6	2	2	11622614670	1
0	0	6	3	0	-27549901440	1
0	0	6	3	1	-3013270470	1
0	0	6	4	0	2367569655	1
0	0	7	0	0	13934383020	1
0	0	7	0	1	131332357125	1
0	0	7	0	2	75754257345	1
0	0	7	0	3	-366781977765	1
0	0	7	0	4	-28281695697	1
0	0	7	1	0	21555246960	1
0	0	7	1	1	312503251230	1
0	0	7	1	2	846298534860	1
0	0	7	1	3	155398662810	1
0	0	7	2	0	82442442330	1
0	0	7	2	1	-545617188675	1
0	0	7	2	2	-115795679490	1
0	0	7	3	0	119382906240	1
0	0	7	3	1	37020180060	1
0	0	7	4	0	-15568564095	1
0	0	8	0	0	-26756282880	1
0	0	8	0	1	117118967580	1
0	0	8	0	2	-340991146035	1
0	0	8	0	3	271999475415	1
0	0	8	0	4	105201403155	1
0	0	8	0	5	-71744535	1
0	0	8	1	0	-145696321620	1
0	0	8	1	1	382794295095	1
0	0	8	1	2	-920474412435	1
0	0	8	1	3	-631662800985	1
0	0	8	1	4	-11206496367	1
0	0	8	2	0	-277933014180	1
0	0	8	2	1	740746380645	1
0	0	8	2	2	500920343370	1
0	0	8	2	3	23747441085	1
0	0	8	3	0	-188783786430	1
0	0	8	3	1	-180987546960	1
0	0	8	3	2	-14348907000	1
0	0	8	4	0	50316833880	1
0	0	8	4	1	4232927565	1
0	0	8	5	0	717445350	1
0	0	9	0	0	-4621765230	1
0	0	9	0	1	-72169097310	1
0	0	9	0	2	98868397905	1
0	0	9	0	3	174012383835	1
0	0	9	0	4	-195433707663	1
0	0	9	0	5	645700815	1
0	0	9	1	0	40433212260	1
0	0	9	1	1	-404302598100	1
0	0	9	1	2	80412337710	1
0	0	9	1	3	1322076404520	1
0	0	9	1	4	105502730202	1
0	0	9	2	0	136722054600	1
0	0	9	2	1	-396404499105	1
0	0	9	2	2	-1139000294430	1
0	0	9	2	3	-237354836625	1
0	0	9	3	0	67620552840	1
0	0	9	3	1	449599086000	1
0	0	9	3	2	140619288600	1
0	0	9	4	0	-103822313760	1
0	0	9	4	1	-38478985605	1
0	0	9	5	0	-1052253180	1
0	0	10	0	0	11009653245	1
0	0	10	0	1	-48805179480	1
0	0	10	0	2	188537256855	1
0	0	10	0	3	-431940187305	1
0	0	10	0	4	144896857209	1
0	0	10	0	5	-2295825120	1
0	0	10	1	0	68817279240	1
0	0	10	1	1	-113683496760	1
0	0	10	1	2	792480390525	1
0	0	10	1	3	-1267696704195	1
0	0	10	1	4	-417143452689	1
0	0	10	1	5	573956280	1
0	0	10	2	0	125088811110	1
0	0	10	2	1	-274521162960	1
0	0	10	2	2	1269891555525	1
0	0	10	2	3	1014180746760	1
0	0	10	2	4	18811417077	1
0	0	10	3	0	159552759960	1
0	0	10	3	1	-581840207235	1
0	0	10	3	2	-594650592540	1
0	0	10	3	3	-24943183335	1
0	0	10	4	0	139660037595	1
0	0	10	4	1	158858343720	1
0	0	10	4	2	12459634245	1
0	0	10	5	0	-8465855130	1
0	0	10	5	1	-2726292330	1
0	0	10	6	0	1100082870	1
0	0	11	0	0	4480867755	1
