x	y	z	v	lambda	numerator	denominator
0	0	0	0	0	315	4096
0	0	0	1	0	1455	4096
0	0	0	2	0	4135	4096
0	0	0	3	0	5625	4096
0	0	0	4	0	5553	4096
0	0	0	5	0	-795	4096
0	0	0	6	0	45	4096
0	1	0	0	0	-4095	4096
0	1	0	1	0	-18915	4096
0	1	0	2	0	-53755	4096
0	1	0	3	0	-73125	4096
0	1	0	4	0	-72189	4096
0	1	0	5	0	10335	4096
0	1	0	6	0	-585	4096
0	2	0	0	0	12285	2048
0	2	0	1	0	56745	2048
0	2	0	2	0	161265	2048
0	2	0	3	0	219375	2048
0	2	0	4	0	216567	2048
0	2	0	5	0	-31005	2048
0	2	0	6	0	1755	2048
0	3	0	0	0	-43835	2048
0	3	0	0	1	355	4608
0	3	0	1	0	-50985	512
0	3	0	1	1	515	1024
0	3	0	2	0	-583405	2048
0	3	0	2	1	1945	2304
0	3	0	3	0	-398855	1024
0	3	0	3	1	8575	9216
0	3	0	4	0	-793749	2048
0	3	0	4	1	-215	1536
0	3	0	5	0	7105	128
0	3	0	5	1	5	1024
0	3	0	6	0	-6435	2048
0	3	1	0	0	1435	1536
0	3	1	0	1	-355	3072
0	3	1	1	0	4265	1024
0	3	1	1	1	-1545	2048
0	3	1	2	0	6065	768
0	3	1	2	1	-1945	1536
0	3	1	3	0	23215	3072
0	3	1	3	1	-8575	6144
0	3	1	4	0	-335	512
0	3	1	4	1	215	1024
0	3	1	5	0	15	1024
0	3	1	5	1	-15	2048
0	3	2	0	0	1435	3072
0	3	2	1	0	4265	2048
0	3	2	2	0	6065	1536
0	3	2	3	0	23215	6144
0	3	2	4	0	-335	1024
0	3	2	5	0	15	2048
0	3	3	0	1	355	9216
0	3	3	1	1	515	2048
0	3	3	2	1	1945	4608
0	3	3	3	1	8575	18432
0	3	3	4	1	-215	3072
0	3	3	5	1	5	2048
0	4	0	0	0	205185	4096
0	4	0	0	1	-1195	2304
0	4	0	1	0	968985	4096
0	4	0	1	1	-47845	13824
0	4	0	2	0	2814685	4096
0	4	0	2	1	-19075	3456
0	4	0	3	0	3897035	4096
0	4	0	3	1	-37315	4608
0	4	0	4	0	3963795	4096
0	4	0	4	1	1055	768
0	4	0	5	0	-568325	4096
0	4	0	5	1	-25	512
0	4	0	6	0	32175	4096
0	4	1	0	0	-875	128
0	4	1	0	1	1195	1536
0	4	1	1	0	-47815	1536
0	4	1	1	1	47845	9216
0	4	1	2	0	-1915	32
0	4	1	2	1	19075	2304
0	4	1	3	0	-34665	512
0	4	1	3	1	37315	3072
0	4	1	4	0	2425	384
0	4	1	4	1	-1055	512
0	4	1	5	0	-75	512
0	4	1	5	1	75	1024
0	4	2	0	0	-7285	2304
0	4	2	1	0	-133805	9216
0	4	2	2	0	-7745	288
0	4	2	3	0	-310685	9216
0	4	2	4	0	2395	768
0	4	2	5	0	-75	1024
0	4	3	0	0	295	1152
0	4	3	0	1	-1195	4608
0	4	3	1	0	1205	1152
0	4	3	1	1	-47845	27648
0	4	3	2	0	1745	576
0	4	3	2	1	-19075	6912
0	4	3	3	0	325	2304
0	4	3	3	1	-37315	9216
0	4	3	4	0	-5	128
0	4	3	4	1	1055	1536
0	4	3	5	1	-25	1024
0	4	4	0	0	295	4608
0	4	4	1	0	1205	4608
0	4	4	2	0	1745	2304
0	4	4	3	0	325	9216
0	4	4	4	0	-5	512
0	5	0	0	0	-326685	4096
0	5	0	0	1	395	216
0	5	0	1	0	-1586895	4096
0	5	0	1	1	335005	27648
0	5	0	2	0	-4741585	4096
0	5	0	2	1	1095	64
0	5	0	3	0	-6713545	4096
0	5	0	3	1	99805	3072
0	5	0	4	0	-7116951	4096
0	5	0	4	1	-195	32
0	5	0	5	0	1022715	4096
0	5	0	5	1	225	1024
0	5	0	6	0	-57915	4096
0	5	1	0	0	13025	512
0	5	1	0	1	-18005	6912
0	5	1	1	0	352975	3072
0	5	1	1	1	-941975	55296
0	5	1	2	0	54935	256
0	5	1	2	1	-42365	1728
0	5	1	3	0	282625	1024
0	5	1	3	1	-897365	18432
0	5	1	4	0	-42205	1536
0	5	1	4	1	7015	768
0	5	1	5	0	675	1024
0	5	1	5	1	-675	2048
0	5	2	0	0	112925	9216
0	5	2	0	1	-955	6912
0	5	2	1	0	1044125	18432
0	5	2	1	1	-985	864
0	5	2	2	0	421915	4608
0	5	2	2	1	-3965	3456
0	5	2	3	0	2523025	18432
0	5	2	3	1	-55	1152
0	5	2	4	0	-41185	3072
0	5	2	4	1	5	768
0	5	2	5	0	675	2048
0	5	3	0	0	-1075	2304
0	5	3	0	1	22415	27648
0	5	3	1	0	-925	1152
0	5	3	1	1	287725	55296
0	5	3	2	0	-18125	1152
0	5	3	2	1	35455	4608
0	5	3	3	0	-2575	2304
0	5	3	3	1	33195	2048
