1 2 3 4 5 6
1 2 3 14 16 17
1 2 5 6 7 8
1 2 5 9 11 20
1 2 5 12 13 22
1 2 6 7 8 10
1 2 6 8 10 14
1 2 6 14 16 17
1 2 6 14 20 21
1 2 9 11 20 21
1 2 9 14 16 17
1 2 10 12 13 22
1 2 10 12 21 22
1 2 12 14 16 17
1 2 14 16 17 18
1 2 18 19 20 21
1 3 4 5 7 11
1 3 4 5 7 12
1 3 4 5 7 17
1 3 4 5 7 18
1 3 4 5 11 13
1 3 4 5 11 14
1 3 4 5 11 20
1 3 4 5 12 20
1 3 4 5 13 18
1 3 4 5 14 18
1 3 4 5 17 20
1 3 4 5 18 20
1 3 4 7 10 18
1 3 4 10 11 21
1 3 4 10 14 18
1 3 4 10 18 21
1 3 4 14 15 18
1 3 5 7 8 17
1 3 5 7 12 13
1 3 5 7 12 17
1 3 5 12 13 18
1 3 7 10 12 13
1 3 8 11 19 20
1 3 8 14 15 18
1 3 10 12 13 18
1 4 5 6 7 11
1 4 5 6 7 19
1 4 5 6 7 22
1 4 5 6 11 13
1 4 5 6 11 20
1 4 5 6 19 20
1 4 5 6 20 22
1 4 5 7 9 11
1 4 5 9 11 13
1 4 5 13 18 19
1 4 6 19 20 21
1 5 6 7 8 17
