1 2 3 4 5 6 7
1 2 3 4 5 7 12
1 2 3 4 5 7 17
1 2 3 4 5 7 18
1 2 3 4 5 7 23
1 2 3 4 5 14 23
1 2 3 4 20 21 23
1 2 3 5 7 8 17
1 2 3 5 7 9 12
1 2 3 5 7 12 13
1 2 3 5 7 12 17
1 2 3 5 7 12 21
1 2 3 5 7 16 17
1 2 3 5 7 17 20
1 2 3 7 20 21 23
1 2 3 11 20 21 23
1 2 3 18 20 21 23
1 2 4 5 7 12 22
1 2 5 6 7 8 9
1 2 5 6 7 8 13
1 2 5 6 7 8 17
1 2 5 6 7 8 21
1 2 5 7 9 12 22
1 2 5 7 12 13 22
1 2 5 7 12 17 22
1 2 5 7 12 21 22
1 2 6 7 8 9 10
1 2 7 9 12 21 22
1 2 7 12 19 21 22
1 3 4 5 7 9 17
1 3 4 5 7 11 17
1 3 4 5 7 13 18
1 3 4 5 7 15 18
1 3 4 5 7 17 18
1 3 4 5 7 18 19
1 3 4 5 12 15 20
1 3 4 5 14 15 18
1 3 4 10 14 15 18
1 3 4 14 15 18 21
1 3 4 16 18 19 20
1 3 5 7 8 9 17
1 3 5 7 8 11 17
1 3 5 7 8 17 18
1 3 5 8 14 17 18
1 3 8 11 17 19 20
1 3 8 14 15 18 21
1 3 8 18 19 20 21
1 4 5 6 7 11 13
1 4 5 6 7 11 19
1 5 6 7 8 9 17
